t,alpha=-2,alpha=-10,alpha=-20,alpha=-50,alpha=-100
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000021e-03,1.027931155832125354e+00,9.910156215242380551e-01,9.885121204594805588e-01,9.526753579313258502e-01,8.966585488679252869e-01
2.000000000000000042e-03,1.016735972209450223e+00,1.014192513719147426e+00,9.504477352225466635e-01,8.830842495302692052e-01,7.670072047323331921e-01
3.000000000000000062e-03,1.017355801987294361e+00,9.277249058701789730e-01,9.837184850900819733e-01,8.527239823544684461e-01,7.124846676599483342e-01
4.000000000000000083e-03,1.055952444874765916e+00,9.987871395664330576e-01,9.626386751854864032e-01,8.538434524272091597e-01,5.633386547595127247e-01
5.000000000000000104e-03,1.030479375323125613e+00,9.244464312290099350e-01,8.848112340975946566e-01,8.335305155646960396e-01,5.528842380625033082e-01
6.000000000000000125e-03,9.774340639850396251e-01,8.784274655793544717e-01,8.241158530700157803e-01,7.576885249049909454e-01,4.700176391661803343e-01
7.000000000000000146e-03,9.412003188785479368e-01,8.373411215148189868e-01,7.645796970190006370e-01,6.521413341645428963e-01,4.050585156345257176e-01
8.000000000000000167e-03,9.265301765872068218e-01,8.108320134150946989e-01,7.399307965649342123e-01,6.114179783836309889e-01,3.538452599859387426e-01
9.000000000000001055e-03,8.715143458736369642e-01,8.419767793224091079e-01,7.050297651297148249e-01,6.163660741247192210e-01,3.241837223485470876e-01
1.000000000000000021e-02,8.924883908983307634e-01,8.005642914300210577e-01,6.347590205626990612e-01,6.251982474581280202e-01,2.713636582185425805e-01
1.099999999999999936e-02,8.821785285173263658e-01,8.314321354715521473e-01,6.295846263412978594e-01,5.909675361608327515e-01,2.270405874722271899e-01
1.200000000000000025e-02,9.331794840329753482e-01,7.891070028573745621e-01,6.272681357557835513e-01,5.892429409814738950e-01,1.917743851013031242e-01
1.300000000000000114e-02,8.787931572588872919e-01,7.830632945022484304e-01,5.982478091286126398e-01,5.978820722840811897e-01,1.568947949201990877e-01
1.400000000000000029e-02,8.534117052703225070e-01,8.060995346443835530e-01,6.605819083385093826e-01,5.580485587678539749e-01,8.983392443800831961e-02
1.499999999999999944e-02,8.378845287222432825e-01,8.318453654251307672e-01,6.614264616579734746e-01,5.650583382841699587e-01,9.301913527578509200e-02
1.600000000000000033e-02,8.974965706422181055e-01,8.401197874613994809e-01,6.840209952630420531e-01,5.366813752552933581e-01,6.193185666061003236e-02
1.700000000000000122e-02,8.876136772676593845e-01,8.606262605822128098e-01,6.773545115544674644e-01,5.303707279643281591e-01,1.510987292783887159e-02
1.800000000000000211e-02,9.139407212079775356e-01,7.809985099344254333e-01,6.729161388893396545e-01,5.210117866088437300e-01,-1.650096002693767633e-02
1.899999999999999953e-02,9.835891524479848380e-01,7.663664712472868512e-01,6.808193918239866527e-01,4.964819601772726410e-01,-4.451453275184275721e-03
2.000000000000000042e-02,9.927603797247461781e-01,7.556237123923669197e-01,6.573294659103215976e-01,4.783435975722429290e-01,2.487382158289147202e-02
2.100000000000000130e-02,9.923721015625333042e-01,7.579721721108095833e-01,6.512976325256644161e-01,4.316782278906332038e-01,3.588250617637896850e-03
2.199999999999999872e-02,9.991274955801292545e-01,7.607424816458170369e-01,6.127168388413174460e-01,3.922993237747933182e-01,7.548547659660251319e-02
2.299999999999999961e-02,9.922838238239443109e-01,7.667878480300197586e-01,6.124266639533618717e-01,4.003829672317592570e-01,7.295020719779221618e-02
