t,x
0,0
1,0.963034927
2,0.52145896
3,-0.746147234
4,-0.660869213
5,-0.621969102
6,-0.092043039
7,0.500312435
8,-1.410958372
9,0.354743965
10,0.277128742
11,0.821082449
12,1.078679994
13,-0.285078307
14,1.788492149
15,-1.314357009
16,-1.602347216
17,0.293119526
18,-0.758008814
19,-1.488812452
20,-1.261897637
21,1.286316744
22,2.044510491
23,2.240022391
24,3.510841685
25,2.871754894
26,0.020998653
27,1.177942281
28,1.880101225
29,-0.025275096
30,0.352561701
31,2.12102513
32,3.841390993
33,1.386642325
34,-1.593268503
35,-1.704255287
36,-1.051181401
37,0.043617291
38,-0.641228655
39,-1.924928458
40,-0.086623557
41,1.047457912
42,2.295613225
43,0.422200401
44,0.06259828
45,0.352252036
46,0.532301163
47,-0.137591303
48,-1.027273313
49,-0.455401108
50,-0.579783782
51,-0.446255108
52,-0.870188788
53,0.00447608
54,-1.085160118
55,-2.045153571
56,-0.876189307
57,0.017388944
58,-2.132029323
59,-2.518647368
60,0.581475737
61,-0.190979283
62,-0.920460268
63,-1.667771246
64,-1.328467695
65,-0.806365536
66,-1.014844213
67,-0.390319465
68,0.597346994
69,-0.933274713
70,-1.109255523
71,-0.593142969
72,0.346797795
73,-0.972347459
74,1.803018273
75,1.376216015
76,0.337684334
77,1.100946892
78,-0.987980766
79,0.663279289
80,-0.304939004
81,-1.025495019
82,-1.40249043
83,-1.32109398
84,0.626510736
85,-0.687014592
86,-1.369164563
87,-1.516163439
88,-1.2705059
89,-0.613788783
90,-1.914760721
91,-0.486882202
92,-0.772143657
93,-2.32544062
94,-0.185995621
95,-0.70057234
96,0.90962776
97,1.072451032
98,-0.569289845
99,-0.746565677
100,-1.134387904
101,-1.929470657
102,-0.369586772
103,0.562646632
104,0.704013393
105,0.791893359
106,1.189045597
107,0.441906632
108,0.678971601
109,-2.27312278
110,-1.373148713
111,1.186718457
112,0.698536693
113,0.179505609
114,0.052434996
115,-0.575785606
116,-0.243102419
117,1.422269457
118,1.029735733
119,-1.519314211
120,-0.647550143
121,2.043580256
122,1.334146633
123,1.064160316
124,0.699035657
125,3.543762796
126,2.210351761
127,0.651569104
128,1.329549327
129,0.075706533
130,0.08789307
131,0.949448923
132,-0.004833115
133,0.647747539
134,0.928178846
135,1.574129118
136,3.055836285
137,1.183657742
138,1.033633902
139,0.117232373
140,0.467514207
141,-1.057043544
142,1.158240108
143,1.410615308
144,1.981784424
145,2.021246206
146,1.067063578
147,2.274784386
148,1.526557885
149,1.002733111
150,0.396240436
151,0.139931672
152,-0.140449793
153,0.094409303
154,1.140522395
155,0.701102089
156,0.454572323
