t,H=0.1,H=0.2,H=0.3,H=0.4
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000021e-03,1.032697172945860942e+00,1.003707668390955821e+00,9.937568796462256104e-01,1.006093580446338009e+00
2.000000000000000042e-03,9.562592650546731798e-01,9.924660619517503557e-01,9.881236635660926027e-01,1.003242573393472448e+00
3.000000000000000062e-03,9.820230135878754707e-01,9.852509247730810715e-01,9.957797545180463450e-01,1.009193530466043320e+00
4.000000000000000083e-03,9.570757803260088181e-01,1.005838034958289606e+00,1.005378024083281918e+00,1.013344579564118053e+00
5.000000000000000104e-03,1.030965399663040793e+00,9.778482507905342791e-01,9.997762872082435193e-01,1.016415403982867005e+00
6.000000000000000125e-03,1.034282824292585445e+00,9.747012455560986055e-01,9.898946424809722533e-01,1.010544482665795218e+00
7.000000000000000146e-03,9.780373354376964423e-01,9.712282067453331669e-01,9.965238874920314682e-01,1.005363485598917528e+00
8.000000000000000167e-03,1.024610622711271901e+00,9.619595323983307633e-01,9.675556976883012972e-01,1.008230952719956885e+00
9.000000000000001055e-03,9.971771115150783737e-01,1.038884715892254729e+00,9.679197004545141425e-01,1.004976744016211621e+00
1.000000000000000021e-02,1.022223264974712720e+00,1.009071236145694384e+00,9.776901980441325968e-01,1.000527805057708886e+00
1.099999999999999936e-02,1.066156822807619697e+00,1.018095999640558302e+00,9.962672710283614341e-01,1.002048731410549065e+00
1.200000000000000025e-02,9.166689908420903032e-01,9.638031452818841549e-01,1.013974867496796550e+00,9.980898758568871321e-01
1.300000000000000114e-02,1.010918618664636615e+00,1.002369697506516610e+00,9.948553594675657585e-01,9.976433829079851545e-01
1.400000000000000029e-02,9.934332648256025688e-01,9.629765169450810181e-01,9.744927332153586752e-01,9.952127821317573453e-01
1.499999999999999944e-02,1.018416272950417811e+00,9.917466878564957788e-01,1.002683313549230570e+00,9.964257955760134067e-01
1.600000000000000033e-02,9.520879177748187150e-01,9.828220651114591977e-01,1.008947088184352081e+00,9.941108416239826662e-01
