t,H=0.1,H=0.2,H=0.3,H=0.4,H=0.6,H=0.7,H=0.8,H=0.9
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,1.021824425165562378e+00,-1.740642888162904078e-01,6.561693321143186042e-02,-5.273122164854494864e-02,-1.224487217419589942e-02,4.560217788736330190e-05,-1.099391830748227498e-03,1.403166194273657670e-03
2.000000000000000042e-03,4.189321440710851441e-01,3.751852631490337764e-01,6.709787762301967773e-02,-2.307225483314500822e-02,-1.951184040800676978e-02,1.333545752900215046e-03,-6.129838032064974240e-03,2.815533276582737020e-03
3.000000000000000062e-03,1.106800255897760543e+00,6.525941607166569902e-01,-2.681292647334782564e-01,-5.069582188020382157e-02,-2.983709534364559907e-02,-7.649571199767791693e-03,-1.131729388101796775e-02,4.691089453511671642e-03
4.000000000000000083e-03,3.865357046535496943e-01,3.544173965756171052e-01,-1.828512780133057514e-01,-1.370607649251462667e-01,-3.466645799291050850e-02,6.239548377901596443e-03,-1.241939180864037005e-02,7.850103692350104967e-03
5.000000000000000104e-03,5.103745449787104871e-01,-1.013992603597114184e-01,-9.431845645549365165e-02,-2.135541163192906100e-01,-5.686326928020647015e-02,9.981114119495308745e-03,-1.300598160700914933e-02,8.601574119023904300e-03
6.000000000000000125e-03,9.541407199568323616e-01,1.087996135936247777e-02,-2.594135518410498609e-01,-2.372888737698564676e-01,-7.708410634799583994e-02,1.478130525220042700e-02,-1.466281452141756855e-02,8.332702678750140285e-03
7.000000000000000146e-03,9.223722156384220883e-01,9.902698072247902161e-02,-3.883598882951704301e-01,-1.914663105189653991e-01,-5.890234968913857228e-02,3.509161504143994137e-02,-1.967604678523191333e-02,9.676949041415848843e-03
8.000000000000000167e-03,1.981157136165788701e-01,-4.421971847328197147e-01,-6.063361912199887183e-01,-1.912263650095171463e-01,-4.691687878845372806e-02,5.128284398686160095e-02,-2.202690483892438475e-02,1.154001023367843930e-02
9.000000000000001055e-03,6.379712081634301146e-01,1.895488753942609073e-02,-6.428537278045993730e-01,-2.584946969438749464e-01,-6.149260501962402342e-02,6.079132798708232477e-02,-2.468845783288003276e-02,1.210670541433794302e-02
1.000000000000000021e-02,4.304472197748013262e-01,-3.897996952074199717e-01,-6.289077095343917900e-01,-1.740782575676061983e-01,-5.522938437955350610e-02,7.281661606320161129e-02,-2.374487412801523645e-02,1.271808766405872759e-02
1.099999999999999936e-02,8.717774439011813925e-01,-4.486922396443715488e-02,-4.660688045101529231e-01,-2.548762190546727258e-01,-3.109509740882440698e-02,8.561029883320826761e-02,-2.234769012500495075e-02,1.381444187062638718e-02
1.200000000000000025e-02,5.451076967520840366e-01,-1.858948481748251280e-01,-3.864066509143188055e-01,-1.683977620084902704e-01,-3.999778237067992681e-02,8.981160549880844168e-02,-2.493380508719596558e-02,1.484660644246410879e-02
1.300000000000000114e-02,3.305414714264964804e-01,-4.179318032820429352e-01,-1.592465865837717209e-01,-2.189107171360970550e-01,-4.345491288896096566e-02,9.352297629422023917e-02,-1.887435304424641552e-02,1.599160176780225345e-02
1.400000000000000029e-02,3.006739366847694384e-01,-2.379674357258262929e-01,-2.234625907550578106e-01,-2.461553546156172723e-01,-1.721186440164444720e-02,9.145565078747781851e-02,-1.340099632643171335e-02,1.646022888768008605e-02
1.499999999999999944e-02,7.825389873224397608e-01,8.574978099166052914e-02,-8.346922009751858718e-02,-2.223148364665255561e-01,-1.518605119515025609e-03,8.133653705014487478e-02,-1.566885125517685981e-02,1.811263393700390800e-02
1.600000000000000033e-02,6.162477677968678513e-01,1.636924713661030983e-03,1.313269317984283591e-03,-2.646641924513096211e-01,1.856633583573128257e-02,8.516525239394702462e-02,-1.746186662665313513e-02,2.069474787868289326e-02
1.700000000000000122e-02,1.133884000500594347e+00,2.558489134290097278e-01,-1.343336317764715071e-01,-3.223755220360814966e-01,-2.396941579644554232e-03,7.978385782946950666e-02,-1.797554220168402078e-02,2.143653562233509974e-02
1.800000000000000211e-02,8.445066101248669410e-01,6.298192791738399521e-02,8.724143673327225401e-02,-1.675345550398586181e-01,-3.451585709353748727e-02,6.827248838563652888e-02,-1.965642480095767392e-02,2.435639237981561747e-02
1.899999999999999953e-02,3.805843222618401911e-01,2.983308495396170823e-01,-6.490398742704958646e-02,-1.834846372432849260e-01,-1.878493610590422150e-02,7.188846284355385197e-02,-1.849940782143629642e-02,2.489129034160781490e-02
2.000000000000000042e-02,3.915088886449533123e-01,-2.610693525126887016e-01,-1.434416767247565505e-01,-2.233916404896842123e-01,-2.840703376657145729e-02,7.083298446728517050e-02,-1.586345901150347168e-02,2.484968050491789468e-02
2.100000000000000130e-02,7.962351254314046223e-01,-4.375523094802545310e-01,-2.765278745313849984e-01,-3.726379277280937874e-01,-4.161888644180648800e-02,7.418604229463413025e-02,-1.298856751156388101e-02,2.593553080635569580e-02
