t,x
0,-2.1396819240763514
1,-2.1367870453576963
2,-2.049720979265474
3,-2.0164910937619074
4,-2.019610397488619
5,-2.0149920017406506
6,-2.006373414548425
7,-2.018616845725899
8,-2.0115138696307415
9,-2.0082226033931225
10,-2.027623169645831
11,-2.0258692659267696
12,-2.024732187232233
13,-2.016466824776065
14,-1.9730375149190988
15,-1.7073199859183283
16,-1.5941839098085033
17,-1.617937036356507
18,-1.397143808781978
19,-1.4028987427771582
20,-1.201547885440568
21,-1.1637372167772824
22,-1.0584885055149886
23,-1.0209655431889995
24,-1.0173961888560537
25,-0.8225795816583521
26,-0.7268475001705009
27,-0.6849088176316518
28,-0.5381454908531966
29,-0.3606620651803742
30,-0.22739892223931094
31,-0.17387427141522518
32,-0.1641503726633576
33,-0.16165119897469726
34,-0.15518347704544758
35,-0.15629660565501707
36,-0.06333667150086204
37,-0.06011443039774205
38,-0.03490031464546604
39,-0.02918047726872217
40,-0.03730987127324534
41,-0.04008862590908051
42,-0.04874328418242379
43,-0.0461954083578114
44,-0.046444668733534686
45,-0.045097750678740854
46,-0.06392977754060483
47,-0.07292681124481419
48,-0.15470401799054476
49,-0.22809234021071487
50,-0.41954919710432337
51,-0.4489832864502574
52,-0.5087204682294556
53,-0.5032709259869999
54,-0.5424914469836793
55,-0.5402867900739557
56,-0.7002265458690193
57,-0.6993172495078552
58,-0.7929517820314218
59,-0.8418848767735372
60,-0.8660300538620138
61,-0.8674159826539286
62,-0.9668344408856256
63,-0.9227570910482306
64,-0.9425397906286385
65,-1.1711216131584963
66,-1.165186266088312
67,-1.229846001962156
68,-1.225012948682657
69,-1.2375291641314314
70,-1.263866721642072
71,-1.279616434539457
72,-1.272110668237859
73,-1.3330069004348832
74,-1.2825728682134345
75,-1.3719097162086544
76,-1.3937784390327101
77,-1.3828615280765233
78,-1.3968999438138316
79,-1.4029256405647406
80,-1.3931375242651864
81,-1.4583583036945427
82,-1.4728861875119834
83,-1.6134459181807468
84,-1.6105089176352638
85,-1.5997153913310231
86,-1.6111155810859639
87,-1.5470255531278807
88,-1.5603862504980912
89,-1.5401889881549273
90,-1.6255567972221598
91,-1.2293970139762482
92,-1.2272684009138755
93,-1.2254873382415716
94,-1.2697339651878112
95,-1.2816560804151895
96,-1.2977009294022157
97,-1.3012144485073525
98,-1.2999511982598888
99,-1.308106789107098
100,-1.2594615681079515
101,-1.251540544431328
102,-1.2064600783084851
103,-1.1915350897192705
104,-1.179780139026727
105,-1.1908698336197197
106,-1.1905029196033792
107,-1.2223859149728713
108,-1.226734457710944
109,-1.2247567672091209
110,-1.2245002831600935
111,-1.617564032704971
112,-1.6128491607545148
113,-1.5980755456596853
114,-1.6384067055922131
115,-1.6387605625567976
116,-1.6387770294904538
117,-1.6426034728041856
118,-1.6455232984875834
119,-1.6441241759887149
120,-1.761564125829067
121,-1.76005513929081
122,-1.954297467129003
123,-1.9670754495479605
124,-1.9904955493454226
125,-1.9801895903381121
126,-1.9716802750825224
127,-2.0317369455643863
128,-2.100537635973584
129,-2.106304832935669
130,-2.1326106470729416
131,-2.158633948850128
132,-2.23925600652547
133,-2.241145888190702
134,-2.1901797204892417
135,-2.1975975397775587
136,-2.1943332079727247
137,-2.2156501377554543
138,-2.2156577232763923
139,-2.2034449266213207
140,-2.3264785058024997
141,-2.381667469436556
142,-2.3580098548544925
143,-2.4316384520282517
144,-2.4631485417866776
145,-2.509502271217079
146,-2.5164445499243695
147,-2.501659342532251
148,-2.4832593077735474
149,-2.37052957238286
150,-1.7974077150981616
151,-1.776105471924994
152,-1.6206781135182047
153,-1.5687619517822577
154,-1.5492865095155173
155,-1.549510450560182
156,-1.5259205813568362
157,-1.5233546893007497
158,-1.520736597150014
159,-1.513734547071918
160,-1.5002498292878896
161,-1.4891705867982492
162,-1.487700437271296
163,-1.4354114936953206
164,-1.4521494195598832
165,-1.4128403112495782
166,-1.384657255913499
167,-1.383949344455816
168,-1.3823878368831317
169,-1.410378611390226
170,-1.541204826974629
171,-1.4995865965397395
172,-1.5834070358836914
173,-1.5995151774948895
174,-1.6503036794090993
175,-1.6420508901193036
176,-1.6261602369557586
177,-1.6163401647957276
178,-1.6114799279738865
179,-1.627124178064473
180,-1.6581107703412323
181,-1.6305046142616313
182,-1.6416790839487274
183,-1.7758413484828974
184,-1.7747988616920667
185,-1.8162422109142498
186,-1.768276114792879
187,-1.772158297486438
188,-1.558897267216062
189,-1.5398110879733544
190,-1.5326329546705635
191,-1.559695375131291
192,-1.5364243885065785
193,-1.5112260357015999
194,-1.472213307867517
195,-1.480207066785254
196,-1.49692447806651
197,-1.5025436601824718
198,-1.5041233399920477
199,-1.4888647351608857
200,-1.4693298872399496
201,-1.502477825095199
202,-1.4955726113777685
203,-1.4735459135618576
204,-1.4743905682257918
205,-1.465800955791811
206,-1.5198252763850713
207,-1.5017395355826229
208,-1.767246043361798
209,-1.7766295668994105
210,-1.8255119528029466
211,-1.829082278861204
212,-1.8727633543759319
213,-1.9703036213438518
214,-2.0591749494491047
215,-2.054200105934174
216,-2.0907281287208574
217,-2.054358717014947
218,-2.066117201321501
219,-2.1207716127466587
220,-2.1784838937459976
221,-2.1637285502377366
222,-2.1813403278907346
223,-2.272321594263237
224,-2.2563762901555537
225,-2.282133732126015
226,-2.282706539248878
227,-2.4520014760138604
228,-2.451191792418482
229,-2.40396177909734
230,-2.4227868991271384
231,-2.5165441172103007
232,-2.488548131054688
233,-2.298176772875617
234,-2.3158305791283227
235,-2.3024339986488824
236,-2.1918284404816193
237,-2.235726246702708
238,-2.2012496236726875
239,-2.2053666837709325
240,-2.2281761454196323
241,-2.284587463777862
242,-2.2422542716507867
243,-2.2258388017662463
244,-2.1566740787822893
245,-2.172878477467876
246,-2.1684463446310485
247,-2.1683480613166624
248,-2.1629284962499544
249,-1.9090644603682345
250,-1.8862907408976477
251,-1.7860614446813663
252,-1.7376955503551539
253,-1.755691586440706
254,-1.762401003296917
