,Date,alpha=-10,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394,3.3979394
1,0.001,3.36872,3.3828115,3.2753146,3.295449,3.3164735,3.374992,3.276516,3.2884538,3.3399653,3.246521,3.2802608,3.2586977,3.3837047,3.37744,3.3996716,3.3436337,3.3935018,3.4084249,3.4031138,3.2744818,3.2549582,3.2968163,3.278542,3.2989223,3.3318,3.3155937,3.347948,3.19559,3.2650542,3.3432808,3.364407,3.2485812,3.2645977,3.46823,3.1945128,3.2672887,3.3106236,3.3570201,3.208411,3.2184145,3.289315,3.3322902,3.3829734,3.255458,3.3156059,3.3207068,3.3238792,3.4148567,3.4474926,3.2569332,3.320554,3.2173584,3.4409106,3.2972968,3.2495322,3.396141,3.2656658,3.2182093,3.2208803,3.3961134,3.433203,3.2761095,3.2415326,3.253293,3.333302,3.4504516,3.4513202,3.3228106,3.3424354,3.2578082,3.4785743,3.4736617,3.4332528,3.3996127,3.263254,3.3886495,3.3171453,3.2774062,3.3522804,3.2095413,3.2479856,3.3177803,3.2800364,3.2950563,3.3196907,3.4242418,3.2625973,3.2562497,3.3483884,3.248561,3.3118649,3.4340808,3.2638936,3.264232,3.25168,3.3469684,3.4153776,3.3094978,3.234147,3.3257377,3.4601927
2,0.002,3.4440973,3.509041,3.307511,3.3843887,3.2292116,3.4837375,3.2428396,3.1801658,3.362784,3.1290073,3.4370604,3.380144,3.553943,3.4986303,3.3161457,3.5220695,3.3464372,3.3452504,3.5609725,3.3808925,3.1399326,3.2844472,3.3138597,3.3953629,3.5322554,3.434277,3.4690459,3.0820782,3.4156952,3.2781262,3.538403,3.1700604,3.3572838,3.3837833,3.3099003,3.3847365,3.145052,3.4136224,3.3422627,3.1880727,3.2469835,3.2966852,3.3570726,3.3861604,3.4163373,3.186953,3.3269188,3.34574,3.6064272,3.333111,3.4867368,3.1865146,3.5196686,3.346003,3.1829326,3.2646356,3.2201798,3.2721791,3.2150936,3.5564685,3.558372,3.1919308,3.3592646,3.4087634,3.467279,3.5226517,3.5112143,3.412953,3.2653208,3.3470922,3.5334513,3.3889902,3.4609165,3.3935635,3.211752,3.4014654,3.3135626,3.346959,3.4265773,3.2497783,3.3741043,3.4807684,3.3312786,3.3058887,3.402578,3.496664,3.196008,3.3136387,3.4715424,3.13342,3.4534245,3.306308,3.3422601,3.3408225,3.1754537,3.3579307,3.553779,3.2904358,3.0986235,3.4491367,3.5403311
3,0.003,3.162882,3.4726775,3.321037,3.4243786,3.091708,3.3775153,3.1454272,3.2262683,3.2333515,3.1289666,3.291628,3.4126477,3.6000874,3.4405744,3.3086164,3.4282613,3.2880116,3.3759224,3.4075665,3.2337325,3.1967552,3.335209,3.2622242,3.255465,3.42245,3.450143,3.4279048,2.8985853,3.3298845,3.3879259,3.380006,3.0682874,3.4288983,3.3233042,3.1958408,3.426525,3.2737563,3.4052162,3.1510265,3.0708194,3.3261845,3.281232,3.4162385,3.2527094,3.5397182,3.0558438,3.2019875,3.345795,3.5795083,3.1992793,3.4280894,3.3298883,3.5774884,3.3213592,3.1380575,3.2767222,3.258897,3.193874,3.1344395,3.5030997,3.5021112,3.3349648,3.29753,3.3555014,3.5522075,3.4330766,3.4037473,3.334049,3.170028,3.3930767,3.3900075,3.2402177,3.4082227,3.426703,3.129844,3.3843312,3.3002582,3.139893,3.3707764,3.32396,3.189738,3.4840655,3.4227324,3.2189486,3.304351,3.4294593,3.070467,3.2759225,3.4911335,3.1835916,3.3491163,3.4325342,3.4009616,3.2683854,3.0600576,3.4265876,3.4851663,3.1461,2.9595523,3.3602993,3.6058466
4,0.004,3.393995,3.4250052,3.1836412,3.486731,3.2037244,3.2599492,3.129305,3.2381299,3.3657568,3.081216,3.2226152,3.3240073,3.7179813,3.371891,3.2325273,3.5693655,3.3375344,3.4470623,3.4638255,3.1559541,3.2104232,3.514131,3.273234,3.2138958,3.5681868,3.5135562,3.4844801,3.0509892,3.1560922,3.4598422,3.318571,3.0780985,3.4741826,3.1611977,3.1748583,3.4213357,3.2000415,3.2967722,3.1178002,3.1022782,3.41115,3.2736514,3.4960659,3.1582994,3.6834493,3.1404388,3.3118412,3.495626,3.5532308,3.3594112,3.3033419,3.2679965,3.6907666,3.2678251,3.206759,3.2620173,3.2594094,3.2205822,3.100455,3.6212568,3.596357,3.1782322,3.3580472,3.3012433,3.4185665,3.4838984,3.3463604,3.3595564,3.2058644,3.3310149,3.454327,3.197598,3.479381,3.368106,3.11273,3.1886926,3.2298775,3.1723719,3.2134204,3.2796662,3.3004494,3.453035,3.3904412,3.3372614,3.2477124,3.5199606,2.9833322,3.1854568,3.5056922,3.291555,3.4824557,3.309269,3.2927527,3.4343383,3.1526227,3.5092363,3.3505986,3.1909795,2.919292,3.2487376,3.5778391
5,0.005,3.1522198,3.3850365,3.273577,3.4125612,3.1197305,3.3185737,3.1913562,3.1201274,3.2214723,3.1088598,3.2063155,3.455099,3.5724447,3.496939,3.1132038,3.6556683,3.2524838,3.4859805,3.318984,3.2256293,3.2136447,3.5487788,3.2067943,3.3067775,3.439892,3.4919524,3.3688564,3.0671647,3.2732494,3.4775975,3.2806363,3.0327873,3.569332,3.0926487,3.14823,3.5009813,3.0768855,3.2640836,3.1721318,3.2645175,3.4342535,3.1018176,3.3974526,3.080278,3.5895581,3.0890176,3.3299015,3.525906,3.5558755,3.2697344,3.1604774,3.1520445,3.6668918,3.1465988,3.1110215,3.135356,3.094364,3.151041,2.9501612,3.4317267,3.5660877,3.101962,3.4263837,3.4270403,3.5194547,3.587038,3.274146,3.2976658,3.0689054,3.3355052,3.3521504,3.07221,3.301966,3.2035966,3.043448,3.2848003,3.2294817,2.9784367,3.0220041,3.2307162,3.335672,3.317483,3.484471,3.4480515,3.0920804,3.3949425,3.085731,3.2876818,3.4900181,3.1504984,3.365358,3.192117,3.2039354,3.4590564,2.9810166,3.4648662,3.2449887,3.2473621,2.8032217,3.1441982,3.5282402
6,0.006,3.0025542,3.37817,3.2013643,3.5081594,3.1127105,3.4173641,3.2242734,3.0799706,3.148551,3.2593222,3.1019156,3.3818703,3.462273,3.5092356,3.0400474,3.5826027,3.3005056,3.6151206,3.3604834,3.3502629,3.3219411,3.5575993,3.2089262,3.360221,3.5300398,3.5476837,3.2885182,3.0565717,3.26312,3.4032161,3.336987,3.1764698,3.6960504,3.1337538,3.116936,3.4157236,3.2245011,3.3874133,3.2449992,3.3791332,3.419563,3.1342952,3.429025,2.9191096,3.4463367,3.0342548,3.391449,3.5591285,3.4444106,3.227494,3.2475893,3.1560705,3.6817226,3.2687066,3.1838467,3.2909286,3.1160355,3.0906947,3.0837884,3.4559903,3.6763334,3.2580912,3.3290884,3.3268516,3.4006736,3.5768692,3.311037,3.2567353,3.0718603,3.3928347,3.3879566,3.0800595,3.3371239,3.3103974,3.086845,3.4493213,3.1909957,3.0092838,3.13308,3.2207577,3.2056167,3.250286,3.4377444,3.3311293,3.1420612,3.4827378,3.1452417,3.42078,3.4177306,3.2101932,3.2559907,3.1408672,3.074128,3.5420058,2.850613,3.471575,3.290627,3.4069986,2.9004292,2.9957469,3.661272
7,0.007,2.8689306,3.4085014,3.084697,3.4113004,3.0266101,3.4136105,3.1815097,3.1104193,3.2042606,3.3047066,3.242316,3.411396,3.514078,3.4256961,3.0665703,3.4592128,3.2069721,3.595064,3.379307,3.403622,3.4165235,3.637796,3.3428557,3.369486,3.5303123,3.642086,3.2234676,2.9100754,3.2841141,3.5174224,3.4100575,3.3173482,3.5315018,3.203874,3.0959895,3.3203998,3.346016,3.3882885,3.1575074,3.3237805,3.4044003,3.08759,3.4990978,2.7793498,3.3297446,2.9662008,3.3975086,3.407847,3.3475647,3.0652776,3.298852,3.216382,3.741829,3.1495044,3.1303964,3.2072268,3.133454,2.8946712,3.071149,3.523092,3.617597,3.1727295,3.4381757,3.3635345,3.2988162,3.4885843,3.250026,3.1579208,3.065759,3.3504488,3.4594169,3.0318024,3.3373785,3.4111845,3.1234865,3.440139,3.0147414,2.8407676,3.2872238,3.121237,3.2952075,3.2024782,3.3310137,3.411796,3.281788,3.4291883,3.1671183,3.2876086,3.3155289,3.1487668,3.2341077,3.134305,3.1259863,3.45443,2.7808895,3.3686447,3.2771482,3.2749891,2.8470542,2.862301,3.7640893
8,0.008,2.7827163,3.5011451,3.0010922,3.3850892,2.9997983,3.3616402,3.1395926,3.2310817,3.1605892,3.4337497,3.264697,3.5606987,3.5715382,3.490519,3.0057485,3.5896046,3.1457584,3.6960773,3.409751,3.4749506,3.320452,3.5822914,3.2579508,3.3768423,3.3858879,3.7293663,3.1221354,2.8883522,3.4190085,3.4312763,3.4171386,3.3955562,3.612077,3.1260545,3.2548122,3.1659005,3.3902097,3.495399,3.2486699,3.360853,3.353882,3.1460595,3.4769444,2.6888819,3.2686784,2.8704972,3.2919924,3.4606664,3.3432682,3.0535307,3.3656483,3.2968829,3.7153134,3.0929794,3.1892772,3.2842479,3.027515,2.7622514,3.0772724,3.472181,3.7020028,3.1500885,3.3484936,3.3263843,3.136161,3.6172264,3.0684233,3.2616258,3.171162,3.4603493,3.565868,2.9296944,3.2359443,3.247879,3.0680346,3.3321962,2.9897285,2.9137063,3.4076817,3.0726085,3.2674046,3.0488214,3.2219558,3.276853,3.2246666,3.566086,3.0621784,3.2665021,3.4464896,3.0726876,3.384315,3.0830002,3.0806189,3.507791,2.7133842,3.4181452,3.3787646,3.1643019,2.7916436,2.834241,3.7623217
9,0.009000000000000001,2.884007,3.3867736,2.995718,3.2405238,2.9448738,3.3797076,3.247434,3.1059983,3.141002,3.5109706,3.1691167,3.5205984,3.68933,3.566838,2.9144506,3.6871274,3.0476992,3.7785597,3.3558116,3.3734515,3.402297,3.4245784,3.1549695,3.3761573,3.502475,3.6272593,3.0877185,2.8603806,3.3885086,3.3856788,3.5475712,3.468761,3.604105,3.132584,3.2687504,3.2070777,3.374456,3.4990582,3.2248697,3.2954335,3.2569542,3.347029,3.4136937,2.7071195,3.4205747,2.7272165,3.3162723,3.3819742,3.3591542,2.934696,3.4671621,3.3631575,3.7495375,3.1725912,3.1026287,3.146071,3.0148969,2.7651258,3.029085,3.4747622,3.7701595,3.1258993,3.3224382,3.2059252,3.2878647,3.5844016,2.9865768,3.3318498,3.027291,3.4593668,3.6460981,2.8856797,3.2281327,3.4516459,3.1084242,3.2308795,3.0583057,2.909357,3.2926242,3.1618946,3.3622665,2.9064891,3.200313,3.3044639,3.2427466,3.4338446,3.0119774,3.417248,3.511332,3.2741594,3.4320514,2.9395149,2.9777465,3.4557743,2.7112715,3.330722,3.3722036,3.019183,2.8415651,2.6502938,3.881383
10,0.01,2.749323,3.4404986,2.8345237,3.342137,3.0343843,3.4811747,3.1162724,3.037396,3.046907,3.623967,3.1085057,3.434229,3.654482,3.379664,2.793914,3.7174659,3.1333344,3.8221803,3.1677754,3.287595,3.2854795,3.332189,3.2132046,3.2984788,3.3812273,3.73627,3.0476067,2.9796226,3.3047743,3.4475305,3.6739895,3.613548,3.7011538,3.2666235,3.2037938,3.0983768,3.3813682,3.5878372,3.3461587,3.4581537,3.2141192,3.3505387,3.4565275,2.7989912,3.3344944,2.7200298,3.2107496,3.3463647,3.17599,3.0506418,3.4204373,3.3905764,3.6653934,3.192003,3.0269828,3.065096,2.9329581,2.6566148,2.9560068,3.4971707,3.7850902,3.2425869,3.3203657,3.2808943,3.2527137,3.6990821,3.040053,3.388198,2.9516306,3.4055598,3.5601766,2.8820639,3.2121847,3.3585622,3.0026631,3.1803598,2.9576921,3.1032875,3.4471574,3.1917076,3.2165713,2.965209,3.3608851,3.3007112,3.1412733,3.4356868,2.9383562,3.3235023,3.4544902,3.1058924,3.3414319,2.8926492,3.0357342,3.4080923,2.6541557,3.169465,3.4530768,2.9378538,2.887776,2.7075343,3.9933596
