,Date,alpha=-2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974,1.611974
1,0.001,1.6909691,1.1786633,1.4385973,1.6857194,1.7807232,1.6919065,1.6624365,1.5859079,1.5758473,1.6503536,1.6222441,1.7141684,1.8091692,1.2883834,1.6443045,1.8726327,1.7022728,1.6588739,1.4581001,1.4126103,1.3798368,1.7235234,1.6907774,1.6020195,1.7807095,1.7363245,1.6230294,1.7188092,1.7590888,1.6329782,1.5287694,1.4746424,1.5411373,1.4073187,1.7389238,1.636866,1.6322178,1.7460904,1.5949471,1.5129291,1.6463186,1.6851726,1.559202,1.5938903,1.5050739,1.4561329,1.4054419,1.5915096,1.5090622,1.4226315,1.7252026,1.4965625,1.4992343,1.4742819,1.6259193,1.7774312,1.5309429,1.7744043,1.7392743,1.6819488,1.406905,1.3908999,1.4650733,1.7656872,1.4624596,1.6106853,1.5551095,1.4391326,1.3047965,1.7565907,1.6753602,1.4393501,1.419632,1.6806874,1.7028286,1.6390632,1.5603402,1.6104459,1.739256,1.5735594,1.5970242,1.6620556,1.4951197,1.4091797,1.5400357,1.6996741,1.653211,1.7183177,1.4640677,1.4928888,1.666966,1.8875018,1.706158,1.4982338,1.4981016,1.6624404,1.7838124,1.7710602,1.4881778,1.61599,1.609926
2,0.002,1.6593069,1.1783864,1.5155267,1.4747456,1.859241,1.7841374,1.4331062,1.7377757,1.6060098,1.737907,1.7729491,1.4820762,1.4035795,1.2323632,1.8158313,1.8727545,1.7792531,1.4568933,1.6363277,1.2556757,1.3549638,1.6172588,1.7904537,1.3379108,1.782709,1.7310458,1.7916422,1.710012,1.884565,1.6881884,1.5464429,1.5754024,1.7524326,1.440974,1.4972439,1.6076249,1.8265336,1.6140121,1.6038549,1.3816049,1.7075913,1.5943214,1.4747968,1.615523,1.623956,1.3037589,1.3177726,1.9466602,1.2582844,1.4383298,1.5962662,1.4851073,1.5451708,1.2157296,1.532203,1.7352326,1.7446107,1.7345662,1.9096252,1.793332,1.4942752,1.3249127,1.6380925,1.9902445,1.5943294,1.3389063,1.5206817,1.2804222,1.3724556,1.6767733,1.6483195,1.4775033,1.4254842,1.5041584,1.9168696,1.4731795,1.5264146,1.7565114,1.8522956,1.5172584,1.493878,1.5828606,1.4286814,1.2380215,1.6331196,1.6985945,1.6931181,1.7884922,1.3728342,1.4063474,1.4096345,1.7865553,1.5923814,1.6990018,1.3549294,1.7231338,1.6122466,1.9660261,1.6147566,1.6397822,1.6549181
3,0.003,1.6610599,1.168051,1.4676037,1.4809837,1.8162425,1.7214379,1.4140338,1.6598253,1.5374849,1.6753933,1.7930355,1.5943787,1.4263681,1.0139052,2.074876,2.1097877,1.5868819,1.4537197,1.5199732,1.4095373,1.2593564,1.7649957,1.9712937,1.1769835,1.7237839,1.5700266,1.8158525,1.8137984,2.0475428,1.5211887,1.6183321,1.6171573,1.6308619,1.334627,1.5303136,1.5683928,1.6480699,1.5525901,1.4022068,1.2197188,1.8006223,1.7990236,1.5749263,1.7185452,1.5523096,1.3600688,1.5434046,1.8267303,1.1447597,1.3484812,1.6498873,1.4395546,1.7516841,1.2700692,1.6604257,1.7401571,1.8991778,1.7079729,1.9371594,1.7936251,1.9015586,1.2340668,1.6797622,2.1687746,1.6205364,1.3093369,1.5630603,1.2302802,1.02066,1.7558744,1.5608435,1.532513,1.506516,1.3458639,1.9846209,1.5820768,1.640313,1.610934,1.6876308,1.452988,1.435374,1.7825633,1.3362403,1.1660815,1.6991271,1.7184708,1.5302036,1.9194195,1.3987803,1.3466012,1.4242346,1.8135746,1.6376655,1.4833596,1.1394893,1.7120875,1.6286782,2.1561506,1.4465079,1.602922,1.8878708
4,0.004,1.7702192,1.1614718,1.7217585,1.6395025,1.8238932,1.8738858,1.3656412,1.613777,1.4094288,1.4967872,1.8934528,1.4934394,1.5915792,1.048721,2.0013032,2.0924675,1.5130503,1.3319526,1.4390707,1.4418914,1.2640603,1.7869884,2.0788789,1.1437639,1.8453609,1.5794282,1.5260187,1.5518494,1.7896783,1.3335766,1.6854333,1.5181463,1.7075768,1.1634511,1.4232993,1.7663561,1.5843046,1.3257159,1.3669809,1.1069003,1.8068334,1.7953472,1.6028767,1.8771294,1.3268172,1.5169122,1.6259496,1.8912921,1.3589362,1.2121366,1.559404,1.1151612,1.8164263,1.4916745,1.7661524,1.7370113,1.9141537,1.8519281,1.8408134,1.8222586,1.9468217,1.325568,1.8224281,2.068231,1.7616191,1.646964,1.7781724,1.2743863,1.1130904,1.3611368,1.655266,1.5518408,1.6875765,1.2571354,2.0941794,1.4635698,1.8584791,1.4859084,1.8185458,1.2950356,1.4544199,1.8154985,1.3724641,1.2757709,2.010069,1.7295419,1.4997766,1.9701371,1.5155114,1.3021369,1.3898275,1.7539865,1.6583548,1.3743328,1.0677928,1.5822122,1.6760539,2.001841,1.4464492,1.8242645,2.0873234
5,0.005,1.698176,1.070932,1.9661472,1.5222452,1.6368346,1.6972462,1.4564172,1.4288936,1.5034121,1.4479336,2.002979,1.1901027,1.5557632,1.1211882,1.9603552,2.097872,1.4634986,1.299114,1.6033887,1.589058,1.3027068,1.6361083,1.8385463,1.073201,1.7687585,1.5331138,1.4906723,1.4319592,1.6554891,1.4773306,1.4629077,1.654769,1.713111,1.205177,1.321825,1.6534735,1.5257167,1.1335697,1.3382245,1.0280954,1.9748498,1.8977796,1.7539357,1.6613033,1.2563307,1.7552392,1.7591976,2.0468783,1.6879457,1.2026054,1.6277914,1.1908231,1.8261801,1.6817411,2.1083336,1.792437,1.8489994,1.8647413,2.038284,1.7011205,1.8534005,1.4225179,2.059939,1.8525859,1.5273876,1.8975782,1.9932425,1.0845062,1.1945401,1.39556,1.825986,1.265674,1.598659,1.4275229,1.9674257,1.6429162,1.9900899,1.4286473,1.6143339,1.571982,1.4593076,1.6477823,1.3062832,1.121257,1.9181563,1.7774616,1.4536023,2.184415,1.4643573,1.2077062,1.340597,1.6439213,1.4137787,1.3825746,1.1656646,1.6371081,1.5366008,2.011063,1.4543161,1.8033645,2.2228134
6,0.006,1.5481528,0.8861978,2.2050714,1.5772872,1.7232618,1.6884185,1.509997,1.5860184,1.4754874,1.4956954,2.199766,0.8751303,1.4543768,0.96729934,1.8855426,2.434119,1.4931839,1.2359835,1.7748374,1.6294125,1.3766576,1.7540358,1.7717849,0.921077,1.8675443,1.6324464,1.3510854,1.6257849,1.7514304,1.2987465,1.5712702,1.7024466,1.770108,1.1627636,1.166208,1.5822936,1.5197505,1.3023022,1.5760734,1.3001775,2.0963526,1.8901086,1.511011,1.6301756,1.0647551,1.6406982,1.6642116,2.1750572,1.4436363,1.2616082,1.4460295,1.0900477,1.6751683,1.5654827,2.1161313,1.8002355,1.8171074,1.8527561,1.9772402,1.8876117,1.9782066,1.4717672,2.202428,1.7648184,1.5502368,1.7921299,2.02004,1.2659881,1.183021,1.3120617,2.1265037,1.3313944,1.6630644,1.4314204,1.8073896,1.7385317,1.9453521,1.6889541,1.6908727,1.5637012,1.2859114,1.761516,1.3623474,1.0910232,2.180183,1.6817775,1.5810043,2.1118429,1.4609699,1.3571088,1.3873593,1.6427462,1.4491979,1.5997924,1.3490083,1.4686666,1.772353,1.9258362,1.2991681,1.6667272,2.4368353
7,0.007,1.4456762,0.9634574,2.060323,1.4247535,1.4934993,1.6929464,1.5623931,1.6693239,1.6107508,1.435265,2.0785372,0.727199,1.6377645,0.8487565,1.9984677,2.54932,1.3936555,1.382485,1.6806647,1.7871357,1.2912636,1.7166705,1.7609899,1.0057681,1.6479237,1.9393238,1.3082043,1.6406595,1.6591812,1.2866346,1.3740369,1.8150834,1.8242149,1.2234253,1.2856865,1.2510375,1.3620294,1.1790626,1.5281821,1.2652367,2.1413817,1.9078106,1.5033432,1.6684363,1.1922134,1.4646338,1.6849723,2.1916611,1.6457205,1.1642329,1.4878575,0.769985,1.7107514,1.6673766,1.9730141,1.8322803,1.8072561,1.6699691,2.0119646,1.971743,2.1128066,1.3298361,2.1515355,1.6687222,1.8478538,1.723632,1.8264879,1.3606819,1.1297802,1.1848723,2.0162044,1.2531965,1.4869282,1.5269333,1.6195501,1.8112329,1.9635564,1.6551576,1.6418178,1.3493757,1.2367367,1.9092401,1.257793,1.0378227,2.202855,1.6506761,2.1205091,2.2823765,1.5947871,1.3071462,1.3201396,1.5591407,1.475467,1.6128259,1.5827866,1.6039484,1.8899935,1.9542484,1.2315377,1.5304278,2.2981095
8,0.008,1.4041859,1.049685,2.0076413,1.3770808,1.543438,1.762308,1.4823724,1.5553782,1.9536335,1.600559,2.1537404,0.6944357,1.6626105,0.8707561,2.0831802,2.4179347,1.5451705,1.1742927,1.6232394,1.6077249,1.3188426,1.563554,1.8313966,1.2095606,1.377441,2.1003945,1.2322451,1.6999823,1.6435626,1.1062268,1.4693704,1.8502165,1.9411404,1.1019795,1.2846462,1.3387538,1.307568,1.0128714,1.3751965,1.2068415,2.0388625,1.9083805,1.4781456,1.9298329,1.2401712,1.3174998,1.9115298,2.1706793,1.5389184,1.362436,1.4787812,0.6439697,1.4788439,1.831112,2.0737128,1.6333436,2.0225327,1.5940392,1.8725288,2.482067,2.2700827,1.2720098,2.2279303,1.7549746,1.9495463,1.6258814,1.8141445,1.3794085,1.0472821,1.3798649,2.1063852,0.9993731,1.6356859,1.4075977,1.7135317,1.8718815,2.0173893,1.4782448,1.640246,1.523711,0.9591092,1.947262,1.3458852,1.1323107,2.1778014,1.4062197,2.178516,2.1359177,1.5181025,1.3353827,1.2423687,1.6179044,1.3345335,1.9273374,1.5586225,1.559628,1.7596992,1.981973,1.1951971,1.5676899,1.9517983
9,0.009000000000000001,1.2485896,0.92581123,2.0793173,1.1118116,1.7647828,1.8414795,1.4500194,1.6305884,1.9578445,1.7099829,2.1640306,0.9825298,1.8188499,0.98340774,1.862666,2.45613,1.4689262,0.9621018,1.7807043,1.5887573,1.5011604,1.5530103,1.9321815,1.0483508,1.4186696,2.1311357,1.4058366,1.711965,1.6954113,1.0925286,1.4875932,1.7718331,2.224039,0.8766466,1.3971589,1.2566864,1.4709797,1.197782,1.1374362,1.3147466,1.7455646,1.981521,1.5075184,1.9467568,1.1627824,1.2228332,1.8113286,2.1843061,1.5260543,1.4111328,1.4042569,0.8819096,1.3370726,1.9287513,2.0129037,1.5179102,1.8886616,1.6020089,2.0083954,2.6808674,2.414665,1.1548992,2.2710817,1.5574588,1.8988483,1.4542441,1.8543671,1.4753051,1.0804858,1.1870768,2.0794036,1.0175062,1.7232902,1.5308973,1.7393194,1.992545,2.0418975,1.7768822,1.5908918,1.4997995,0.88062686,1.8479095,1.1960448,1.1731371,2.282457,1.4357908,2.2906332,2.2325954,1.4829023,1.3070296,1.0659802,1.5269363,1.5551988,1.7874763,1.520841,1.7031227,1.5483646,1.9519002,1.2103319,1.6128917,1.9263109
