,Date,alpha=-20,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394,5.1400394
1,0.001,5.074495,5.0517797,4.9870267,5.3510075,5.1179037,5.0615935,5.2235594,5.1216664,5.1292586,5.419421,4.6336427,5.2952046,5.07726,5.072801,4.749449,5.497921,5.1381397,5.1799316,4.9643865,5.225275,5.001337,5.1204424,5.256118,5.0591335,5.2086215,5.134529,5.3014026,5.306411,5.094433,4.954614,5.103011,5.2484517,5.2642283,5.1700826,5.438177,5.2263575,5.0719957,5.172293,5.079394,4.9592957,5.3438287,5.090916,5.1646757,5.030385,4.9779353,5.351781,4.957822,5.0989175,5.391028,5.474165,5.184271,5.695717,5.155202,5.214243,5.4329987,5.3799415,5.198782,4.867808,5.233471,4.98083,5.453315,5.1821313,5.0847006,5.3526154,5.2401347,4.905014,4.9006405,4.9572015,5.474383,4.9094963,5.009717,5.3485603,5.0457506,5.1868677,5.14974,4.9430375,5.4138002,4.9659243,5.4702425,4.907358,5.3132863,4.9794703,5.0045075,5.394694,5.1738,5.290522,5.155993,4.869972,5.213154,5.254146,5.092646,5.4426427,4.9019814,5.034807,5.5484657,4.920342,5.256777,4.897955,5.052131,5.042258,5.0893807
2,0.002,4.8573174,5.0429397,5.1698503,5.325078,5.157331,5.2671533,5.04444,5.297719,5.1739335,5.4527254,4.503442,5.149367,5.245366,4.6983294,4.9091325,5.1905246,4.799251,4.9577527,5.2826915,5.25797,5.1721873,5.2598033,5.2607365,4.8631597,5.3456755,5.229657,5.042704,5.035284,5.388276,4.913562,5.466568,5.2713737,5.527668,5.3287272,5.653369,5.2535014,4.89829,5.5057,4.748597,4.591737,5.2196617,4.9917746,5.1962976,4.8385215,4.7520046,5.2958307,5.226847,5.326584,5.22336,5.541878,5.5138645,5.7046957,5.001065,5.4544725,5.1384053,5.413626,5.1574755,4.5931144,4.936175,4.909495,5.3636127,5.139134,4.7716475,5.2827673,5.117003,4.6097302,4.7695274,5.278389,5.4870105,4.961942,4.8171163,5.128612,4.9224553,4.8267803,4.7358,4.79545,5.4706893,4.8440795,5.2378764,4.960968,5.669386,4.815279,5.0146294,5.5764294,5.069307,5.07432,5.025813,5.0874825,5.1558285,4.993409,5.1057925,5.1151047,4.7836294,5.2240534,5.708715,4.6842527,5.2475886,4.852757,5.004639,5.0075207,5.309111
3,0.003,5.0471444,5.2041388,4.8724065,5.0660777,5.1037364,5.3823786,4.796812,4.922539,5.5192623,5.203863,4.571577,5.2920456,5.4502707,4.7614164,4.9477344,5.1283784,4.788334,4.867188,5.591848,4.8970337,4.6670737,5.2007546,5.378093,4.793919,5.2686625,5.009149,5.122619,4.7530894,5.3700438,4.776729,5.6520276,5.472742,5.4234185,5.274511,5.4011235,5.0281067,4.819867,5.53699,4.81814,4.7804103,5.409778,4.9012904,5.404021,4.728966,4.6232424,5.485821,4.8797493,5.1806946,5.197872,5.451343,5.386691,5.6051493,5.053821,5.485472,5.173895,5.5334287,5.0806746,4.783912,4.779987,5.031082,5.6812096,5.0632215,4.6689997,5.2303276,5.2131996,4.696834,4.6199293,5.303207,5.5956655,5.0345464,4.9211297,4.9762483,5.0826116,5.0638804,4.7480593,5.179541,5.8565745,4.9361267,5.1343126,4.8246493,6.1096306,4.679395,5.105763,5.366681,5.3182745,5.3660483,4.9719334,5.2309985,5.0271053,5.1144624,5.201453,5.339674,4.7942586,5.4566154,5.8779325,5.04781,5.246483,5.0153036,4.9353294,5.1589518,5.236238
4,0.004,4.926873,5.3135366,5.2497163,5.136127,5.2205143,5.2865386,4.7030163,5.035315,5.478652,4.9768553,4.396488,4.8362246,5.5502048,5.040841,4.9603534,4.7709002,5.0030212,5.043579,5.943031,4.8936477,4.4503326,5.1684694,5.6012235,5.01566,5.139401,4.7531066,5.011061,4.897478,5.387227,4.850564,5.650501,5.2513604,5.736053,5.2245536,5.2802706,4.822047,4.5927796,5.6257086,4.9517345,4.846644,5.322125,4.8170033,5.207605,4.6114044,4.300091,5.3273344,5.096164,5.357923,5.4743924,5.316493,5.3033237,5.411603,5.2017117,5.5109363,5.102991,5.4768147,4.8763223,4.9034705,5.0332413,4.9651284,5.766452,4.949991,4.4533863,5.041685,5.212746,5.074763,4.704952,5.289578,5.6415067,4.9793277,4.9432693,5.0671277,5.37711,5.4605875,4.3244543,4.921873,5.745451,5.2595024,5.0599747,4.8854074,6.2690554,5.026676,5.27718,5.1351037,5.5642943,5.3458934,4.9037776,5.425501,5.240292,4.8310504,4.981939,4.912891,4.863253,5.232901,5.7520013,5.1090603,5.371694,4.6681256,5.0278015,5.2385817,4.8611803
5,0.005,4.4828267,5.226384,5.485161,4.8815026,4.921959,5.277043,4.2550373,5.0073433,5.462877,4.998834,4.532816,4.8724365,5.7947183,5.009987,4.74921,4.969508,5.094921,5.3400407,5.999493,5.1779785,4.4115334,5.0386863,5.3172035,5.1920877,5.225978,4.9572577,5.0879374,5.3041687,5.4285903,4.8494983,5.5050716,5.2724915,5.6490364,5.291389,5.2768407,4.9131627,4.400263,5.6437426,5.228703,5.0499787,5.4245386,5.003766,5.346325,4.804519,4.280927,5.0084596,5.143201,5.7514963,5.4501686,5.21804,5.3150687,5.35142,5.5191402,5.2126317,5.324168,5.5690928,4.767806,4.813822,5.2031264,4.7576814,5.538276,5.158902,4.2146115,4.837756,5.325087,4.8739066,4.475957,4.9788895,5.6524477,5.1574125,4.7635303,5.0098066,5.478918,5.477061,4.2642946,5.055813,5.80729,5.319429,5.2644005,5.1392784,6.431737,4.8365555,5.0514727,5.124204,5.8694572,5.491158,4.984311,5.4082417,5.06784,4.454853,5.2026405,5.003517,4.546777,5.2440896,5.5551662,4.8694305,5.477881,4.661908,5.0532045,5.418271,4.89491
6,0.006,4.1365275,5.521127,5.7879205,4.755913,5.146855,5.146433,4.1959825,5.342993,5.4255934,5.035563,4.603585,4.7104535,5.5526013,4.7240477,4.615332,4.9501133,5.0197043,5.3230405,6.080627,4.850264,4.5093355,5.109636,5.250883,4.819658,5.3366904,4.769682,4.781815,5.207434,5.3461504,4.7763577,5.6395254,5.090068,5.7606344,5.174473,4.9964204,5.1787376,4.481346,5.7993817,5.3047166,4.7868094,5.3070207,5.2525787,5.3201294,5.1289244,4.4152646,4.99998,5.0020394,5.80211,5.7490516,5.2970257,5.206298,5.5734625,5.6582065,5.257055,5.091835,5.7348013,4.3293977,4.690104,5.0491567,4.627264,5.5206356,5.021227,4.248263,4.6994762,5.520858,5.146382,4.7169313,5.292302,5.537484,5.052698,4.660353,5.2481184,5.669078,5.3229475,4.0280886,4.8116574,5.8782196,5.1249,5.245057,5.2827816,6.412904,4.9242296,5.360887,4.694396,6.0406427,5.3914285,4.8841295,5.1714435,4.959925,4.648175,5.232989,5.1499395,4.5718246,5.435227,5.725996,5.136829,5.4955845,4.502239,5.1220493,5.433052,4.9081492
7,0.007,3.7968426,5.5411916,6.101778,4.646846,5.237094,5.312537,4.163316,5.374309,5.473792,4.990951,4.3187475,4.825377,5.6600814,4.565229,4.815695,5.2678947,5.017248,5.33324,6.0966063,4.8655906,4.709989,5.2412667,5.1110516,4.6388154,5.3859515,4.6569524,4.4853606,5.35023,5.5185175,4.765782,5.581433,4.9688325,5.5015388,5.037535,5.3112936,4.9881535,4.1502953,6.028651,5.1725826,5.084951,5.2590647,5.294846,5.1091824,5.08956,4.446973,5.237805,5.4986806,6.0516496,5.932742,5.4703803,5.62452,5.315023,5.885172,5.269754,4.7623644,5.765278,4.54706,4.7782283,5.1660028,5.0055604,5.7378836,5.4099703,4.4245343,4.6095066,5.6436906,5.246345,4.9405823,5.322171,5.0605845,5.0545135,4.668308,5.3078537,5.757085,5.341487,4.2377934,4.9047313,6.155098,5.093036,4.8232245,5.5975924,6.68158,5.3660035,5.3026247,4.7122216,6.0862284,5.3202252,4.7288694,5.212641,4.948828,4.882547,5.337796,4.972879,4.777208,5.543654,5.584243,5.1870136,5.4360332,4.590322,5.0724864,5.359807,5.0725822
8,0.008,3.6562076,5.521449,5.9486456,4.826291,5.474143,5.1740713,4.2895145,5.121195,5.5243454,4.636952,4.7052693,4.579457,5.347231,4.621663,4.7212195,5.245001,5.278714,5.2801824,6.128328,4.6828165,4.8273025,5.3958454,4.8043914,4.8282537,5.3153906,4.61739,4.6168456,5.233787,5.5627007,4.911035,5.539099,4.5648127,5.4103103,5.279362,5.2834477,4.4798856,4.1087046,6.0956974,5.1321855,5.3981247,5.5241613,5.2313128,5.437577,5.229093,4.597796,5.046451,5.3630247,6.149319,5.6800623,5.178838,5.7046857,5.3822975,6.040725,5.346178,4.8497252,5.6550603,4.7545786,4.860601,5.3033476,5.2127805,5.8699837,5.7430487,4.325462,4.4754815,5.7054496,5.0458364,4.7315807,5.0902166,5.000075,5.14865,4.371285,5.2022853,5.8367786,5.015474,4.0831404,5.154841,6.003208,4.784569,4.4766755,5.528391,6.6620746,5.6121435,4.991895,4.4399943,5.7797084,5.418536,4.7978697,4.965499,5.1625376,4.757601,5.2572327,4.795536,4.7978516,5.574083,5.614205,5.3738594,5.5753207,4.328095,5.03489,5.1620393,5.440348
9,0.009000000000000001,3.4570787,5.5979724,6.0911026,4.925295,5.577179,4.978322,4.3619323,5.104567,5.4465322,4.870198,4.5586643,4.3857126,5.329203,4.6105704,4.8311276,5.5978937,4.9790654,5.363697,6.1522994,4.572859,4.707481,5.438534,4.812439,4.441378,5.3204074,4.6917934,4.5191636,5.289008,5.765287,4.89218,5.7320447,4.31816,5.0990043,5.4219384,5.5286274,4.596747,4.1986995,6.1573114,5.100034,5.4132614,5.6041374,5.1797805,5.2849426,5.0110936,4.783798,5.0864472,5.139864,6.2407603,5.410017,5.224324,5.6418715,5.1675563,6.000762,5.089747,4.9104605,5.735056,4.717143,4.751051,5.1484756,5.0900464,6.403762,5.5986886,5.0017014,4.472967,5.416582,5.0200105,4.712902,5.0952716,4.8931785,5.3940277,4.3333654,5.106491,5.7755876,4.8732114,3.9768016,5.097238,6.002501,4.959386,4.223521,5.520166,6.859044,5.538742,4.971538,4.4244604,6.0347695,5.249225,5.3102508,5.1510773,5.192712,4.9418554,5.349831,4.949052,5.1317143,6.2602987,5.581908,5.623035,5.6291656,4.624399,5.108445,4.9948287,5.750953
