,Date,ar1_short_memory,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526
1,0.001,0.8477966,-1.3382121,-0.9037892,-0.122960635,0.47754133,2.1307743,-0.38646346,-0.24984759,0.17458546,0.6512068,0.9285496,0.8933575,1.7942222,0.7387003,-0.5156257,-0.18625602,-0.7699673,-0.41801685,0.14474389,0.65166086,0.31257072,0.6099787,-0.17538014,0.67771286,0.14817896,0.61708575,1.0856367,0.27214378,0.07118207,-0.25764996,0.78065634,-0.75085723,0.51686674,0.51008034,-0.99514467,0.19576633,-0.72357965,-1.1065562,0.31113982,0.12388496,0.10346009,0.5304839,-0.5822482,-0.74827504,-0.306687,0.5775252,0.6228687,-0.10775312,-0.7699966,0.78039515,-0.33384028,0.85213554,0.4121821,-0.9461861,-0.43384674,0.86253774,-0.3409744,0.66621876,-0.5890229,-0.20529753,0.34469202,-0.5275929,-0.1893202,0.7386171,-0.1921008,-0.006121576,1.1186712,-0.1332049,-0.031196177,-0.49903736,0.08369658,-1.0399891,-0.6932513,0.8994719,0.29213133,0.69321805,-1.0658318,-1.033159,-0.36336267,0.27349845,-1.1272552,0.31149566,0.08270949,0.64137954,0.40354052,-0.43127456,-0.24227369,-0.2543077,-0.50537336,0.26478308,0.26701757,-0.15335587,-0.058860265,-1.346342,0.5123538,0.11880946,0.6565624,-1.9835033,0.4335568,0.6347304,-0.45709828
2,0.002,0.4927002,-1.3651015,-0.86645854,0.9311865,1.0032134,2.1572561,-0.7501719,0.11213906,-0.05561997,-0.84669876,0.71782255,1.8417344,2.000761,1.5792023,-0.59424865,0.061535537,-0.38863635,1.1928781,-0.09166382,0.38330957,0.35438532,0.6234683,-1.2952673,1.8157122,0.10430731,-0.6805388,0.31043404,0.6055417,-0.82316065,-0.30600145,1.315889,-0.54052114,1.2230399,0.44758636,-1.3212051,0.4883275,-0.556257,-0.6964576,-1.264903,-0.5802351,-0.43898675,0.48099682,-0.2888891,-1.2518272,-0.64647657,-0.17608458,0.5534466,-0.5671179,-0.10221696,0.8336509,-0.44776526,1.0755162,1.2483852,-1.919341,0.06498122,0.78432274,-0.0857867,0.8558905,-1.6215321,0.12321994,1.377253,-0.94297177,0.19596748,-0.10148609,-0.89209396,0.07127674,1.1838164,-0.33998924,0.84013015,-0.7889093,0.5471875,-1.3733171,0.6541337,1.4897804,0.51789725,1.1740787,-0.87419087,-0.6643208,-0.99146557,0.58307695,-1.1641326,-1.3043833,0.18446743,1.5063684,1.6414939,0.04395765,0.05296029,0.9829644,-1.41406,0.8555533,-0.44982234,0.21033236,0.8720181,-1.69577,0.07042375,0.6744708,0.06065595,-1.840522,1.0320238,0.9561126,-0.7913089
3,0.003,-0.5266543,-1.5220312,0.23807347,1.5272464,0.46200675,3.9694064,-0.4465453,0.11562585,0.6782829,-0.54047006,1.0593379,2.0869808,2.3494818,1.9310633,-1.3163749,1.2369118,-0.77926433,0.56576985,0.22960666,-0.1237396,1.4962513,0.5803896,-2.202701,1.9956815,0.81436694,-0.9258225,-0.9569658,1.6834347,-0.609278,-0.6490221,0.47313815,-0.79728913,1.085818,1.6641967,-1.8650506,2.2682362,0.5888265,0.95088786,-1.49378,-1.17009,0.52559066,0.20026684,-0.39294812,-1.9403495,-0.40586483,-0.36062706,0.815907,-0.030953705,-0.028527029,0.5113542,0.64244646,-0.38429034,3.0092106,-1.3879898,-1.8883122,2.4824753,0.0093557015,1.4817324,-1.5856023,0.8744073,2.1330853,0.041510165,0.77887225,-0.32923806,-1.4997791,-0.38107356,0.7172842,0.21102577,2.2334285,-2.6309328,-0.65501994,-0.4479382,0.06567109,1.3186772,-0.023073196,1.4889365,-1.3103851,-0.26454386,-1.4233643,0.59620386,-1.0949961,-0.533294,0.726645,1.2348574,2.1352396,0.06391693,-0.59036326,-0.17290676,-0.22221386,1.4523886,-0.6233659,0.72325623,1.0893471,-1.398672,0.0075977817,0.20358798,0.96037626,-0.9620769,0.13048297,0.14849794,-0.77799964
4,0.004,-0.4580774,-2.016875,0.4035033,1.5960956,0.56505865,4.5069623,0.52978027,1.1115509,0.89157754,0.34819216,0.6471604,2.5902925,2.3731906,3.2232113,-0.7049698,1.2664553,-0.34481302,0.5877305,1.4880066,0.120863646,1.5821637,1.3993042,-1.6043754,1.9976168,0.9355003,-0.42184857,-1.7326964,3.176811,-0.40294558,-0.1949726,0.054200113,-1.2719975,1.8396853,1.9103706,-2.791419,2.152095,-0.2935503,-0.014938891,-0.801335,-0.47699028,-0.40590042,-1.0792696,0.22889122,-2.0955138,1.4255621,-0.25899,1.2229207,-0.62413853,-0.9488067,0.1017898,0.042333186,-0.4482776,2.0415506,-0.9648992,-1.8138137,2.0935981,-1.3421097,0.92985964,-2.1250944,-0.88591844,2.1120486,-0.102372736,1.9457839,0.3645043,-1.5780066,-1.0528662,0.8596342,-0.45809525,2.753858,-3.7338054,-0.20945328,-0.8353828,0.93274266,1.1344448,-1.349053,2.287043,-2.7041125,-0.96119165,-0.789458,0.9891444,-1.9723654,-0.8660028,0.915647,1.0220116,2.2450805,-0.76038784,1.0157373,0.6522642,0.31221074,1.723071,-1.4835668,0.6953164,1.3908502,-2.8425763,-1.0413429,-0.4541753,1.9706316,-1.2342285,0.38581648,-1.531353,-0.78260046
5,0.005,-0.4267956,-1.4366544,1.0360719,1.6936604,1.0135127,4.850669,0.29906717,1.4087684,1.8371538,0.13579726,-1.0259691,2.59894,2.6112466,3.329295,0.10928611,1.79777,-1.1142771,0.6269418,1.7688212,1.1383643,1.4039508,1.5781599,-1.6072993,2.2300344,0.4150262,0.41076717,-1.2060074,3.7849934,0.29156378,-0.70269144,0.41253254,-2.0002046,0.49432972,2.4301672,-2.510158,2.6138809,-0.3357326,-0.995359,-1.2076776,-0.40591666,-0.4699845,-1.8084353,-0.3940744,-2.2601192,0.93641835,-0.145667,1.4727077,-1.1112574,-1.7496525,0.49821347,-0.25964096,-1.3681809,2.4177306,-1.4241221,-2.6790369,2.691667,-1.7781985,1.5936507,-2.5189703,-0.6312398,1.5566224,1.1478751,0.8569442,-0.25886506,-0.089652754,-2.6568074,1.0623962,-0.18268946,3.7956488,-4.1626134,1.4185531,-2.358711,0.22806534,0.4399949,-1.4705862,2.329544,-2.8217113,-1.8084654,-0.6652592,1.0338122,-2.8034854,0.2572134,1.7324754,1.5041742,2.385679,-0.56540114,0.033266585,-0.60047305,0.48034155,0.6248925,-1.0877597,-0.75872254,0.6232974,-2.8328714,-0.06990055,-0.2974497,1.2810392,-1.0096254,-0.19381377,-2.703135,-0.4753647
6,0.006,-0.0006517992,-2.1459777,1.0899315,2.3031034,1.4639244,4.7788677,0.63894236,0.72413224,0.8616882,0.34631425,-2.4100606,2.6523976,2.4583929,3.9460242,1.1487608,2.244705,-0.90388227,1.5083578,1.6733998,1.5671216,2.2063358,2.0289686,-2.861352,2.675381,0.15059075,0.058880668,-2.2251587,2.9941635,-0.15164861,0.32700574,0.31479856,-2.4655914,0.83192676,0.29334334,-2.0035977,2.830519,-1.5137916,-0.41570398,-1.0284697,0.09960056,0.18621407,-1.2661794,-1.4580073,-1.4071199,1.2115978,-1.3157787,1.0110463,-0.44885498,-0.8298898,-0.46049836,0.3331811,-0.69960576,2.2262452,-2.76113,-2.455825,2.6529748,-0.98671925,0.82271576,-1.8492385,0.34341678,2.0594711,1.1178018,0.4237884,-1.0602846,-0.6044674,-2.392815,1.9494046,-0.72472113,5.1673584,-3.5006635,1.1743048,-3.8710272,-0.43824747,0.629037,-1.8231771,2.8096793,-2.413966,-1.1073815,-1.6271445,1.1538453,-3.3627453,0.020847341,1.2546885,1.5725592,4.1914682,-1.0242497,0.4770561,-1.2070931,0.86927086,-0.022063252,-2.667797,-0.04775891,1.5197961,-2.890876,1.3750945,1.7323297,1.713754,-1.3271778,1.0291452,-0.95520025,-1.168096
7,0.007,0.47569504,-3.091449,1.5496827,2.5700438,2.0784967,4.30403,-0.8881475,0.65331465,1.0227611,0.23033443,-4.0547514,4.647473,0.98667234,4.558197,1.5332116,2.8438833,-0.37377447,1.7427164,0.4195728,1.2746742,1.7942003,1.7930974,-2.6525385,3.569082,-0.37696874,0.41634944,-1.05549,3.9783354,0.18604034,0.67466116,-0.75984466,-2.9318306,0.80382437,1.3279017,-2.1161504,2.4890492,-1.9228659,0.76494294,-1.1828117,-1.2984756,-1.1486222,-0.45042333,-1.5107543,-1.8028302,1.0684679,-1.4005349,1.6111431,-1.6589931,-0.83656055,-0.052016865,-0.016705142,-0.9262807,1.8227632,-2.6808898,-2.6075182,2.761898,-0.13332473,1.8811189,-2.547265,0.9224118,1.5823038,0.5822065,1.3091626,-1.2321945,-1.1616737,-3.0761268,1.3884277,0.13582571,5.0738845,-3.9244099,1.5025302,-4.7478,0.2613022,0.18774587,-2.379849,1.5549657,-2.7867072,-0.6055628,-1.3701078,1.9800442,-3.166206,-0.117352575,-0.12073882,1.4464334,3.9094608,-0.35815525,0.76696795,-1.1744418,1.0559683,-0.22585489,-4.2788367,-0.63862383,1.4498274,-2.177791,1.5559008,1.1612642,1.1688759,-0.53059286,0.9100298,-0.103096284,-1.7168475
8,0.008,-1.0612669,-3.3096995,1.5389997,2.6646664,1.4830642,1.4897337,-0.8657038,0.33090666,0.22345704,0.12664238,-6.072607,4.8936687,0.6170906,4.979153,2.1811233,2.7661998,0.8514515,2.188415,-0.031898975,2.5555916,1.9227355,1.7049966,-2.908528,3.9816515,-0.9404804,0.13879332,-1.1579798,4.6843796,0.06854993,0.6935739,-0.5910786,-1.6647738,0.80434746,1.0026321,-2.621716,2.067597,-1.421076,0.59704196,-1.2664461,-2.2223449,-1.7953234,-0.77186537,-1.3614585,-2.1356702,0.1542741,-1.2000859,0.67261267,-1.1962496,0.115104795,1.2513475,-0.51740015,-0.2565018,2.5020146,-2.7119215,-2.6138003,3.1929502,0.041487508,1.0998778,-2.7400064,1.4996943,0.12815714,0.2340908,1.5916939,-0.847944,-0.9823393,-3.596806,1.1450188,-0.759937,5.119207,-4.7928953,0.32134807,-3.8071325,0.7780963,-0.11294253,-1.4926953,2.3348312,-2.8371248,-0.33520713,-0.22563624,2.00049,-3.234255,-0.80754095,0.9716474,2.0899582,3.1663349,0.0966405,1.1376748,-1.1350087,1.3055248,0.18503787,-4.7871747,1.0908135,2.037017,-2.7257686,1.308459,2.579489,1.8191757,0.6926751,0.22722048,1.1921058,-1.5336848
9,0.009,0.35863513,-3.8288584,2.525396,3.367068,1.1108525,1.1637238,-1.1284553,0.40770403,-0.04466631,0.7050511,-6.1260567,4.999796,1.1219704,5.645103,2.146758,3.7049632,1.9285543,2.739981,0.77969784,1.3630849,2.6654272,1.3227504,-3.5849283,2.5151105,-0.7172441,-0.40346286,-2.468572,4.1687937,0.7819605,1.1044632,0.0013818587,-1.3422732,0.29200047,1.6855997,-4.0454783,1.9087993,-2.2302084,-0.16310437,-1.922456,-2.4778316,-0.0009212516,-0.9406472,-2.0271046,-3.40695,0.122678526,-1.3494838,-0.24720839,-0.38525876,1.5245765,0.6842417,-1.0962971,-1.8001575,3.9519458,-2.81583,-2.3005762,3.563307,0.45258224,0.119269446,-3.661604,0.8224446,-0.2788737,-0.51218134,1.6216352,1.2621964,-2.0085685,-3.9885333,1.5878036,-0.30123514,5.137947,-4.43573,-0.525598,-4.6487474,0.22737965,-0.695271,-0.5612886,2.0231016,-1.6195571,-0.70012844,-1.0919092,1.0845025,-3.910975,-0.8105138,0.8090018,2.4067123,2.1718092,0.33687603,0.73311543,0.5089531,2.2252688,0.43917674,-3.4286225,1.6290643,2.1546147,-2.7421813,1.9557568,1.7754153,2.4926739,1.6074893,1.3177975,1.5635705,-2.1982524
