,Date,ar1_short_memory,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526,0.07336526
1,0.001,0.8477966,-0.7404707,-1.0246891,0.2530934,0.2851791,1.7791237,-2.4760125,-0.36909196,-0.76490253,-1.565668,-0.1267176,0.19857529,1.735943,1.0339392,0.78314084,-1.1742932,0.4029729,1.9660319,1.9899639,1.1048244,1.1634234,0.3023859,0.93377,0.31712624,-0.04437361,-0.11044673,-0.39648584,-0.2516413,1.203538,-0.38889506,0.9778809,-0.13918069,0.13734743,0.19631681,1.1279563,-0.5097489,1.3433651,0.5181088,0.691678,0.1519576,-0.28892615,0.04960867,1.3763961,0.73911136,3.3794684,-0.7337399,-0.73781306,0.35442397,-0.8360811,-1.4986681,1.2604495,-1.6318456,-0.16949537,-0.7283749,-0.29013708,-1.2676753,0.20274326,0.39464554,0.13733199,-0.36114195,-1.5601529,-0.02977965,-1.0700697,0.119107924,-0.91387707,1.382251,-2.0990114,-1.4594074,-0.23391482,-0.14428023,1.1623886,-1.5689934,2.092558,0.9778606,0.8101253,3.2507472,-0.48618537,1.653478,-1.3716344,1.0337088,0.9009622,-0.8131469,-0.51207405,1.6130005,0.8491723,0.54639214,0.52336985,1.6347021,-0.24507049,-1.6304045,0.61944,0.92149705,0.15047643,-1.6770428,1.3036216,1.5245544,0.8007278,0.45605835,-1.3427604,1.2348567,1.3062547
2,0.002,0.4927002,0.0075688884,-1.6033629,2.6031213,1.7026217,2.7005398,-2.596373,0.5067589,0.11247533,-1.7933583,-0.21872473,0.31517714,0.7994562,1.4224114,0.62302,-0.94968504,-2.5003707,-0.7355123,2.9925916,0.893086,1.2413337,2.8559804,0.8538224,1.5543975,-1.9397309,1.4842362,0.06197714,1.2521634,0.366494,0.0982142,0.8084182,-0.003644593,2.3722374,-0.3151305,-0.10847206,0.15688449,1.4657559,-0.06971184,1.2772212,2.7252293,-0.6813878,1.6329665,0.3803938,1.2263153,4.017025,-0.5420659,-1.6639366,-0.8345253,-1.9015822,-1.3081737,0.8080502,-2.3803363,-1.3088906,0.80735534,-1.4670652,-3.4796147,0.18678153,0.29513514,-0.5135167,-1.153314,-1.3531098,0.43869454,-1.8325491,-0.111721046,-1.7969503,2.7745528,-3.0766501,-1.0959635,-0.018127985,1.8989013,1.756487,-0.4365701,4.250454,2.2114532,1.6934643,4.1388826,-1.009268,2.042845,-0.6237599,-0.90925545,0.33890647,-1.0956502,-0.07526574,2.6998813,1.582988,0.09918892,-0.3253745,2.0924118,-0.08929933,-2.2885199,1.0145683,2.9376912,-0.74673337,-2.0201159,1.3994559,-0.40570277,-1.1916862,-0.5342222,-1.3576283,2.293334,2.9128335
3,0.003,-0.5266543,1.2698026,-1.7473919,1.3143631,1.0330526,3.5577822,-1.727633,0.24827594,0.90155965,-1.2316138,-0.21620187,0.8729256,-0.25034398,0.95905054,0.55969274,-0.59789443,-0.7363071,-0.19394606,4.181605,-0.8790119,-0.13572195,1.9145654,0.13677034,2.2746406,-1.512957,0.98317975,-0.7666851,1.8659627,0.4841188,0.06749316,0.58934736,-0.75932646,3.0387247,-1.7476989,1.5123035,-0.5052957,1.4984856,0.1304264,2.6974492,2.2158632,-1.8498852,0.47282383,-0.46333343,2.1113527,4.5372796,-1.7418963,-1.7364494,-0.13081959,-3.2795568,-1.233546,0.4537654,-1.5996023,-1.0258794,-0.019205518,-1.6208045,-4.7466717,-1.3651197,-1.092663,0.30536965,-1.3979415,-0.9138453,-0.441294,-1.9211379,2.161786,-1.071361,2.782361,-2.9179149,-0.8120425,0.13768765,3.0298653,0.82016855,-1.7964468,5.9589014,2.6029203,2.6059923,2.60729,-0.60097665,0.050098024,-1.5944041,-1.5926802,0.53894,-1.4046125,1.2702426,2.2683337,1.1765114,-0.8329301,-1.4253422,2.7699957,0.0949206,-3.030707,0.8941617,2.1672754,-0.6543974,-1.4994918,1.1462677,0.3225054,0.06727474,0.06711634,1.2346289,2.9604363,3.3955243
4,0.004,-0.4580774,-0.20311242,-1.1675574,2.3357012,2.0369947,4.077523,-1.3639855,-0.69717854,1.6107265,-1.0405021,-0.11093254,-0.027634688,-2.1409907,1.7120731,0.29864982,-2.8580685,-1.6088275,0.29114696,3.7709594,-0.3058099,-1.6005642,0.9000352,1.7107521,2.1071844,-2.143218,0.38252577,-2.30241,0.8391568,0.6486683,0.57152504,2.8003616,1.5300176,4.5575113,-3.532243,1.9786801,-2.7579591,1.2058938,1.1338711,1.0378354,2.7103598,-2.1581886,-0.20173278,-0.44639593,1.4493879,4.8816175,-3.2591312,-0.29755226,1.6100054,-3.330058,-2.692417,-1.3719852,0.23641235,-0.024058707,0.9870495,-0.926655,-5.1565685,-1.3616742,-0.69573194,1.6881555,-1.3688972,-0.22946417,0.25623912,-2.0091481,4.206637,-1.9202195,2.5857508,-3.300003,-2.7488627,-0.6443216,4.0171494,0.9118207,-3.0280566,5.376967,4.589215,1.4108601,3.7472677,-0.4702809,-1.5165241,-2.103783,-1.8701817,2.0799315,-1.8200332,2.0987308,1.8730284,1.6263273,2.2510424,0.17137334,4.0619187,-0.16727293,-2.6017256,0.30291355,0.42716235,1.4427114,-2.1952755,-0.31910968,0.6238108,0.69197255,1.5141741,-0.9780199,2.6770897,3.6853082
5,0.005,-0.4267956,-0.03535048,-0.32207885,2.3717904,2.4027977,2.334691,0.864944,0.6665017,1.5205216,-2.131523,1.2045714,0.33893165,-1.2484295,2.5442543,-0.18880957,-3.1884482,-0.9981825,1.4135021,4.329699,0.6980733,-1.7633307,1.3602896,1.0514367,1.0488554,-3.1761298,-0.7787426,-1.2708175,1.0964882,-0.109164245,-0.019856013,0.16040707,2.6843438,6.181476,-2.3815851,3.4751518,-3.402454,0.2921504,2.6890435,-0.09884638,3.1166248,-1.6759925,0.7751669,-1.1395143,1.6568553,5.99948,-4.2404933,-1.4343399,2.3950512,-2.039058,0.16346133,-0.7602061,-0.76754135,-0.30879232,0.25206786,-1.4615831,-6.6106133,1.2915756,-0.7382576,1.5560989,-1.9597204,-0.4666478,-0.9597301,-1.773821,1.9014285,-3.7084885,3.1397712,-4.6368246,-1.647665,0.28297278,4.5232606,-0.023637094,-3.2536888,4.627439,4.2855377,2.7280068,3.3891983,-2.3144653,-1.5140424,-2.3799,-1.7337639,1.7191722,-2.3801897,3.1586273,1.3929217,3.8080394,4.580877,0.69168025,6.2222066,0.19951847,-3.4489808,-0.25094151,1.074172,2.7521305,-1.6535244,-1.3116729,-0.8399525,0.11323362,0.78291327,0.060342275,2.0502682,2.7905667
6,0.006,-0.0006517992,1.0428458,1.1498238,2.4669135,4.167382,2.7151647,1.1182777,-1.2410941,1.01171,-3.7344847,1.3961251,-1.6231698,-3.3346748,0.06991958,-0.5935374,-2.2293253,-0.19045117,2.5671334,4.318259,1.088815,-4.152573,1.1916574,1.4122508,0.31841707,-2.1600134,1.1504848,-2.050167,1.7243533,-0.67125976,1.4532559,-0.80703413,4.666174,7.641505,-1.5869008,4.7201676,-3.813359,-0.14266151,0.9476,0.75141424,3.690087,-0.4197696,0.94345987,-3.066892,0.6001885,6.895409,-4.745814,-1.7994394,2.0274127,-2.4177792,0.11695077,-1.1810799,-1.9152794,0.2652723,-0.0747116,-1.1392388,-5.4775815,0.96041137,-0.19519979,3.0437822,-1.7941799,-0.095434256,-0.7183077,-1.8433346,1.1688387,-3.4054132,2.9213471,-6.5414553,-0.89205873,2.1672833,5.8382945,-1.0699215,-2.5807247,3.7310886,2.5658326,5.5663223,4.0191574,-2.0326703,-1.7775334,-3.2298918,-2.5668325,2.1826146,-4.164426,3.4617615,0.38263986,5.7249393,4.2209616,2.0107114,7.0191455,1.7580127,-4.9560213,0.16795555,-0.33212382,4.0211277,-3.6091967,-2.8200967,0.070165955,1.5331999,1.3463686,-0.5690982,1.3890269,3.605721
7,0.007,0.47569504,1.8228981,0.16130158,0.93319243,3.048208,3.6993897,1.8017042,-1.7738186,1.828608,-2.848593,0.49546525,-1.3714988,-4.633122,0.67932165,-0.38854873,-2.692021,0.120947115,2.767795,5.2835407,0.6212185,-2.9924283,1.6504176,1.8223631,0.64119285,-2.9015667,2.314961,-2.582579,1.9493212,-2.0942852,2.0780363,-2.1477377,4.0612335,7.618316,-2.1237838,5.99283,-2.8941467,-1.7903987,0.41820955,-0.26828164,3.635671,-1.8381352,2.408486,-4.41124,2.7594168,8.063847,-3.3647184,-4.543024,1.5496169,-1.9872696,1.6975886,-2.2363975,-2.3483372,2.8393729,-0.121353514,-1.0623817,-5.808413,0.6682096,-1.2052283,5.634798,-2.7223651,1.2864435,-0.24329495,-1.0777907,3.2224123,-2.9337766,3.390239,-6.427914,-1.2189236,1.6195798,6.493587,-0.9718937,-2.539503,3.3568463,2.4833248,4.78108,4.9373083,-3.350579,-2.697724,-4.543327,-4.111206,0.6641249,-4.615462,4.3651648,0.1865362,5.8369102,4.252059,2.0958333,8.044385,2.0667229,-5.7184963,-0.40508947,0.5695339,3.7931693,-4.8319325,-2.5813706,1.3487394,0.6765265,1.6091444,-0.20193136,1.3585784,2.7012906
8,0.008,-1.0612669,3.6371891,1.2499692,0.6844071,2.1935112,3.3205454,1.5260264,-1.5029873,0.8056125,-3.3116221,2.5598388,0.12777704,-4.9124613,0.45585755,-0.28174326,-4.446885,-2.0747051,2.9475834,4.718335,-0.44431823,-3.1388211,1.9112272,1.7719798,3.6560564,-3.1520224,2.3749125,-2.4963229,1.3283504,-1.0576692,2.2681627,-1.4155297,4.863082,7.5196657,-2.7675304,5.641858,-3.5705528,-1.573453,-0.5357537,-0.7559493,2.933537,-3.5220299,3.129433,-4.407103,1.6473107,9.032527,-1.9135579,-5.041184,2.4892201,-0.82704085,1.4744956,-2.4596083,-0.8079923,3.1050255,-1.4328308,-2.6304555,-5.5266585,0.17161858,0.38265556,7.3866158,-2.672542,1.5798432,0.8459543,-2.7312045,2.0226066,-2.1394215,2.5382524,-5.668618,0.1882545,3.2988958,5.5673957,-0.39597285,-3.058615,4.3918023,2.3914113,5.5047865,5.525505,-5.8679376,-3.1563854,-3.198246,-3.1047351,1.2030196,-3.6415086,3.4162154,-0.23637101,7.0067115,3.4865947,1.3209035,8.600052,2.7575016,-6.411541,-1.9631133,1.5540286,4.539785,-4.912119,-3.0173645,1.680012,1.1945927,2.4657843,-0.59917253,0.36295664,2.013896
9,0.009,0.35863513,5.919087,1.540122,-0.6849991,3.0848005,3.2109046,2.3601222,-0.3175284,1.8159522,-2.905264,2.1046262,0.30543438,-4.694719,-2.0184205,1.4257323,-4.829381,-2.209869,2.0801103,4.5631123,-0.5068709,-2.2952578,2.8766968,1.8496815,2.3494034,-4.19634,2.8090324,-3.530662,1.132257,-0.9065204,1.7480669,-3.3769813,4.7706146,7.8231955,-5.303285,4.2745037,-3.049092,-1.1441689,0.6653875,-1.0051861,0.63770336,-5.1288996,4.420421,-2.5574098,3.6265523,8.984218,-1.4563338,-4.4917517,1.7504454,0.0038300976,1.0173181,-2.4276416,0.3417072,2.276187,-2.3561208,-0.8839584,-6.4617963,0.08019795,-0.51330596,7.7989297,-4.0430355,0.88881534,0.23231792,-1.8518144,3.1040998,-3.4033823,3.194538,-5.970634,-0.79205626,4.8514237,6.225998,-1.0117857,-3.4029977,3.4512737,2.730619,4.324731,7.3706417,-6.5091124,-2.7283545,-2.558048,-4.7881713,2.5043516,-2.895534,4.0232787,-0.2428037,6.989794,4.942052,1.7371795,8.589417,3.169087,-5.825675,-1.640351,1.0302746,4.6170015,-4.4436703,-3.9245098,1.0682945,0.8669105,1.7009606,-0.3770011,-0.03565786,2.562959
