,Date,fBM_H0.4,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115
1,0.001,1.4089468,1.5955894,1.4061992,1.4092833,1.5583352,1.5238934,1.7566282,1.5431263,1.5936908,1.3475252,1.4681834,1.7001191,1.5974458,1.5680511,1.5736221,1.5234883,1.4289818,1.3237237,1.5310074,1.4659975,1.4941369,1.3362516,1.5391543,1.484957,1.3689481,1.5966374,1.3299382,1.5933385,1.5103706,1.5531244,1.4261237,1.5242895,1.2980106,1.4815397,1.463702,1.549049,1.4431909,1.5203016,1.5270548,1.346911,1.5413417,1.4915557,1.5199233,1.4936718,1.4795438,1.607915,1.7115604,1.5334984,1.4562901,1.3680284,1.452221,1.662944,1.5845236,1.3174224,1.3786707,1.3286124,1.6222548,1.392317,1.4050789,1.5181366,1.6697454,1.4420502,1.5960885,1.4913615,1.421489,1.5874133,1.4301577,1.48143,1.607378,1.4000951,1.4251499,1.5384387,1.4739344,1.5726041,1.4685369,1.3260355,1.5358653,1.4624546,1.4385222,1.4293853,1.634903,1.5403436,1.4040672,1.5463928,1.4616632,1.7316403,1.7033494,1.401008,1.4922509,1.5737879,1.5912511,1.4491236,1.4122851,1.4973329,1.43164,1.4710537,1.4274263,1.5848964,1.254552,1.3925363,1.4326775
2,0.002,1.4564545,1.4901123,1.4169577,1.2540184,1.6788297,1.6206195,1.8625779,1.6614183,1.6754634,1.3741484,1.3384147,1.6255405,1.7534949,1.5808926,1.5240138,1.606087,1.5029719,1.2287397,1.3623569,1.6014593,1.5265118,1.4137747,1.4972488,1.5392915,1.3705308,1.6567106,1.4594374,1.6581168,1.7077607,1.5063977,1.3271267,1.4273304,1.1989577,1.6166735,1.5712968,1.535411,1.3888505,1.4344137,1.3637077,1.3867913,1.5923656,1.585286,1.554882,1.358997,1.5707381,1.7259476,1.8196735,1.6269201,1.4712775,1.407703,1.5387548,1.8026048,1.5860816,1.151194,1.253608,1.185573,1.761035,1.4435017,1.5583111,1.5660528,1.7871994,1.2963324,1.6610926,1.50351,1.3640132,1.5789648,1.4807334,1.6561774,1.5775745,1.4605545,1.4062285,1.6208421,1.5932658,1.6250869,1.6377819,1.43112,1.5231384,1.56386,1.4398205,1.4279677,1.6363279,1.7717712,1.6284236,1.5575894,1.5184076,1.7883066,1.8489578,1.4399587,1.4276263,1.5648499,1.738317,1.3822277,1.4613619,1.5117897,1.4083982,1.4603164,1.2796806,1.6719701,1.059237,1.3135762,1.3849772
3,0.003,1.412207,1.5804147,1.3767776,1.2631708,1.6697067,1.5258433,1.9118328,1.6255249,1.5027958,1.2076107,1.2567751,1.5810394,1.8251197,1.8008423,1.5617377,1.5852236,1.5681947,1.0402663,1.4015223,1.5748955,1.5938363,1.3005534,1.5070004,1.5893681,1.2225603,1.7644433,1.4185005,1.5898045,1.592956,1.3816631,1.426049,1.6617934,1.1845756,1.7701323,1.6624871,1.5200498,1.4549184,1.3659519,1.4165137,1.4142643,1.5380912,1.6888788,1.6121368,1.3807994,1.453773,1.7295371,1.5918285,1.4917477,1.3382663,1.350357,1.4269038,1.8859056,1.4763134,1.2706009,1.295062,1.2948915,1.7433494,1.4069917,1.300741,1.455625,1.8016523,1.3270915,1.4847801,1.5015469,1.3093085,1.6065112,1.3355206,1.7898419,1.5164791,1.4470717,1.3665359,1.5828187,1.7764202,1.623069,1.6972663,1.2818135,1.3772483,1.3649603,1.3271079,1.4307532,1.6391587,1.8616757,1.6705419,1.6624357,1.4811773,1.7385211,1.8484006,1.3197012,1.5726504,1.5231165,1.6797425,1.1909187,1.4677808,1.4825647,1.3782601,1.5009165,1.3652802,1.4590771,1.025581,1.4274346,1.2970314
4,0.004,1.2738677,1.5533215,1.437783,1.2428079,1.8931274,1.3947822,2.063392,1.5434097,1.5349406,1.1800745,1.1579313,1.5138999,1.8780708,1.6554301,1.6881571,1.6139482,1.5828087,0.8563856,1.276952,1.6580408,1.397292,1.3650199,1.4921566,1.4791473,1.0567763,1.8628591,1.3811729,1.5180879,1.4748869,1.2303165,1.438752,1.692267,1.0296984,1.9147953,1.7400962,1.5627179,1.5649053,1.5039098,1.4474803,1.5141308,1.5541859,1.584736,1.8053491,1.2946782,1.4617295,1.8325558,1.5347203,1.621836,1.4299364,1.132263,1.4972383,1.7264608,1.4478188,1.2815232,1.3996722,1.3010565,1.7661182,1.3720639,1.3846229,1.3478022,1.8294697,1.2687714,1.558788,1.608167,1.2673893,1.8053071,1.1704619,1.8528965,1.6473111,1.3358377,1.369489,1.581789,1.8033893,1.4700446,1.6144755,1.3042536,1.4090135,1.1194279,1.487791,1.5151514,1.4557083,1.8573818,1.637894,1.5396081,1.4665178,1.7168474,1.9268333,1.304084,1.6412096,1.5865302,1.5309789,1.1450696,1.5076153,1.3392811,1.5537496,1.6890701,1.5619357,1.4277728,1.0240922,1.4911339,1.2916167
5,0.005,1.1513407,1.6217539,1.3940471,1.4077877,2.0495107,1.4621885,1.9910231,1.4511335,1.4703867,1.1329753,1.1545603,1.4324257,1.8801571,1.6638838,1.5473002,1.5256951,1.6567023,0.7707532,1.2376006,1.5502548,1.3385999,1.193229,1.4988742,1.4974222,0.88310087,1.8302177,1.4311602,1.4947716,1.5482057,1.15772,1.2780844,1.5574356,1.0216229,1.7922072,1.7804163,1.5930239,1.543212,1.3597938,1.3579619,1.5973129,1.5663824,1.5454831,1.8291417,1.3051399,1.6592665,1.7350014,1.606125,1.4573846,1.4812546,1.0845176,1.5718513,1.5344818,1.4800552,1.10217,1.3739221,1.1159755,1.7904861,1.3647863,1.2552726,1.2481034,1.8443617,1.2396504,1.4675876,1.5358062,1.2155144,1.6462333,0.9357535,1.856412,1.70559,1.3648133,1.4902416,1.6679734,1.8366817,1.4671792,1.5790852,1.232063,1.2785736,1.242794,1.3433274,1.4012736,1.5818566,1.890819,1.6508793,1.5652527,1.6220282,1.8583162,1.7491057,1.3071568,1.5018615,1.6645076,1.5584598,1.0747278,1.5579767,1.3813357,1.5735528,1.7596121,1.6605022,1.4262557,0.8805804,1.6588751,1.1761833
6,0.006,1.1133224,1.6167319,1.3874297,1.2501675,2.0498214,1.2906531,1.7756896,1.508441,1.5486517,1.1980674,1.2597417,1.6486784,1.8066456,1.7759725,1.5316983,1.4962128,1.6266716,0.7658964,1.1184851,1.5889258,1.3616012,1.0720369,1.4712088,1.439085,0.9632294,1.8013469,1.3094584,1.7377247,1.6423302,1.0602058,1.2640921,1.6694969,0.8939816,1.7720202,1.7848008,1.6071938,1.6940094,1.1680222,1.3476771,1.7848061,1.6070241,1.4658995,1.8855462,1.2597579,1.754487,1.8990003,1.5729966,1.4470505,1.4601301,0.92931104,1.6920227,1.5250821,1.5237178,1.025416,1.4214228,1.0798423,1.7424139,1.2870239,1.0944747,1.231491,1.6675366,1.1185571,1.5487363,1.6575224,1.1104289,1.6053977,1.003341,1.9650793,1.8181912,1.4787169,1.5184724,1.553629,1.789061,1.3145162,1.7468854,1.166012,1.2923723,1.1747392,1.2603987,1.380042,1.7053561,1.974847,1.6923516,1.4144696,1.7442758,1.89589,1.7505039,1.1830434,1.4352388,1.6761771,1.6357136,1.201622,1.5544493,1.4182436,1.5082489,1.6558989,1.5937014,1.3808182,0.7542111,1.4843421,1.031443
7,0.007,1.186721,1.6623539,1.3404484,1.1997149,2.027714,1.0834501,1.6758682,1.6789204,1.6541762,1.4235362,1.2905821,1.6176085,1.6673586,1.8706808,1.5025597,1.5168812,1.8830751,0.8344629,0.92093813,1.6747106,1.5217777,1.037435,1.3928621,1.2546431,0.99365324,1.8197446,1.3664728,1.8406091,1.5750736,1.0623045,1.261913,1.7943208,0.7939395,1.6789981,1.7145498,1.5584072,1.7401251,1.2957265,1.4038675,1.7903445,1.7444776,1.3771152,1.9883469,1.1430739,1.66459,1.955902,1.680512,1.5009478,1.3449597,0.99882925,1.7324358,1.3772471,1.4406644,1.0547178,1.4609638,1.0382073,1.9641191,1.3269047,1.0379857,1.3330636,1.7400017,1.0992471,1.4610604,1.714005,1.2182741,1.5842962,1.0398273,2.0403535,1.9741391,1.5999892,1.4334915,1.4805719,1.7736043,1.3844897,1.6975576,1.0248322,1.3160025,0.9316388,1.3136221,1.3152834,1.7081851,1.9179775,1.5843229,1.3743304,1.6028343,2.028663,1.7531024,1.0382959,1.3916552,1.7610419,1.6826497,1.1497842,1.6467774,1.5708473,1.3231469,1.8056458,1.6548772,1.4399443,0.69601685,1.5807188,1.1648887
8,0.008,1.1871053,1.6759267,1.1426389,1.1910509,1.921885,0.98895216,1.6571566,1.7974863,1.6281965,1.3757128,1.2487046,1.5634639,1.7126684,1.8309271,1.6094403,1.6227518,1.7416344,0.79640263,0.98149484,1.6028206,1.5370538,1.0744832,1.4952861,1.2767441,0.99490666,1.8756224,1.485272,1.66494,1.7106467,1.2464061,1.4541379,1.9306637,0.7268845,1.6035128,1.6113914,1.7148889,1.8693427,1.5442882,1.4006389,1.8068018,1.6595016,1.3771185,2.0763733,1.2813158,1.5993427,1.8817388,1.6181803,1.4362649,1.4547623,1.126807,1.8356858,1.3797743,1.3838342,1.0650015,1.6003393,1.0429698,1.9214393,1.2913444,1.0898253,1.3734018,1.7423073,1.099519,1.3198669,1.5932932,1.2251576,1.5494264,0.989885,1.9306479,2.0777752,1.5258226,1.4023253,1.4967632,1.7292994,1.4702128,1.7925308,1.0287534,1.346889,1.0128149,1.2083626,1.2658315,1.71727,1.8264035,1.4674647,1.1813638,1.6899114,2.0202947,1.7765198,0.9884421,1.3878889,1.6392884,1.6823932,0.98675376,1.6922116,1.5979993,1.2766315,1.8171254,1.7051998,1.4625713,0.62500364,1.464547,1.0828568
9,0.009000000000000001,1.079355,1.6034757,1.0930582,1.2105188,1.8435371,0.87296903,1.5885836,1.9038045,1.5488007,1.3825648,1.2918967,1.504478,1.6688584,1.7256165,1.6325427,1.7685941,1.7883083,0.78165585,0.95247674,1.6522757,1.4699517,1.0703932,1.395701,1.3558909,1.0065554,1.8917556,1.4664257,1.6598523,1.8848412,1.2458485,1.61236,1.7726024,0.7150425,1.6888354,1.5498565,1.6457678,1.6998676,1.7260067,1.2864312,1.7731636,1.7182251,1.1137594,2.0739985,1.3939438,1.6333402,1.8752756,1.5871435,1.4367372,1.5784459,0.9901043,1.7822694,1.4500582,1.3132628,1.0668017,1.4866016,1.0741788,1.9129773,1.4012755,1.1224111,1.3754117,1.650631,1.2256944,1.2396324,1.5736862,1.1230494,1.614542,1.1873919,1.9381318,2.0657413,1.5908614,1.4919499,1.4955838,1.6917764,1.4627339,1.8872867,1.0383215,1.4032733,0.954225,1.2257824,1.4513618,1.6324145,1.7511634,1.2966136,1.2782261,1.7590877,2.0187788,1.839695,1.0415922,1.3908147,1.5629377,1.6306597,1.1353025,1.595707,1.6455948,1.3156049,1.853664,1.6294014,1.4059223,0.59626883,1.4516203,1.0393323
