,Date,fBM_H0.4,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115,1.4934115
1,0.001,1.4089468,1.389406,1.5016906,1.4403551,1.5013087,1.4496888,1.3412496,1.4380943,1.4582138,1.4071741,1.4876682,1.4333271,1.3992859,1.6748424,1.3598132,1.5152788,1.5668559,1.5190493,1.4512156,1.3588247,1.6039469,1.40147,1.4444089,1.4999217,1.3186632,1.537692,1.3319132,1.347328,1.5043979,1.3842187,1.3505965,1.4704229,1.5693471,1.5198587,1.4618955,1.4954978,1.4789654,1.4232876,1.4498973,1.3256896,1.4713745,1.417842,1.3014861,1.5560488,1.5080252,1.5970752,1.5246851,1.3805833,1.434728,1.3111131,1.427905,1.4066396,1.5330102,1.4955317,1.6676228,1.3813467,1.3741003,1.3607517,1.3963854,1.4232663,1.4912494,1.5338795,1.5128545,1.4924569,1.4797102,1.6201742,1.5590924,1.3038052,1.4324127,1.4419206,1.3991323,1.4069604,1.5142634,1.5883675,1.2579908,1.4961166,1.4808502,1.4664599,1.5131336,1.5486878,1.459987,1.4432082,1.4530349,1.3883051,1.4122943,1.485277,1.5114471,1.4586289,1.7295309,1.3220772,1.5749246,1.589021,1.3040622,1.5545512,1.4372829,1.4603969,1.4142755,1.5431013,1.567539,1.5041795,1.4604496
2,0.002,1.4564545,1.2755107,1.6441115,1.5258017,1.5642378,1.3614333,1.3997455,1.4534969,1.4422809,1.3319647,1.4074237,1.4622083,1.3119681,1.4563421,1.340112,1.4149895,1.5303317,1.4351681,1.3171225,1.2565471,1.7834516,1.5040004,1.5106848,1.3989561,1.4321065,1.5585155,1.358464,1.4371116,1.5004388,1.4488497,1.3492241,1.4081781,1.5331639,1.3424276,1.3264669,1.6356992,1.5967104,1.5796012,1.3274555,1.3624704,1.6295027,1.3688847,1.3533152,1.5681479,1.6513177,1.3870642,1.4554529,1.3333606,1.4088521,1.2908394,1.3020742,1.5181643,1.4522548,1.4727811,1.6964163,1.3820622,1.3815936,1.2597061,1.526319,1.4183271,1.4912238,1.5588388,1.5460448,1.5679809,1.6127055,1.6172742,1.5216091,1.1765239,1.2455189,1.4503425,1.1298146,1.4603223,1.4938527,1.5321276,1.1360443,1.484835,1.512018,1.5829111,1.654442,1.6419863,1.450352,1.2873824,1.4058276,1.4639775,1.2931631,1.4057724,1.4475152,1.5295271,1.7355105,1.4444616,1.5598933,1.7388086,1.2885371,1.3791568,1.4849886,1.3392658,1.4827288,1.4339148,1.5545044,1.5080605,1.311971
3,0.003,1.412207,1.3299016,1.6886917,1.5825071,1.4369428,1.4364347,1.4646695,1.5840113,1.6277561,1.4387425,1.2748727,1.3795727,1.2939643,1.5449214,1.429838,1.1400492,1.517493,1.4883301,1.239704,1.2924337,1.7524974,1.4235704,1.5432853,1.1897199,1.6413896,1.4801195,1.4331686,1.5089421,1.5758635,1.4322492,1.3159001,1.4852132,1.511136,1.2609916,1.4098381,1.5893391,1.5601497,1.5442845,1.3618299,1.519877,1.6766182,1.3870069,1.4133034,1.4207602,1.5273461,1.3760419,1.5327116,1.4468924,1.3652146,1.2248315,1.3178978,1.5040363,1.2918317,1.4208041,1.5919877,1.5450438,1.5589185,1.3148004,1.4735222,1.4660568,1.372935,1.5055155,1.6125762,1.5714587,1.7516923,1.5765501,1.5727906,1.1859026,1.3457276,1.3771783,1.2027289,1.4259596,1.4662688,1.6490334,1.1552792,1.4257184,1.7045163,1.7200527,1.5998954,1.6215785,1.4709176,1.4525218,1.3993435,1.4622769,1.2646999,1.3619189,1.6081647,1.5057805,1.8770394,1.540771,1.5810244,1.8175063,1.3384315,1.2634802,1.371285,1.3316813,1.6158767,1.4336145,1.6023934,1.5864027,1.3345817
4,0.004,1.2738677,1.4461215,1.7217418,1.5966733,1.5200793,1.2510495,1.4982626,1.6849327,1.6814452,1.2787784,1.3461971,1.4862283,1.298632,1.5095143,1.5333918,1.1778799,1.5668461,1.4431828,1.2849207,1.3072509,1.6612009,1.465378,1.3597769,1.1830374,1.7259625,1.4986376,1.5031557,1.7311717,1.6528251,1.3566756,1.3743165,1.4145647,1.6223621,1.1613446,1.3923999,1.6328465,1.423616,1.5417163,1.3641099,1.4789699,1.7957281,1.3969219,1.5234917,1.2531341,1.5802493,1.440302,1.4626633,1.4363629,1.2110777,1.3626267,1.2883782,1.3098568,1.3585887,1.3279277,1.4904178,1.5217332,1.528804,1.3624964,1.4810067,1.5496775,1.3747139,1.4599297,1.5575941,1.6112212,1.5990455,1.6413107,1.557106,1.2088306,1.3179383,1.3366523,1.3262966,1.4602628,1.5253907,1.4746634,1.2628608,1.3481482,1.7344296,1.7305706,1.6428657,1.629022,1.3272599,1.5243758,1.513081,1.3976166,1.2212397,1.3310184,1.7219859,1.5593647,1.9334534,1.4061079,1.6589953,1.7594535,1.3798647,1.4201031,1.3768711,1.36441,1.575151,1.3494014,1.6245055,1.4688566,1.3302176
5,0.005,1.1513407,1.4913291,1.7470429,1.6009476,1.5555943,1.2240883,1.4955072,1.7653265,1.5945598,1.4221416,1.5181788,1.4960773,1.4069623,1.4874524,1.5799675,1.2410942,1.6637285,1.3063743,1.2051934,1.2193316,1.6412927,1.3392553,1.2803208,1.3152499,1.7858522,1.5027653,1.4970856,1.7416763,1.5292039,1.383015,1.5182238,1.6081676,1.5759612,1.143318,1.2864023,1.5482203,1.2698872,1.6227908,1.3087684,1.5347375,1.8648868,1.3858249,1.4719403,1.438363,1.6275158,1.435787,1.2894348,1.3635801,1.1938441,1.3339835,1.1760458,1.0580467,1.4864731,1.2683017,1.447407,1.6103495,1.477308,1.285789,1.5274899,1.4833726,1.0711461,1.4429415,1.5948588,1.5642554,1.6119229,1.587422,1.5761348,1.2198544,1.4494838,1.4316462,1.1895001,1.5155905,1.5279604,1.4905515,1.3606591,1.3803979,1.7055442,1.8447137,1.6984338,1.7588483,1.4437513,1.5940456,1.41665,1.4826967,1.2723966,1.4540834,1.7263951,1.3721914,1.8264896,1.4770931,1.6239794,1.7306696,1.3221672,1.4036299,1.4321188,1.3398535,1.5834789,1.4087915,1.580432,1.4534403,1.2436389
6,0.006,1.1133224,1.5604508,1.7820473,1.5994847,1.4692749,1.248791,1.6029848,1.6949494,1.5817194,1.3608388,1.39178,1.4034387,1.4116777,1.3998058,1.5924644,1.3586718,1.735177,1.1632065,1.2393092,1.3243877,1.7711045,1.3078657,1.2837635,1.3586836,1.8337481,1.5786204,1.6449442,1.878612,1.5377562,1.399415,1.46602,1.5647126,1.7262576,1.1328659,1.4826639,1.6533643,1.1444455,1.6013265,1.3113359,1.5377382,1.8403825,1.2932312,1.3749789,1.4051626,1.7162895,1.50601,1.2603527,1.4817367,1.1495585,1.3671759,1.2047715,1.1715603,1.6333255,1.2927797,1.3631213,1.5709763,1.6271968,1.1752756,1.6567497,1.4589503,1.1202679,1.4320148,1.6320404,1.5019658,1.7124062,1.6311407,1.6028992,1.2286878,1.2361014,1.4301031,1.218941,1.5832798,1.440756,1.3497014,1.3476014,1.3084482,1.7490987,1.7394884,1.7682309,1.5922577,1.4498577,1.4995626,1.3897398,1.4462069,1.1405405,1.3680173,1.73424,1.29027,1.9352785,1.4883418,1.5418543,1.8424327,1.4009852,1.399058,1.3504404,1.3446541,1.3246022,1.4658492,1.5424068,1.4789753,1.1886888
7,0.007,1.186721,1.5602511,1.8043823,1.6450126,1.5338508,1.1929319,1.6303849,1.7165824,1.6600196,1.2227914,1.6005238,1.5542754,1.3883843,1.4258018,1.5735681,1.4210589,1.6342286,1.1987702,1.3222983,1.3476105,1.7729298,1.206765,1.3554012,1.3898278,1.8029149,1.578686,1.674289,2.1127658,1.5021986,1.4631138,1.3790605,1.4088566,1.6921875,1.1418602,1.405613,1.7878659,1.1367917,1.65937,1.2223358,1.4999062,1.8236713,1.3702583,1.4052415,1.5795871,1.592622,1.3667504,1.2102816,1.6283284,1.2021617,1.3462725,1.1653154,1.2560186,1.659699,1.3834472,1.4317873,1.3029287,1.7373483,1.0282813,1.3874328,1.4567086,0.96551883,1.5169638,1.5220789,1.481861,1.7641946,1.5347304,1.7583733,1.2521493,1.2509773,1.3800766,1.2273101,1.4531902,1.5170861,1.1781653,1.3557696,1.0982656,1.820764,1.7334378,1.7314836,1.5499187,1.5010247,1.5505828,1.2913564,1.5513244,1.1694193,1.4544306,1.7737855,1.3076385,1.8480613,1.5086505,1.5928618,1.8203757,1.4986709,1.3855252,1.4738685,1.550435,1.3748109,1.479351,1.597324,1.4345176,1.1320169
8,0.008,1.1871053,1.5486338,1.7076119,1.5544229,1.4558809,1.1542978,1.6323702,1.7205474,1.608185,1.23832,1.5602564,1.5814427,1.3311292,1.2785726,1.4533715,1.5341053,1.723881,1.2647555,1.1069946,1.3775063,1.8121264,1.2305627,1.3263232,1.2891427,1.7342112,1.4127564,1.6359401,2.051446,1.6097181,1.5113887,1.5383476,1.5012766,1.764499,1.2728914,1.4105718,1.7307038,1.0977644,1.7110186,1.2051204,1.6078032,1.7882487,1.3062191,1.4453549,1.5931567,1.6505994,1.252778,1.2005103,1.5977045,1.0341066,1.4770402,1.1011868,1.2316909,1.6920817,1.4609467,1.2328473,1.4418919,1.7697538,0.9367528,1.4688116,1.5764102,0.9509921,1.5750903,1.5146768,1.4689658,1.6795452,1.4303546,1.9223225,1.217,1.3569374,1.4666584,1.0409007,1.3370402,1.4607538,1.2591486,1.3986845,1.1815214,1.8731776,1.774941,1.7595277,1.6560409,1.4807396,1.460999,1.1659532,1.5094978,1.227797,1.4516189,1.8256447,1.139347,1.728194,1.381836,1.6779768,1.9335442,1.4889587,1.1948297,1.4241983,1.5390161,1.3055048,1.4944026,1.4310647,1.5789682,1.1474609
9,0.009000000000000001,1.079355,1.5689781,1.6268487,1.6101677,1.3089418,1.2691615,1.6126658,1.6588182,1.4882834,1.2734866,1.6823974,1.7163994,1.2839401,1.4297526,1.5031929,1.3740127,1.7781947,1.3160486,1.1166558,1.2657897,1.6377072,1.2587342,1.217727,1.1863893,1.6386638,1.4962107,1.5778288,2.0450125,1.6298902,1.5422151,1.7197827,1.5028673,1.7225554,1.115133,1.4448049,1.7207054,1.1428941,1.7406411,1.2258646,1.6069894,1.8099538,1.3852036,1.3421519,1.434768,1.6552593,1.3050191,1.2457527,1.5179834,0.992315,1.4347509,1.1421816,1.2408316,1.6179526,1.5245537,1.3291459,1.3979752,1.6887484,1.106611,1.5139953,1.6229682,1.1447599,1.7548163,1.5560058,1.4579065,1.7058363,1.5145822,1.8308136,1.320722,1.281912,1.4520947,1.1349337,1.3802248,1.6991832,1.1326702,1.2901459,1.1451875,1.8977876,1.8075486,1.8953712,1.5715395,1.5953572,1.3710033,1.2268168,1.4939681,1.1526898,1.5446916,1.7312105,1.0618657,1.792785,1.4428773,1.7318747,1.8312533,1.4457588,1.1980666,1.4832238,1.5968323,1.3500262,1.396555,1.5502722,1.6831983,1.0009878
