,Date,fBM_H0.6,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498
1,0.001,1.9123552,1.8598939,1.8748668,1.9349267,1.9280506,1.957211,1.9057989,1.877545,1.8951806,1.9191868,1.9145253,1.9599409,1.8746668,1.972557,1.9468313,1.9275349,1.919264,1.9045877,1.8909464,2.0274599,1.9165323,1.9297955,1.9271319,1.916423,1.9672978,1.9380832,1.9682217,1.9465909,1.9179344,1.9300243,1.9708562,1.8678792,1.8989947,1.919651,1.9438531,1.9886795,1.9721162,1.9590771,1.8752273,1.8990982,1.9722556,1.9256735,1.9489467,1.9213912,1.999171,1.9155332,1.9652894,1.9127103,1.9389368,1.9416809,1.9192066,2.0041084,1.9446667,1.914049,2.0181456,1.9498746,1.9895284,1.987719,1.9416069,1.9099054,1.9992788,1.9493209,1.9469597,1.9357144,1.9520049,1.9037838,1.860664,1.9559262,2.0013695,1.9065282,1.9120924,1.9157609,1.9956058,1.938433,1.9620812,1.922349,1.920963,1.9976594,1.9172404,1.8544513,1.9585978,1.8566033,1.9295974,1.9199388,1.9621265,1.9289374,1.9541959,1.9367414,1.9124662,1.9551823,1.9413245,2.0085518,1.9291382,1.940627,1.9385976,1.9296075,1.9596103,1.9751358,1.9465361,1.928741,1.8910531
2,0.002,1.8959192,1.8899541,1.9180539,1.9584384,1.905245,1.9295808,1.8617783,1.8069597,1.9040402,1.9092352,1.9128388,1.9527705,1.8563057,1.9203628,1.9014038,1.9182775,1.8887354,1.8970039,1.8687996,1.9796947,1.9199201,1.9158359,1.914762,1.9890177,1.9259524,2.001519,2.0190072,1.9566919,1.9016194,1.9398671,1.9797952,1.9040823,1.9542762,1.9891667,1.9544518,1.9833856,1.8748031,2.0178022,1.8810047,1.8690399,2.0147197,1.877993,1.9117147,1.8859717,2.008193,1.8921473,1.9920617,1.974971,1.9386461,1.9774858,1.9356544,1.9535756,1.8982698,1.9099414,2.0233638,1.9161282,1.9434836,2.0258183,1.9238727,1.9173456,1.9982464,2.048499,1.9395785,1.9261621,1.9587307,1.9612458,1.9422574,1.937554,1.9392147,1.9134511,1.9257452,1.9375659,1.980807,1.8983263,1.9433932,1.934669,1.8877759,1.9754955,2.002411,1.8858491,1.9841338,1.877822,1.9623142,1.9333154,1.9960376,1.9182682,1.9836316,1.9063257,1.9261193,1.9111538,1.9346185,2.0480185,1.8720484,1.9817686,1.9117017,1.9591961,1.9989018,1.984051,1.981822,1.9392025,1.9224521
3,0.003,1.8725663,1.8776454,1.9243355,1.9895725,1.9275739,1.959145,1.7903187,1.7670351,1.8887995,1.9142318,1.870149,1.9873596,1.8857754,1.8841288,1.887631,1.9279805,1.8951362,1.8734004,1.8669512,2.012479,1.9537741,1.9156327,1.9062524,1.9989856,1.9246258,1.9523503,2.0127444,1.965434,1.9070668,1.9540862,2.0537512,1.8937744,1.9586886,2.0371401,1.974602,1.9566044,1.9162976,2.046043,1.9158599,1.8717697,2.0630598,1.8009123,1.9496315,1.9115233,1.989405,1.8548896,2.0100296,1.9286748,1.9784613,1.9249314,1.8898638,1.9595265,1.8682736,1.8895301,1.9964317,1.8676881,2.0023468,1.9840273,1.9768533,1.9670081,1.9784001,2.0063725,1.9259661,1.8649585,1.9940544,1.9434569,1.9180285,1.928977,1.9113718,1.8879963,1.9286343,1.955547,1.9368994,1.9403946,1.9701155,1.925633,1.9024405,1.9452622,1.9495927,1.8742168,1.9967756,1.9812204,1.9458201,1.9150515,1.9667373,1.8978935,1.9664773,1.9426205,1.8848891,1.8595527,1.9403828,2.0655277,1.9086818,1.9994519,1.9035631,1.935847,1.9975886,1.9894067,2.0072467,1.8963661,1.904796
4,0.004,1.8616436,1.9212685,1.9308645,1.9480232,1.8913853,1.9827477,1.8916204,1.7886659,1.8933469,1.85938,1.9072688,1.9885015,1.9014828,1.8784795,1.885351,1.9332733,1.8402331,1.9086773,1.891659,2.0136795,1.9837402,1.785585,1.8689787,2.0052528,1.948222,1.9871266,2.0213976,2.002042,1.8936465,1.9348992,2.0659647,1.8369594,1.9287614,2.0599086,1.9976747,1.916766,1.8790191,2.0496953,1.9241067,1.7953504,2.0544286,1.8183849,1.9753886,1.9997617,1.9627208,1.8193105,1.9422038,1.9183817,2.0365582,1.954246,1.8855557,1.9936894,1.8741935,1.9176414,1.9959509,1.795547,1.9952749,1.9692549,1.9346439,1.9739381,2.0349717,1.9878474,1.8991817,1.7876859,1.9989171,1.9218495,1.8948009,1.9460216,1.9214478,1.8076247,1.8724446,1.9317204,1.9448102,1.8821665,1.9626025,1.9475479,1.9200526,1.9923743,2.0231187,1.9020658,1.9686416,1.9503764,1.9227091,1.9417547,1.9816126,1.8486586,1.9567119,1.9244859,1.8242841,1.838565,1.9347647,2.0355048,1.9039531,1.9244844,1.9574848,1.8964477,2.0059702,1.957695,2.0323868,1.880689,1.892373
5,0.005,1.8114403,1.9697315,1.966937,1.905794,1.8903482,1.9111922,1.9063618,1.78712,1.8893895,1.8475722,1.9627838,2.0127475,1.9038467,1.8508573,1.8797822,1.9312388,1.7957674,1.8413076,1.87573,2.002436,1.9916629,1.7493275,1.9110018,1.9372834,1.9468777,1.9677603,1.9828564,2.0095468,1.86212,1.8773627,2.0767434,1.8221948,1.9160724,2.0349438,1.9425242,1.9113928,1.8538635,2.10966,1.8976672,1.7507186,2.0427804,1.8130323,1.9148579,1.9966378,1.9481759,1.7829643,1.9300051,1.9152842,2.036164,1.9291682,1.884657,2.0270753,1.8169874,1.8929057,2.0029304,1.7595038,1.9855084,1.9888142,1.8769016,1.9241358,2.0437648,1.9932017,1.8249978,1.8230447,2.064687,1.8817215,1.9435513,1.9387087,1.8820906,1.7559286,1.8674487,1.9686654,1.953341,1.8291838,1.875382,1.9781253,1.9100142,1.9935131,1.9103242,1.9173056,1.9738227,1.9625639,1.9514003,1.8923986,1.9499859,1.8465337,1.9681127,1.9739957,1.8170502,1.8729054,1.931982,1.9921542,1.9610615,1.9434997,1.9524229,1.9576281,1.955972,1.9404243,2.036763,1.9053073,1.8538202
6,0.006,1.7657063,2.0400214,1.9455836,1.865059,1.9032241,1.9879093,1.8772697,1.7153416,1.8537353,1.8116413,2.026113,2.0106773,1.8833748,1.8205054,1.8662354,1.9341134,1.8394271,1.8738014,1.8457255,1.9832308,1.9970562,1.7958454,1.9297667,1.9392365,1.9377362,1.934129,1.9213494,2.0201747,1.8595221,1.8798873,2.1297112,1.8629866,1.8923239,2.0017269,1.9133824,1.8919634,1.8913562,2.109107,1.8976421,1.746933,2.1094644,1.8691432,1.9047823,1.929645,1.8973143,1.8135266,1.9522282,1.9257606,2.0165167,1.9266318,1.8689162,2.0735135,1.8007371,1.8544768,1.9913957,1.7748958,1.9917691,1.9730661,1.7792542,1.8396456,2.016981,2.0036354,1.9050514,1.834097,2.0354033,1.7957895,1.9343476,1.9162594,1.8778155,1.765009,1.8771093,1.9717385,1.9973817,1.8338377,1.8845066,2.0974464,1.8530642,1.9751284,1.9014771,1.9473066,1.9738876,1.9233713,1.9877604,1.9325356,1.9351037,1.8455132,1.9608767,1.9708918,1.7827489,1.8553884,1.9114839,1.9405754,1.9680501,1.904943,1.8987685,1.9732798,2.0161724,1.9884953,1.9710554,1.96928,1.8594583
7,0.007,1.8068285,2.0077465,1.967535,1.7635221,1.946846,1.9979516,1.8916613,1.7510921,1.885921,1.7815071,2.0259242,2.0684924,1.9830551,1.8549756,1.8209141,1.9290249,1.7886509,1.9349804,1.8341806,1.9953533,1.944639,1.7774146,1.9066482,1.968652,1.9309539,1.9436581,1.9040146,1.9173083,1.841692,1.8533342,2.1275449,1.8374388,1.8558122,2.0436158,1.8568685,1.8454684,1.8523773,2.1311555,1.8714651,1.7290323,2.0809095,1.8456342,1.9203438,1.9945759,1.8797045,1.8222749,1.9351122,1.900619,1.9857423,1.9115126,1.8398546,2.0364568,1.8581597,1.8368928,1.9544996,1.8421041,1.9465117,1.9564517,1.763111,1.8512154,2.0342278,2.0000646,1.9663326,1.8447409,2.0544593,1.8254739,1.9295708,1.9454393,1.8353715,1.8033127,1.8600837,1.9095044,2.0347927,1.8353798,1.860386,2.0784023,1.8026938,1.9632411,1.9478334,1.9758872,1.9526113,1.9090611,2.0138886,1.9220241,1.9552845,1.8519211,1.9007385,1.9721915,1.7240745,1.902754,1.8051713,1.9004776,1.9788141,1.8961006,1.9016433,1.9040829,2.0373814,1.9091392,1.9103378,1.9049594,1.816695
8,0.008,1.8339365,2.008524,1.9526722,1.7708764,1.952925,1.9781302,1.8810301,1.6911261,1.9097794,1.72452,2.02828,2.0654502,1.968057,1.8547264,1.8232063,1.9311376,1.7279505,1.9967729,1.7898725,1.9724509,1.9246638,1.7195879,1.9132965,1.9977652,1.8786412,1.9399223,1.9183381,1.9227238,1.8433751,1.8699044,2.0889282,1.7918464,1.7550124,2.0112221,1.8051481,1.8299553,1.7641685,2.1090107,1.9070169,1.7406532,2.0960944,1.7822884,1.9661863,1.9750948,1.9242017,1.7673198,1.9304285,1.9323344,2.0121355,1.8993369,1.7809335,2.068422,1.8887517,1.8696786,1.8744539,1.7993476,1.8930985,1.9853705,1.7097288,1.910897,2.0354466,2.0379,1.9478984,1.8349653,2.0589585,1.8354897,1.945048,1.9124994,1.8357161,1.7627416,1.756828,1.9216398,1.9637733,1.9117341,1.8538156,2.065548,1.7074724,1.8862844,1.9221213,1.9803976,1.9488618,1.8801394,2.0644963,1.9010694,2.0213997,1.8497182,1.9232008,1.9914545,1.6956843,1.8369274,1.8049878,1.9377837,1.981976,1.9320636,1.865643,1.8617041,2.0844216,1.8846979,1.9040353,1.9222939,1.8894758
9,0.009000000000000001,1.8009701,2.0429785,1.9510119,1.7540914,2.0245428,1.9605842,1.8439599,1.7238182,1.9220861,1.7620878,2.0474741,2.0060093,1.9554183,1.8540539,1.7866416,1.8855894,1.7369438,1.9906319,1.8409822,1.9735502,1.946815,1.6676191,1.9900268,1.9890974,1.8539282,1.9299322,1.9470576,1.923932,1.8915429,1.8293375,2.0598562,1.7854964,1.7575289,1.9797335,1.7868028,1.8463422,1.7237391,2.1186209,1.9629381,1.8353724,2.1104841,1.8178749,1.9315244,1.9748031,1.8904941,1.7819672,1.946452,1.9442388,1.9748554,1.8707477,1.7911171,2.052593,1.9524977,1.919822,1.9095572,1.8130217,1.8786653,1.9802508,1.7453996,1.9076204,2.0812664,2.067553,1.9498242,1.8388505,2.0224688,1.8270063,1.9539397,1.946827,1.7954094,1.7281435,1.7589921,1.9502602,1.9389355,1.9640397,1.796265,2.0956159,1.818657,1.8870163,1.8848503,1.988759,1.8717579,1.8821061,2.077239,1.9068813,1.942441,1.8345302,1.9423314,2.0625098,1.7587628,1.8796141,1.8435937,1.9138868,1.9723357,1.9495636,1.8955481,1.8173577,2.040683,1.9416552,1.8861748,1.9699715,1.8485715
