,Date,fBM_H0.6,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498,1.9400498
1,0.001,1.9123552,1.7544487,1.9395788,2.0299456,1.960146,1.9901568,1.9861906,1.9787102,1.9302847,1.9395791,1.8555951,1.9459709,1.8759487,1.8645103,1.9629216,1.8046821,2.1293929,2.0113823,1.9605899,1.8496673,1.9713435,1.7364329,2.0296125,1.9246994,1.816761,1.907086,2.1092474,1.958611,2.0864565,1.8938755,1.936683,1.8893801,2.0291781,2.1453745,2.0826318,1.9742765,1.9575989,1.8286184,2.0140607,1.7695247,1.8637724,2.100214,1.957601,1.9567479,1.943562,1.9809642,1.8438195,1.8195618,2.0460877,2.0021331,1.824363,1.9137768,1.9203134,1.9014374,1.9055012,1.9674493,1.9045514,1.8870883,1.8436973,1.9182081,2.071086,2.023552,1.8722961,1.9425685,1.9531522,2.1266174,1.9936817,1.8508871,2.0231993,1.8319172,1.9604924,1.8787553,2.0361814,2.0144105,2.031549,1.8545067,1.8746231,1.8892968,1.9391445,1.9604194,1.9557902,1.9707848,2.1665351,1.9599203,1.95206,1.9352225,1.8834898,1.9407327,2.034068,1.831022,1.9330599,1.9656037,1.856077,1.9121853,1.9833686,2.0787773,2.0303316,1.9330688,2.002998,1.9462813,2.0394511
2,0.002,1.8959192,1.7755847,2.009947,1.9688407,1.8849986,2.0237443,1.8995209,2.003818,2.0438192,2.1923501,1.6997286,2.053465,1.9664514,1.9276781,1.7214568,1.6711193,2.0108018,2.1091793,2.025926,1.9939028,2.0575209,1.737035,1.9515424,1.807183,1.9228809,2.0230012,2.221774,2.0346818,2.0985875,1.9311825,1.9526078,1.9868673,1.9849252,2.1409714,2.1559322,1.9857813,1.8948798,1.8533994,1.9682169,1.6535002,1.8671303,2.0745578,2.0379667,1.9546113,1.8241113,1.8408022,1.7929072,1.9768274,2.0416677,1.9669003,1.8934846,1.9394753,2.089955,1.8962492,2.0256085,2.0085385,1.8708522,1.8457962,1.802532,1.9928005,2.105784,1.9641242,1.8583056,1.9003679,1.9951357,2.0296257,2.0281987,1.8965425,2.0631926,1.830672,2.0195394,1.9790261,2.0876563,1.9656802,2.091543,1.840181,1.8960111,2.0036905,1.9096757,1.907058,1.930714,2.0527964,2.301812,1.9117094,2.004621,2.0328217,1.9605908,1.9047606,2.0042267,1.8008276,2.0888448,1.91299,1.9133873,2.0456233,2.090032,2.1202998,2.105937,1.9359158,1.8224772,1.9850487,1.7074265
3,0.003,1.8725663,1.8496562,1.9990554,2.014655,1.8995404,2.0975757,1.9441537,1.9751766,2.121239,2.330258,1.5677907,2.0592058,1.9878896,2.0101004,1.6906183,1.6364067,2.0634947,2.1671612,2.044379,2.1122653,2.0139968,1.8776479,1.8396189,1.911688,1.8869176,2.0996387,2.2090695,2.1055048,2.1636133,1.9040339,2.019543,1.9254484,2.0257583,2.142904,2.1841657,1.8487065,1.8616813,1.8633565,2.0061204,1.6586291,1.8140504,2.057109,1.9348274,2.0797153,1.8580724,1.9399252,1.8693421,2.058634,2.0030978,2.0853662,1.778322,1.9835994,2.1393821,1.8921674,1.9817946,1.9432663,1.928613,1.7687818,1.8465933,2.038756,2.0806992,2.0140173,1.8773655,1.9159132,1.8721156,2.134792,1.9268119,1.9146117,2.0050542,1.8565049,2.0129652,1.9580829,2.086951,1.9933871,1.993419,1.850651,1.8547236,2.0781376,1.9169251,1.8903291,2.0744023,1.9222593,2.3680832,1.8347542,2.0367754,1.9633558,1.972219,2.0730262,2.0705879,1.8036063,2.098396,1.9325866,1.8705215,1.9969547,2.247258,2.0511465,2.118837,1.9969475,1.9277029,1.9382434,1.6189953
4,0.004,1.8616436,1.8811647,1.9851753,2.0151885,1.9283699,2.1729426,1.8710266,1.9697367,2.039398,2.2625382,1.5678053,2.1395216,2.0669158,1.9726692,1.616462,1.6263278,1.9962809,2.3501136,2.0988572,2.0679216,2.0559433,1.9627512,1.8140315,1.9034702,1.938695,2.1504738,2.1806207,2.0373788,2.1857586,1.8150657,1.9304668,1.8276255,1.9563038,2.2553203,2.1463184,1.9177537,1.8856087,2.0130837,2.004428,1.7941927,1.7687865,2.0797415,2.0613935,2.0821857,1.7019963,1.9125131,1.8355868,1.9690752,2.0411046,2.2673495,1.8002319,1.9927943,2.1023357,1.8443292,1.9506031,2.211772,2.1033132,1.7102062,1.9138968,2.0736477,1.9877692,1.9343644,1.7873685,1.8682436,1.9283938,2.0772042,1.9315127,1.9250149,2.0046575,1.978569,1.9455559,1.8371533,2.1343815,1.960288,2.016531,1.8372151,1.7871844,2.2222326,1.9002012,1.811205,1.9217279,1.8392731,2.4433243,1.8495055,2.0158253,1.8975892,1.9801277,2.123845,2.1017604,1.8141483,2.115674,1.8365974,1.7348223,1.9038408,2.1800776,2.1999104,2.2092218,2.072192,1.8104097,1.8685205,1.5350535
5,0.005,1.8114403,2.0149593,1.8864527,2.0363145,1.9116751,2.182439,1.7750401,2.0016487,2.0980542,2.3764312,1.3981782,2.134344,2.1528146,1.9696109,1.4674109,1.762561,2.064033,2.515245,2.1379733,1.9714856,2.0926716,1.8882176,1.9524518,2.0489852,1.9124641,2.2221289,2.2282078,2.0310621,2.2274344,1.8804426,1.997314,1.780958,1.9258459,2.2273955,2.1495683,2.0164173,1.9361306,2.0424457,2.0357752,1.8853619,1.72643,2.1316054,2.0448756,2.2010672,1.6161662,1.8916012,1.996678,1.9002764,2.1194882,2.2758713,1.8160988,2.0090058,2.0010064,1.7745595,1.982386,2.2400072,2.05869,1.5669034,1.9662993,2.0586011,2.002909,1.9176661,1.7981206,1.9107364,1.9791963,2.0082824,1.968725,1.9765801,1.9891893,1.9378066,1.863492,1.8339642,1.9723078,1.9553347,1.9961275,1.9772599,1.7550601,2.1375587,1.8224951,1.8682804,1.869327,1.8429068,2.4898763,1.752369,2.065259,1.923772,2.0264778,2.0922015,2.1091564,1.6522744,2.062006,1.9368178,1.846796,1.853496,2.0833373,2.3650885,2.3042593,2.2070756,1.8108709,1.8954206,1.5974768
6,0.006,1.7657063,2.0894792,1.8542074,2.1040814,1.9848046,2.2876463,1.9842235,1.9778675,2.2378278,2.2381546,1.3981358,2.24904,2.2184105,2.0084307,1.4846958,1.6960466,2.1047587,2.5248585,2.1506736,1.9925104,2.0384321,1.9917948,2.0520504,2.085729,1.9188534,2.234296,2.2754421,1.9474721,2.2988324,1.8950866,1.8938878,1.6076155,2.09042,2.302232,2.113259,1.9622484,1.8591666,1.9606705,2.0478618,1.801621,1.9198483,2.0764062,2.0304427,2.1005468,1.72216,1.7797059,1.9926819,1.8051211,2.2490358,2.252226,1.7276922,2.1224768,1.9639418,1.8076903,2.14478,2.316982,1.9215567,1.411931,1.9987038,2.1293955,2.0669198,1.9240255,1.8060427,1.9921306,1.8524977,2.015232,2.057226,2.0755973,1.987467,1.9771947,1.8041778,1.9444976,2.0687551,1.8177712,2.0018275,1.9827055,1.6658406,2.1692367,2.0700736,1.9010655,1.8594147,1.8038868,2.3826666,1.9131868,2.034819,1.9936271,2.2665777,2.1852195,2.0443873,1.6844199,1.9613215,1.991185,1.951459,1.773699,2.0721543,2.293358,2.3397636,2.2054908,1.8502165,1.8726548,1.6046295
7,0.007,1.8068285,2.0827315,1.9065117,1.9188132,1.9180362,2.2836518,1.9181651,1.8954737,2.1387644,2.301116,1.1108338,2.2580428,2.3306704,2.227081,1.502649,1.8281206,2.1455472,2.4978929,2.2816534,1.9160421,2.0929327,1.8968909,2.0071332,2.053687,1.8763286,2.223555,2.2624714,1.835206,2.1738772,1.9193368,1.9979043,1.6367879,2.0349174,2.326224,2.053434,1.9461396,1.7452291,2.029231,2.0990067,1.718769,1.8963963,1.9899783,2.074072,2.0791132,1.8809057,1.8116865,2.0162897,1.8004704,2.214393,2.2540708,1.6750354,2.0804656,2.1114848,1.7026279,2.183733,2.309337,1.9415512,1.1047065,1.9662772,2.148183,2.006147,1.7936801,1.8371661,2.089898,1.8348496,1.9129955,1.986801,2.1300876,1.9678984,2.1017268,1.898332,2.029631,2.0931685,1.7213159,2.062373,1.8817008,1.6253705,2.3661845,1.9891396,1.8822625,1.903415,1.8311076,2.3327327,1.9820207,2.1401176,2.005679,2.3359318,2.271052,1.9523902,1.539929,2.1033487,1.8765203,1.967153,1.7918407,2.0528467,2.2476397,2.4036114,2.2363133,1.9189011,1.9867566,1.8470904
8,0.008,1.8339365,2.1053581,2.0424125,1.9738444,1.8250682,2.4109082,1.7718804,1.8386018,2.191829,2.4433613,1.1157879,2.2805567,2.2518725,2.2212257,1.6226425,1.7469283,2.0605123,2.4796836,2.2211611,1.9915334,2.1907215,1.8643041,1.8347435,1.9908545,1.7545993,2.0776348,2.220075,1.8587303,2.0279214,1.8997791,2.0890062,1.5536166,2.1317737,2.3387327,1.9676069,1.9727935,1.8348899,2.081746,2.0682979,1.6490524,1.9071016,2.080603,2.1010468,2.077638,1.8582871,1.8344238,2.0670354,1.7776564,2.2593708,2.260605,1.4723816,2.1417284,2.1616693,1.5968142,2.2622998,2.2624633,1.992922,1.1148121,2.11026,2.0784705,2.096271,1.8976549,1.785209,2.076545,1.8937134,1.7401335,2.0474565,2.0690281,1.9614819,2.0541344,1.8750055,1.9127109,2.0759587,1.8761115,1.8912525,1.9751918,1.5989077,2.3544254,1.8178556,1.7789291,2.0161328,1.7897105,2.427792,1.9660885,2.2103515,2.067023,2.301099,2.26301,1.8831497,1.4112635,1.9303502,2.0007443,2.090888,1.666739,1.963883,2.1682594,2.4708586,2.3418214,1.898279,1.9354818,1.9053288
9,0.009000000000000001,1.8009701,2.2347658,2.0193841,2.0979416,1.6846817,2.3400156,1.8789288,1.8781837,2.2501047,2.4196963,0.9819606,2.2140286,2.1921148,2.2646773,1.715721,1.8222675,1.9862502,2.4667532,2.2020152,1.9934659,2.2871919,1.8748846,1.8091855,1.9363457,1.6558224,2.1045299,2.3159497,1.7404938,2.0597205,1.8292682,2.156783,1.4954894,2.2051678,2.2373922,1.9550203,1.9353092,1.8366356,2.107914,2.0424001,1.8451443,2.0728607,2.1494145,2.1459992,2.1952553,2.0292454,1.7470603,2.0211856,1.5680151,2.347714,2.2373958,1.5013108,2.3000524,2.2383258,1.6443799,2.2284517,2.161098,2.2439365,1.3938189,1.990984,2.0825295,2.1067135,1.905148,1.8609054,2.0570629,1.9144776,1.711948,2.1033683,2.052499,1.964324,2.161499,1.9472536,1.9408565,1.9638087,1.7473869,1.9418696,1.9831301,1.5910282,2.3700275,1.7980165,1.7261795,1.9642878,1.8857851,2.3018699,1.9725155,2.3655484,1.984866,2.3283138,2.1817915,1.974841,1.4374098,1.835992,2.0822806,1.9398134,1.7819501,1.8928972,1.9030247,2.6325982,2.3147354,1.7656884,1.8722711,1.8602476
