,Date,fOU_H0.2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244,2.3456244
1,0.001,2.423405,2.5324237,1.8895401,1.447252,1.9643544,2.1363192,1.4789037,2.1609929,2.5534816,2.198691,2.2654395,2.4519916,1.9501091,2.3924668,2.051837,2.8616858,3.2559872,1.7211407,1.8595263,1.9175689,1.8233728,2.4990056,2.3806922,2.2646463,2.7766001,2.39902,2.5185156,1.8307133,1.6204088,1.8842901,2.1218326,2.047643,2.7671366,2.6838875,3.2279835,2.0377336,3.0021558,1.9367421,1.6809882,1.4729272,2.1021051,2.4945166,1.9636306,2.943102,1.8188431,2.3175063,2.7312934,2.073656,1.8791817,2.6011553,2.0803392,2.0693877,2.137218,1.6992146,3.1166291,2.174992,2.4260688,2.3570511,2.4021587,1.8988018,1.9648675,2.4149342,2.0988185,2.390546,1.2934538,2.3253741,2.8577487,1.9517589,1.985326,2.728375,2.4410071,1.6361573,2.1999233,1.6993849,2.1620572,2.8260896,1.8912506,2.466867,1.8884596,2.2359376,1.8992726,1.9893299,1.9994056,3.0316267,2.278964,2.95938,1.950368,1.9665344,2.4865828,2.040359,2.7557187,2.017468,2.424443,2.5440166,2.530922,2.7475064,1.9039953,2.4847348,2.9264207,1.8253802,2.3449295
2,0.002,2.1875756,2.9192624,2.520941,2.023773,2.5359993,2.0688303,2.0281622,2.3690083,1.971142,2.9790492,2.7381315,2.0882568,1.7061796,3.0403438,1.6636972,2.107478,3.30306,2.253644,2.4080017,1.8329349,2.5978413,2.673927,1.9097893,2.1133554,2.84507,2.7534606,1.991793,2.6232138,2.2486835,2.5344577,2.2919056,2.4538465,4.003246,1.8387244,2.784578,2.7452972,2.7504632,1.8663362,1.3003212,1.7500468,2.7988014,1.9857094,2.5568652,2.5004518,1.7140138,2.046851,2.014606,2.656871,2.0478663,2.7710705,2.3248053,1.3984349,2.318148,2.6090968,3.11863,1.6746004,1.6989138,3.1228967,2.6563742,2.5705044,2.2333627,3.0114987,1.6613235,2.884263,1.4348458,3.0796723,3.4535446,1.8722167,2.0664592,2.6185594,2.4891942,2.7094097,2.172538,2.107928,2.3731804,2.2767627,1.9161329,2.0643084,2.5370812,2.8694801,2.149674,2.674765,1.5795166,2.7458265,1.9533787,1.7534099,1.6503822,2.1230617,2.7234523,3.067067,3.3897495,2.5917292,3.1322215,2.2061605,2.622936,2.7945147,2.4350934,1.5414407,2.7265677,2.1966155,2.2721214
3,0.003,2.0362146,2.8533943,2.807038,1.0382671,3.0376122,2.5440373,2.2313032,3.3453405,2.0123603,2.5134401,2.0468583,2.5216181,1.826119,2.5002375,0.91036415,2.6799014,2.894355,2.315221,2.079678,2.3515062,2.0913756,2.7782898,2.9003608,3.0798867,2.8012455,3.196254,2.0896995,1.6180428,1.1920589,2.0339859,2.592066,2.4692845,3.576573,2.2160695,3.3989322,3.0467563,3.2213554,1.9012172,1.8349936,1.0632528,2.9770417,1.540085,1.8697401,3.026227,2.1559265,1.6123074,2.4986963,2.3868973,2.341354,2.5744529,2.0809124,2.2169254,3.0666687,2.1440895,3.1649086,1.2069856,1.5586867,2.1795423,2.25987,2.5772653,3.1181931,2.5657947,2.2581043,2.5960145,1.6722951,3.5615094,3.6803803,2.3751435,1.9730811,2.1322746,1.65168,3.228887,2.93453,1.9475088,2.8192966,2.2675006,2.3875618,1.7447292,2.1978948,2.8911629,2.6975954,2.305759,1.7749269,3.238285,2.6588857,2.329372,2.3456035,1.5572038,2.364224,3.3158188,2.6908045,1.5872102,3.695118,2.2164388,3.0695515,3.3888857,2.8941984,2.1691937,3.5135329,1.8352478,2.4977038
4,0.004,2.4680963,2.5472398,2.8133628,1.6367726,2.1457276,2.0473802,1.2086055,3.6599784,2.551179,2.6686468,1.7885255,2.3941958,0.76705205,3.0825608,1.7502704,2.1319828,2.537326,2.3414881,2.47086,2.0116642,1.5955092,2.409533,1.9484586,2.577167,3.4250293,3.524658,1.4912229,2.8269167,1.7143672,2.658493,3.200139,2.9820325,4.404154,1.6454202,2.9255471,2.2548387,3.3189142,2.6792898,1.345897,0.8037895,2.835598,2.2225037,1.8077332,3.173886,1.5900455,1.8302038,3.1374228,2.091216,2.9084344,2.4847145,2.6689746,1.7645551,3.80024,2.378207,2.7685785,1.0942056,1.9159474,1.7357912,1.7007782,1.7148983,2.2504053,3.5260503,2.6227412,3.3917122,2.4861505,2.704875,3.704774,2.9184737,1.9670471,2.3616061,1.9084201,3.1277592,3.1432047,1.8436238,1.8122674,1.868418,1.678622,2.7913232,1.952672,3.3278313,2.2767453,1.7740728,1.9916686,2.9570475,1.823478,2.7067938,2.9540572,2.2998145,1.6914339,3.4868128,3.0320938,2.3576355,2.5435972,2.8193593,2.6505277,2.9548771,1.8786142,1.7725078,4.369622,1.5098429,2.2841344
5,0.005,1.8809193,2.962449,2.851166,1.4296641,2.4787369,1.3008543,1.6748371,4.6001797,2.1579454,2.6360826,1.6514367,2.0639944,1.1278012,2.318586,2.0456903,2.807775,1.729034,1.5899655,2.0483074,1.8487647,2.7795346,2.7629464,1.8432977,3.564114,2.8321278,2.8509414,1.665339,3.239249,1.497974,2.1101952,2.5334406,2.9828837,3.6850088,1.5924572,2.2139843,2.0003314,3.3727572,2.8299613,2.2147954,0.42821717,2.9539857,1.58377,2.4223871,2.1657176,2.3440874,1.5810627,3.033022,1.8110577,2.4920542,2.78259,1.5118604,2.3036013,3.3809838,1.9970268,3.3842902,0.98503065,1.5823357,1.461773,1.6038718,1.6592228,2.6622217,3.0416865,2.1274385,3.0581539,1.9265754,3.313015,3.188701,2.6389809,1.6165454,2.0837996,1.7786634,3.0691442,3.3979,2.4795918,2.5525253,2.8102295,1.50391,2.9752731,1.9487079,2.3677974,1.9843967,1.7466779,2.873715,2.8693569,1.5781786,2.0552182,2.1336477,1.8091853,1.4428519,3.0633352,2.5328012,2.0652068,2.577623,3.0257235,2.4059432,3.1623685,2.812943,1.2521497,4.2475758,1.0051249,2.776134
6,0.006,1.8149008,2.5470319,2.8588302,1.8357203,2.4481056,2.006812,1.2283568,4.5899515,2.8198352,2.8127663,1.655246,1.8495419,1.5354247,2.5802605,1.540612,3.1305923,2.336481,0.7609173,2.2059858,2.4132628,3.6697855,3.086042,1.4473317,3.5247662,2.3487287,3.2691393,1.9052637,2.745527,1.7942376,1.7881715,2.6397307,2.72549,4.1576486,1.0550929,2.0622416,1.7075512,3.1066391,2.711918,2.4204912,0.40432036,2.913486,1.7554469,2.1611295,2.8453379,1.3704352,1.7034943,3.5730624,2.0540392,2.6211452,2.2245402,2.3026164,2.9785657,3.9408627,2.6464987,3.6912246,0.7449379,2.2041097,1.8395331,1.1146809,1.8409698,1.922198,2.8343844,2.957713,3.350011,2.329227,3.2337632,2.7661018,2.3867788,1.9375485,2.845962,1.5642698,3.172534,4.263926,1.7908562,1.8495432,2.0183492,0.9962363,3.1384706,1.6854858,2.319687,2.9302664,2.2958114,2.203562,3.1012392,2.1924038,1.9225132,2.9677486,1.4143627,1.6748114,4.077244,2.5507407,1.7601418,2.4951673,2.73003,2.850814,3.676059,3.4361932,1.2162565,4.1914854,2.0570312,2.5567634
7,0.007,1.7420424,2.2161202,2.721434,1.083272,1.4353926,1.7803025,2.4337385,5.0552187,2.2921777,3.7251983,1.7471721,2.7237458,0.85184443,1.8375816,1.0767909,2.929374,2.594605,0.99195385,2.1264975,2.986139,3.6365008,2.5289185,2.0417707,2.8028784,1.4882433,3.3029056,1.4038166,2.6914227,0.8253161,2.4225519,2.650342,2.5331957,3.3393674,0.8611481,2.1708524,2.3565207,3.9741478,3.3060486,2.5972059,1.1446075,3.085801,1.6467316,2.8722057,2.1767335,1.7792764,1.6194004,3.3387413,1.7912569,3.4761167,2.3821132,1.8756539,2.4887218,3.5743642,2.7681854,3.6371813,0.6142492,1.9794208,1.0207387,1.2912008,2.0905478,1.8948262,2.9363375,2.744848,3.2173827,1.563166,2.8625119,2.959485,2.4160728,2.3937633,2.2986279,2.0638618,2.6805663,4.035036,2.4182127,2.763854,2.7591474,0.99183106,2.7859251,1.6992185,2.3765774,2.265824,2.2459958,1.9377326,2.864985,1.4679898,1.0593027,2.5187678,1.3709509,1.7628458,3.6204438,3.0234778,2.4633522,2.9047198,2.2504466,3.0465577,2.9778764,3.0171528,1.6269846,3.9294508,1.1961629,2.221116
8,0.008,1.5476018,3.079387,3.0990448,1.3025469,1.3711364,1.861954,2.758648,4.421001,2.1386604,3.6535256,2.4375103,1.7408457,0.4297626,2.4049108,1.4461112,3.437263,2.2866664,0.69755816,2.0552325,2.4163058,4.3680687,3.2819781,1.2972932,2.9364848,0.83268106,3.2901158,2.2433333,2.2807806,0.571702,2.0375497,2.479958,1.7091973,2.9417725,1.2691287,2.8120885,1.7262244,3.5053768,2.7092915,3.1054177,1.3234675,2.417316,1.1436578,2.2282157,2.6293187,1.7831726,2.8023937,2.9639413,2.518481,3.6079888,2.8914897,2.2580388,2.9950693,4.0585084,3.0972042,3.664896,0.77682126,2.1702697,0.73376167,0.98538303,1.846853,1.4097683,2.4574919,3.5434227,3.8958693,2.2436144,3.4871025,3.550191,2.2910182,1.7746842,2.6361127,2.1646857,3.4478557,4.6713934,2.2206519,2.3236306,2.1617765,1.8538606,3.1336927,1.917973,2.2871199,3.3860254,2.0708275,1.8025459,3.8199885,1.9904721,0.99070466,2.5478103,1.5872178,2.4444828,3.190105,2.5099986,1.6937321,2.7883413,2.9307847,3.250525,3.1955748,3.6741123,1.827319,4.5016766,1.7733036,1.6488826
9,0.009000000000000001,3.161358,2.5714538,2.600822,1.7278814,1.1272705,1.2617675,2.9746842,4.8368855,2.307494,4.1238213,2.0562391,1.6912858,0.9935733,2.8318977,2.2864003,3.380517,2.9825501,0.83247733,2.8191133,2.9435828,4.09996,2.5217624,1.922449,2.4616423,0.3160236,3.4102902,1.6270336,2.265163,0.35087013,2.4952142,2.3766358,2.0069237,2.2809346,1.7636279,1.7171599,2.1862414,3.4089203,3.3338275,2.363347,0.65680027,3.347078,1.9520447,2.8769245,2.958323,1.4577041,2.0659525,3.597181,3.3506265,3.5635624,3.0171332,2.7510316,3.298635,4.0927544,3.2160053,4.1570497,1.0292115,1.9819103,1.1598175,0.52393985,1.5419061,2.5890903,3.3884869,3.3563354,3.5641422,2.7582998,3.6694639,3.5729876,2.3223982,2.4706872,2.3074803,2.7001274,2.9959157,3.703777,1.0877618,2.917536,2.0518763,1.4422066,2.2556534,1.3684282,2.565964,3.7086856,2.88772,2.4191093,3.5898676,1.725961,0.0901413,2.3496568,2.4305215,2.1906626,4.58651,2.5992641,1.1411607,2.7456565,2.5407863,3.3403342,3.862197,4.1694746,1.3218215,3.8924143,1.4968257,1.3239737
