,Date,fOU_H0.8,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798,-1.3299798
1,0.001,-1.290484,-1.3751416,-1.3368729,-1.3479772,-1.254446,-1.323502,-1.2799783,-1.3029318,-1.3356869,-1.2959578,-1.2816494,-1.3879405,-1.2963479,-1.3592236,-1.3478783,-1.3438855,-1.3171978,-1.305271,-1.3444183,-1.4328964,-1.3095967,-1.2984215,-1.3268834,-1.2627819,-1.3212116,-1.4410748,-1.3191848,-1.3840096,-1.32202,-1.3307242,-1.3407112,-1.373826,-1.2117299,-1.2790893,-1.3298304,-1.2780486,-1.3713146,-1.2988402,-1.4216673,-1.2835875,-1.2459033,-1.372544,-1.3322891,-1.377579,-1.3580426,-1.3508289,-1.3737664,-1.3206197,-1.3003728,-1.3110478,-1.3678724,-1.3764484,-1.3408259,-1.3556496,-1.2343347,-1.3505387,-1.2339013,-1.3373413,-1.2737569,-1.3226302,-1.3419828,-1.3320187,-1.3133157,-1.3140215,-1.3276916,-1.2768111,-1.3004447,-1.3805679,-1.3241795,-1.3704461,-1.3543831,-1.2428719,-1.3579701,-1.2735883,-1.3038708,-1.2478482,-1.3480707,-1.3449762,-1.40132,-1.3692473,-1.3385959,-1.4064702,-1.269136,-1.3283721,-1.3902292,-1.356643,-1.318986,-1.2626421,-1.217763,-1.3535873,-1.2978075,-1.3499378,-1.3893727,-1.4413692,-1.3876891,-1.2995881,-1.3691411,-1.3713878,-1.3662057,-1.4009992,-1.2648634
2,0.002,-1.2933445,-1.3757473,-1.3013192,-1.3283459,-1.2837843,-1.2723594,-1.2808026,-1.2572644,-1.4635196,-1.2509973,-1.2536396,-1.4077514,-1.2310283,-1.3985326,-1.334733,-1.2362067,-1.3375851,-1.2331958,-1.3201203,-1.4739201,-1.3964332,-1.2741925,-1.3214653,-1.264625,-1.332277,-1.4187386,-1.312232,-1.436109,-1.3333328,-1.3003861,-1.3776652,-1.3820019,-1.1570024,-1.1910512,-1.3537824,-1.2976669,-1.344143,-1.2782724,-1.458181,-1.2446358,-1.1818261,-1.3837984,-1.4088571,-1.4010425,-1.3207515,-1.3667586,-1.3953273,-1.3151165,-1.2887787,-1.3014083,-1.4425949,-1.3848945,-1.346986,-1.4506264,-1.2401307,-1.3569549,-1.2234689,-1.336579,-1.1768864,-1.3943604,-1.368304,-1.2675877,-1.321214,-1.319022,-1.3291928,-1.2190163,-1.3386805,-1.4484594,-1.3195038,-1.3563108,-1.3564643,-1.1818979,-1.3451573,-1.2696368,-1.341035,-1.2085133,-1.2958487,-1.2929848,-1.4106725,-1.4307333,-1.2856427,-1.4006267,-1.2334769,-1.2945334,-1.3954151,-1.3989271,-1.3270841,-1.202881,-1.2486504,-1.3582929,-1.3016589,-1.3152089,-1.4626865,-1.4679413,-1.3892698,-1.3261102,-1.4354824,-1.3843949,-1.3008276,-1.3960762,-1.1667755
3,0.003,-1.268162,-1.4174986,-1.3756642,-1.3242167,-1.3038043,-1.2688308,-1.3499742,-1.2866294,-1.5128956,-1.2543184,-1.271985,-1.4532888,-1.2714975,-1.3759284,-1.3210787,-1.2026887,-1.3368266,-1.2594161,-1.3559748,-1.5313083,-1.3722688,-1.2399656,-1.3914087,-1.3225782,-1.2935243,-1.412461,-1.2697845,-1.4164184,-1.3522892,-1.2631912,-1.3855021,-1.3495808,-1.0777643,-1.1122252,-1.3596389,-1.2432733,-1.3931032,-1.3000368,-1.5151558,-1.1838831,-1.1482561,-1.4185846,-1.484863,-1.4525125,-1.3269218,-1.3569895,-1.4586966,-1.3304646,-1.2910289,-1.3093568,-1.4499594,-1.3548509,-1.3776202,-1.5386477,-1.2000624,-1.401416,-1.2844424,-1.314548,-1.129941,-1.546323,-1.3764135,-1.3000611,-1.3221065,-1.3642404,-1.2556695,-1.2226132,-1.3942608,-1.4863164,-1.3312407,-1.3474691,-1.3692192,-1.073323,-1.3520519,-1.2547317,-1.3240787,-1.1290417,-1.30021,-1.2012042,-1.470758,-1.4220563,-1.2723227,-1.4127061,-1.296203,-1.3178167,-1.4725358,-1.4211997,-1.3092554,-1.130865,-1.2469513,-1.3798099,-1.2730646,-1.3353801,-1.5382686,-1.455828,-1.4093431,-1.319115,-1.498632,-1.4184948,-1.2905432,-1.3752451,-1.0818914
4,0.004,-1.2494755,-1.4757788,-1.3639138,-1.4305401,-1.2730725,-1.2312235,-1.3488952,-1.2840152,-1.5759523,-1.2718261,-1.3097316,-1.4631642,-1.2940044,-1.3627582,-1.3193794,-1.1623322,-1.3209811,-1.2272273,-1.323405,-1.5012239,-1.3956555,-1.3000895,-1.3848087,-1.339127,-1.3068078,-1.407088,-1.2637299,-1.4367296,-1.3928717,-1.2387954,-1.4903979,-1.3091928,-0.90594876,-0.9994925,-1.3954053,-1.283198,-1.4298875,-1.3295218,-1.5212166,-1.2061344,-1.1624501,-1.4000455,-1.5341973,-1.4970013,-1.2971139,-1.3032572,-1.5875922,-1.4635439,-1.2953253,-1.3919622,-1.42836,-1.3620739,-1.309398,-1.625977,-1.12107,-1.3986782,-1.2705215,-1.2893752,-1.0930145,-1.5648903,-1.4287665,-1.2680352,-1.3592613,-1.4829544,-1.2672254,-1.2554251,-1.4293982,-1.472295,-1.3279048,-1.3374482,-1.406372,-1.0832629,-1.3789486,-1.2453612,-1.2587686,-1.1232089,-1.3164141,-1.1229309,-1.4879131,-1.413893,-1.2402881,-1.4136882,-1.2986764,-1.3430892,-1.503212,-1.4209319,-1.3033195,-1.091047,-1.1275624,-1.388836,-1.3619754,-1.2737628,-1.5705297,-1.4214835,-1.5136452,-1.4103729,-1.4165916,-1.4551878,-1.3327943,-1.3337957,-1.032224
5,0.005,-1.2130351,-1.4933408,-1.3874254,-1.5167924,-1.3524344,-1.2348609,-1.3319021,-1.2648265,-1.6470006,-1.2701868,-1.2980194,-1.486857,-1.2769017,-1.3865666,-1.3716905,-1.2300005,-1.3385931,-1.2807631,-1.3849746,-1.4599704,-1.336747,-1.3132517,-1.4769069,-1.2914253,-1.2781581,-1.3563164,-1.276277,-1.4166265,-1.3819481,-1.3097937,-1.4621453,-1.3200665,-0.85183775,-0.9321024,-1.4096973,-1.275137,-1.4126772,-1.3637857,-1.5392975,-1.159863,-1.2012068,-1.4717013,-1.6149441,-1.4917418,-1.257755,-1.2555323,-1.6092025,-1.5497164,-1.2379711,-1.5061141,-1.3474536,-1.2995615,-1.2652756,-1.6988922,-1.0847452,-1.4018383,-1.2422684,-1.3060809,-1.0141431,-1.5271053,-1.5187215,-1.2913481,-1.3583127,-1.4951502,-1.2950968,-1.2735329,-1.4701067,-1.4511803,-1.2917868,-1.4176244,-1.4408432,-0.9675976,-1.3772551,-1.2430727,-1.2176121,-1.0982679,-1.3629239,-1.0359243,-1.5430874,-1.4595355,-1.2280571,-1.3806832,-1.3150061,-1.399322,-1.5951222,-1.4449961,-1.3071959,-1.0355455,-1.024534,-1.3718002,-1.4055265,-1.2377352,-1.5827336,-1.3957449,-1.5862312,-1.4358151,-1.3320824,-1.4384695,-1.3043386,-1.2939086,-1.0305313
6,0.006,-1.1978816,-1.5577141,-1.3809125,-1.5293196,-1.403507,-1.2538477,-1.3937117,-1.206788,-1.6411784,-1.2258102,-1.292943,-1.5163437,-1.3190855,-1.3887618,-1.4257408,-1.3333856,-1.3364589,-1.2921377,-1.4007219,-1.4742515,-1.325352,-1.3506925,-1.4586041,-1.2781501,-1.1629493,-1.320094,-1.3444619,-1.412509,-1.3952719,-1.3437103,-1.50496,-1.2863842,-0.8351274,-0.96712375,-1.4804868,-1.2039087,-1.4249687,-1.4457041,-1.5145918,-1.1209208,-1.2027181,-1.5031904,-1.6520659,-1.5425054,-1.291364,-1.2695988,-1.5514537,-1.6146711,-1.2738577,-1.5878925,-1.3071615,-1.2956989,-1.219591,-1.7308549,-1.0122099,-1.4361583,-1.2663068,-1.3345053,-0.9597638,-1.5071765,-1.5656554,-1.2866353,-1.391568,-1.546997,-1.2934517,-1.2192624,-1.4711304,-1.4250382,-1.3374054,-1.4119432,-1.3987176,-0.9194126,-1.4167185,-1.2309964,-1.2312655,-1.1117439,-1.3424866,-1.0345894,-1.5020365,-1.4872184,-1.124437,-1.4063677,-1.3848848,-1.3749306,-1.5564777,-1.4831353,-1.344538,-1.0378356,-0.9810819,-1.3905308,-1.4246321,-1.2305772,-1.5874902,-1.3782763,-1.5949452,-1.4895478,-1.3051764,-1.3573875,-1.3128877,-1.24263,-0.9795531
7,0.007,-1.1850489,-1.5585877,-1.3720405,-1.6036935,-1.4602213,-1.2873957,-1.4208709,-1.1794494,-1.6294936,-1.2259735,-1.2633011,-1.5996985,-1.3997993,-1.4147407,-1.4700371,-1.3073295,-1.3408047,-1.2542633,-1.3459336,-1.4888818,-1.2465177,-1.3875921,-1.4513488,-1.3137383,-1.031836,-1.3047651,-1.3665487,-1.4197507,-1.3864998,-1.3223183,-1.5494043,-1.3029573,-0.83143425,-0.95552236,-1.4970267,-1.1904997,-1.4675717,-1.4414363,-1.4681028,-1.0871127,-1.2087587,-1.5514523,-1.647674,-1.5659426,-1.3320566,-1.2327615,-1.500749,-1.6910666,-1.233094,-1.611973,-1.2478386,-1.227875,-1.173966,-1.7470648,-0.9555111,-1.3622761,-1.2677398,-1.3178304,-0.9490153,-1.4303005,-1.6686761,-1.259249,-1.3810723,-1.5299269,-1.2340026,-1.2040839,-1.4038459,-1.4294426,-1.416551,-1.4303598,-1.3539085,-0.8883406,-1.5178475,-1.2370981,-1.2365642,-1.1067488,-1.3784305,-1.0220239,-1.4497764,-1.5513786,-1.0630492,-1.4658176,-1.4196373,-1.4263699,-1.5135907,-1.4467356,-1.3546039,-0.9786658,-0.8915577,-1.433787,-1.4753829,-1.2558705,-1.5638252,-1.3889747,-1.5958058,-1.5748048,-1.3424283,-1.3066663,-1.348265,-1.1914493,-0.9973402
8,0.008,-1.2027153,-1.4931202,-1.3090798,-1.6318809,-1.4368633,-1.3520582,-1.3832372,-1.0899487,-1.6148964,-1.241553,-1.2504537,-1.5804118,-1.4322011,-1.4074966,-1.4886065,-1.3034987,-1.2518904,-1.2468255,-1.4060228,-1.4354024,-1.1994323,-1.4289306,-1.4655225,-1.331231,-1.025323,-1.3135904,-1.3841052,-1.5276853,-1.4068513,-1.4119928,-1.5319449,-1.3135617,-0.8077954,-0.9441647,-1.5836488,-1.1248502,-1.5385311,-1.4670472,-1.5112376,-1.1501411,-1.2176211,-1.5797641,-1.6434885,-1.5867187,-1.3351349,-1.250825,-1.5237906,-1.6481162,-1.2075375,-1.651658,-1.2815155,-1.1920974,-1.1803309,-1.758531,-0.91578364,-1.36686,-1.2126944,-1.3112147,-0.9342349,-1.3669745,-1.6613582,-1.2751989,-1.393837,-1.5795305,-1.1558264,-1.2295483,-1.3590126,-1.413088,-1.541436,-1.468412,-1.385954,-0.81016684,-1.5907341,-1.1800808,-1.308262,-1.0546067,-1.4352777,-1.0638373,-1.3903964,-1.6205757,-1.0111595,-1.4672861,-1.3953401,-1.3920196,-1.5095118,-1.4644903,-1.3237488,-0.9637008,-0.8337427,-1.4390717,-1.4421568,-1.2897005,-1.5960019,-1.3414631,-1.6307551,-1.6256565,-1.4355168,-1.3118305,-1.416985,-1.2209492,-1.003379
9,0.009,-1.2662212,-1.4489679,-1.1980635,-1.6788647,-1.4171114,-1.3440554,-1.4197795,-1.098918,-1.5283505,-1.2138921,-1.3055669,-1.591797,-1.4575489,-1.4377867,-1.5354307,-1.3304701,-1.2539754,-1.2949228,-1.3980901,-1.4569654,-1.1504894,-1.5082108,-1.4731286,-1.3475696,-0.9981842,-1.3499935,-1.3964918,-1.6352096,-1.381625,-1.4392864,-1.5318552,-1.2988901,-0.7959893,-0.9041956,-1.602988,-1.1009127,-1.5398644,-1.3769323,-1.4430288,-1.1189591,-1.2359844,-1.5272427,-1.6655694,-1.5829006,-1.404749,-1.2819306,-1.535153,-1.6552534,-1.1783977,-1.6460054,-1.3087193,-1.2366025,-1.1790975,-1.747145,-0.90621936,-1.2817745,-1.1826128,-1.2017974,-0.8874361,-1.3711643,-1.6614126,-1.3133333,-1.3549142,-1.5899258,-1.1456287,-1.2603056,-1.3333942,-1.3405123,-1.5872995,-1.5381291,-1.4863195,-0.8003661,-1.6351435,-1.2514559,-1.2767652,-1.0901525,-1.4489348,-0.9711697,-1.2849988,-1.6212654,-0.99791574,-1.4937289,-1.418646,-1.3519433,-1.4674526,-1.4388151,-1.3275344,-0.9119411,-0.83908784,-1.3621895,-1.505649,-1.2949029,-1.6491413,-1.3838655,-1.6728216,-1.7134145,-1.546276,-1.2208407,-1.4534287,-1.1864575,-0.9749647
