,Date,fOU_H0.9,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531,1.4581531
1,0.001,1.4589595,1.4503181,1.4528319,1.4549704,1.4491065,1.458653,1.4561936,1.4530311,1.4569283,1.4532558,1.451736,1.455064,1.4531114,1.4548703,1.4535561,1.4488196,1.4553725,1.4545555,1.4520782,1.4588597,1.4519951,1.4562641,1.4558367,1.4544867,1.4510323,1.4562576,1.4578077,1.4505264,1.4502584,1.4539448,1.456903,1.4567935,1.455786,1.4544764,1.4518348,1.4538702,1.4566437,1.4552479,1.4564625,1.4603206,1.4531107,1.4590646,1.4548428,1.4537462,1.4472953,1.4536005,1.456884,1.4546676,1.4537468,1.4497098,1.4516531,1.4581994,1.4565433,1.4573394,1.4560393,1.4579487,1.4554573,1.4569886,1.4536059,1.4567692,1.45102,1.4582639,1.4535422,1.4528829,1.4517993,1.4553764,1.4588084,1.4564239,1.4581465,1.4505757,1.4576645,1.4530959,1.4524243,1.4539002,1.4544777,1.4571391,1.4572526,1.4541259,1.4554275,1.4560192,1.4558762,1.460679,1.452713,1.4602258,1.4538567,1.4518507,1.4535733,1.4550942,1.4535226,1.4539161,1.4589024,1.4551084,1.4548076,1.4502574,1.4548988,1.452287,1.4550064,1.4512877,1.4561965,1.4524834,1.4531925
2,0.002,1.4544495,1.4451413,1.4496673,1.4551743,1.4469858,1.4523416,1.4553425,1.4505013,1.4524175,1.4510537,1.4477594,1.4526993,1.4462507,1.4489549,1.4525439,1.4494714,1.4494244,1.4518996,1.4476988,1.459165,1.445131,1.4540199,1.4493635,1.4534905,1.4453579,1.4545939,1.4562864,1.4481574,1.4493488,1.4518971,1.4492991,1.4506056,1.451307,1.4485303,1.4477443,1.4529192,1.4514906,1.454162,1.4544549,1.4558367,1.4524478,1.4582306,1.454146,1.4559144,1.4443034,1.447388,1.4513824,1.449491,1.4512308,1.4456099,1.449131,1.4574867,1.4503236,1.4527465,1.449791,1.4538935,1.4521837,1.4514091,1.4491906,1.4527926,1.4456327,1.4560297,1.4506067,1.4470426,1.4488026,1.4535371,1.454908,1.4525241,1.4555928,1.4463825,1.4548006,1.4502999,1.4489963,1.4494727,1.452107,1.4544495,1.4544942,1.449245,1.4502563,1.4489743,1.4517094,1.4579608,1.4455816,1.4577198,1.4486262,1.4458168,1.4478472,1.4462115,1.452338,1.450534,1.4573637,1.4501927,1.4510499,1.4467033,1.4445872,1.4449345,1.4515659,1.447221,1.4506632,1.4501951,1.453629
3,0.003,1.4550897,1.4435573,1.4437407,1.4509254,1.443666,1.4465785,1.45146,1.4435923,1.4514109,1.4508771,1.4433233,1.4500084,1.4401973,1.447714,1.4498069,1.445339,1.4436294,1.4515789,1.4448333,1.458782,1.4367268,1.4512942,1.4490455,1.4519823,1.4462792,1.4492481,1.4539702,1.441082,1.4438035,1.4514608,1.4426761,1.4455967,1.4499049,1.4453859,1.4449432,1.4484775,1.4478848,1.4451804,1.4492241,1.4523897,1.4476968,1.4497488,1.4551448,1.4517326,1.4369372,1.4425105,1.4460062,1.4441581,1.445028,1.4406517,1.4484773,1.4539635,1.445732,1.4469728,1.4460316,1.4503607,1.4477214,1.4449902,1.4416672,1.4504067,1.4377118,1.4551468,1.4461986,1.4455186,1.4427754,1.4482944,1.4473733,1.4516466,1.453,1.4445715,1.4485958,1.4447838,1.4456238,1.4439313,1.4478271,1.4461352,1.4475634,1.4459933,1.4426745,1.4429487,1.449612,1.4552625,1.4425225,1.4564983,1.4428667,1.4416496,1.4421127,1.4430655,1.4485997,1.4447587,1.4561797,1.4468225,1.4524856,1.4376364,1.4392256,1.4435822,1.4486077,1.444673,1.4428024,1.4464809,1.4518592
4,0.004,1.4518393,1.4379159,1.4385853,1.445217,1.4428122,1.447519,1.450543,1.4432259,1.4478105,1.4446005,1.4414033,1.449585,1.4339527,1.4430573,1.4485552,1.4444113,1.4323994,1.4470147,1.4401487,1.4605378,1.4322286,1.4504598,1.4386407,1.4491683,1.4470024,1.4445337,1.449218,1.4378053,1.4443543,1.4461192,1.4381707,1.4456158,1.4469286,1.4431449,1.4434098,1.4409535,1.44555,1.4482573,1.4425231,1.4512283,1.444655,1.4420955,1.4520481,1.4443756,1.4338976,1.4354719,1.4425261,1.4387027,1.4466121,1.4381542,1.4400386,1.4485952,1.4452304,1.4449993,1.4421011,1.4478887,1.4423686,1.4402466,1.4379134,1.4472295,1.436064,1.4528472,1.4394386,1.4419508,1.4423064,1.4434974,1.4454865,1.4450432,1.4506816,1.4438756,1.4473249,1.4425468,1.4421127,1.4379666,1.4453524,1.4464269,1.4388453,1.4405521,1.4407368,1.4415973,1.4457076,1.4504424,1.4424543,1.4498138,1.4352221,1.4343622,1.4428824,1.4431853,1.4423262,1.4415416,1.4541311,1.4405193,1.4521604,1.4316926,1.4415532,1.4381002,1.4413478,1.4353509,1.4384788,1.4434297,1.4481497
5,0.005,1.448177,1.4363422,1.4348452,1.4399557,1.4395474,1.4403957,1.4474617,1.4443619,1.4458858,1.4405891,1.4376612,1.449752,1.429337,1.4417952,1.4435271,1.4434664,1.430382,1.4440438,1.4360099,1.4578589,1.4283146,1.450261,1.4324162,1.4460518,1.4447756,1.4391707,1.4479604,1.4332547,1.4383298,1.4395406,1.4306211,1.4399532,1.4427775,1.4346045,1.4410154,1.4336784,1.4425616,1.4429171,1.4360937,1.4520419,1.4413003,1.4407154,1.4502417,1.4424225,1.4306197,1.4347864,1.439938,1.4341882,1.4412458,1.434837,1.434832,1.4461724,1.4385266,1.4424119,1.439253,1.4421775,1.4345615,1.4352579,1.438108,1.4444885,1.437847,1.4468628,1.436639,1.4361757,1.4378804,1.4406028,1.4435863,1.4422505,1.4458715,1.4394143,1.4426668,1.4399858,1.4364107,1.4314674,1.443642,1.4423279,1.4332825,1.4408785,1.4404724,1.4358478,1.4382695,1.4504968,1.44112,1.4467511,1.4370173,1.4330705,1.4421891,1.435408,1.4364803,1.4358051,1.4483639,1.4372145,1.4487996,1.4284929,1.4362813,1.4286221,1.4402791,1.4377185,1.4326093,1.4381324,1.4474813
6,0.006,1.4453206,1.4344249,1.4296191,1.4382915,1.439368,1.441036,1.4478034,1.4399217,1.4439875,1.437093,1.4336139,1.4489086,1.4252042,1.4362664,1.44064,1.4381255,1.4303743,1.4387562,1.4343264,1.4514012,1.4219432,1.4442118,1.4290948,1.4407182,1.4443789,1.4346548,1.4452764,1.4326274,1.4327139,1.4376613,1.4234891,1.4357,1.4386631,1.4296088,1.4394124,1.4372554,1.4325701,1.4391581,1.4312953,1.443896,1.433635,1.4421531,1.4513825,1.4390478,1.4259901,1.4328994,1.438188,1.4338287,1.4333099,1.4296085,1.4329485,1.4466344,1.4397422,1.4351677,1.4316626,1.4355536,1.4321275,1.429434,1.4343263,1.4418983,1.4304347,1.44218,1.4302211,1.4282622,1.4347512,1.4368867,1.4409552,1.4384085,1.4448215,1.4374269,1.4391755,1.4361672,1.4338104,1.4233229,1.4371514,1.4369382,1.4269052,1.4383284,1.4358126,1.4327667,1.4292179,1.4491113,1.435885,1.4442492,1.4368647,1.429929,1.4411772,1.4357829,1.4272739,1.4309406,1.4447638,1.43095,1.4439738,1.4229517,1.4333695,1.4262333,1.4356278,1.4365853,1.4226329,1.4364593,1.4434767
7,0.007,1.4400605,1.4322828,1.426022,1.4395186,1.4346533,1.4349064,1.4453529,1.4383112,1.4412563,1.4319971,1.4311604,1.4403914,1.4204348,1.4291528,1.43877,1.4298811,1.4268517,1.4343128,1.4293981,1.4484247,1.4208599,1.4460145,1.4178534,1.4415035,1.4437941,1.4253355,1.443477,1.4264399,1.4257092,1.439303,1.4170445,1.4333212,1.4355503,1.425994,1.4342514,1.4342709,1.4294628,1.4377902,1.4266821,1.4446167,1.4275334,1.4382159,1.4517503,1.4363678,1.4259722,1.4231359,1.4391444,1.4316086,1.432424,1.4235133,1.4297574,1.444575,1.4344776,1.4348185,1.4293278,1.4300493,1.4253587,1.4198731,1.4272515,1.4386098,1.4266938,1.4385238,1.4237461,1.4260193,1.4336617,1.4324771,1.4374136,1.4381081,1.4412186,1.4374405,1.4311137,1.436224,1.4249703,1.4233844,1.4377692,1.4307173,1.4209042,1.4378754,1.4317367,1.4282825,1.4277915,1.4438523,1.4311604,1.4414387,1.4334904,1.4258183,1.4346479,1.4308417,1.4225212,1.4231805,1.4434552,1.4281971,1.4362421,1.4219753,1.426554,1.4252964,1.4301842,1.4345673,1.4173107,1.4289111,1.4419115
8,0.008,1.4388486,1.4282247,1.4248037,1.4316869,1.4279804,1.4307386,1.4454049,1.4335384,1.4388468,1.4239987,1.4287792,1.4380422,1.419809,1.4217396,1.4346638,1.4264379,1.4234544,1.434971,1.4300158,1.4468821,1.418661,1.4468672,1.4120885,1.4395134,1.4382433,1.4282082,1.4426798,1.4239707,1.4185921,1.4429349,1.4108489,1.4280646,1.4371707,1.4288957,1.4349382,1.4318068,1.4230334,1.4322448,1.4211327,1.447367,1.4278235,1.4375713,1.4466616,1.4319144,1.4207692,1.4201441,1.4358876,1.428706,1.4315627,1.4211507,1.4272218,1.447288,1.432663,1.4300352,1.4301016,1.4240645,1.4239657,1.4174067,1.4208199,1.4318591,1.4229335,1.434565,1.4149946,1.4215083,1.4300063,1.4282136,1.436641,1.4325404,1.4386469,1.4346659,1.4269181,1.4394174,1.4191495,1.4184173,1.429449,1.4279565,1.4156917,1.4315561,1.4273771,1.424111,1.424093,1.4377409,1.4281819,1.4339751,1.4291004,1.4164882,1.4281895,1.4264756,1.4194968,1.4191568,1.4438246,1.4232887,1.4283813,1.4169877,1.4236962,1.4227294,1.4287705,1.4312701,1.4082686,1.4205765,1.4415702
9,0.009,1.4384049,1.4278327,1.4206187,1.4354007,1.420138,1.4260867,1.4405295,1.4324372,1.434378,1.4181887,1.4265381,1.4330317,1.4216502,1.4208815,1.435904,1.4229,1.4193426,1.4327989,1.4262859,1.4442412,1.415649,1.4442332,1.4105055,1.4344565,1.4365269,1.4240619,1.4381747,1.4196082,1.4146516,1.4421257,1.4025828,1.4242154,1.4301322,1.4198915,1.4320017,1.4227239,1.4167458,1.4285957,1.4180143,1.4466035,1.4193083,1.4349103,1.4422684,1.4285845,1.4197026,1.4130822,1.4298944,1.4248966,1.4279196,1.4215127,1.4226471,1.4453707,1.4305068,1.4289421,1.4232024,1.41579,1.4185783,1.4116567,1.4163406,1.4278401,1.4184958,1.4392568,1.412595,1.4185606,1.4225138,1.4218134,1.4336056,1.4248514,1.4396297,1.4250077,1.4238355,1.437655,1.4144454,1.4177121,1.4261496,1.4278209,1.4081235,1.4290731,1.4232479,1.418034,1.4233718,1.4356177,1.4294013,1.4283195,1.4244769,1.4124173,1.424284,1.4204841,1.4194926,1.4149624,1.4438002,1.4272752,1.422992,1.4097152,1.422393,1.4195882,1.4241723,1.4249693,1.4004332,1.418063,1.4409938
