,Date,videoVBR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.001,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362
1,0.002,0.20528768,0.1792555,0.17876354,0.1791168,0.18079726,0.17917886,0.18060403,0.17766652,0.18159941,0.180671,0.17565125,0.17842378,0.17850466,0.17515509,0.17839195,0.17818302,0.17784123,0.18136367,0.18053824,0.1800498,0.17993644,0.17989746,0.1788252,0.1801604,0.18000318,0.17991464,0.17615947,0.18095885,0.17778662,0.17992067,0.17963062,0.18027629,0.18098111,0.17945604,0.17818896,0.17757782,0.18153802,0.18006088,0.17955476,0.17757984,0.18056682,0.1783571,0.17846417,0.17841248,0.17844136,0.17965223,0.17865697,0.17872337,0.18387145,0.17710336,0.17809986,0.1786663,0.17782593,0.18146463,0.17709233,0.1790102,0.17545706,0.17808194,0.1825075,0.17943893,0.18093614,0.18122195,0.17923807,0.18114352,0.18033434,0.1835371,0.17726438,0.17936017,0.17749941,0.18004799,0.17808703,0.17752174,0.17680989,0.17823455,0.18005882,0.17724279,0.17904992,0.17931615,0.17938437,0.17838287,0.17927805,0.17849968,0.18029806,0.17983764,0.17800578,0.17980117,0.1824517,0.17760065,0.17978634,0.17930336,0.17852773,0.18004736,0.17962444,0.17878151,0.18064399,0.18045084,0.18108258,0.17784135,0.17823155,0.17931949,0.17870773
2,0.003,0.21927992,0.17246608,0.17174155,0.17350419,0.1729334,0.17112654,0.17403044,0.16992307,0.17466857,0.17238899,0.16832389,0.1701224,0.17154703,0.16781881,0.17034818,0.17017803,0.16986448,0.17515035,0.17253526,0.17116685,0.17181826,0.17207256,0.17187046,0.17253043,0.17351444,0.171986,0.16904806,0.17361988,0.1698636,0.17347708,0.1714001,0.17234506,0.17434181,0.17289916,0.17101209,0.17106897,0.17383532,0.1714845,0.173916,0.17016162,0.17230226,0.17119437,0.17178176,0.16953944,0.17190616,0.17392518,0.17168725,0.17055927,0.17582329,0.16991138,0.17179692,0.17116056,0.16986208,0.17390536,0.16908295,0.17168017,0.16837576,0.17120835,0.17660229,0.17184922,0.1740222,0.17557156,0.17094454,0.17437418,0.17426415,0.17529102,0.17020832,0.17183082,0.17026524,0.17338368,0.17071523,0.17024489,0.16952498,0.17028183,0.17315687,0.17031491,0.17269,0.171953,0.17226602,0.17177907,0.1734735,0.1704816,0.17293768,0.17257555,0.17065862,0.1718427,0.17761427,0.17105484,0.17442164,0.17176692,0.17095582,0.17130807,0.17175055,0.1713703,0.17224753,0.17576344,0.17280138,0.1707918,0.17073981,0.1718789,0.17002937
3,0.004,0.22591943,0.16506046,0.16465592,0.16604379,0.16577604,0.16444045,0.1667516,0.16261017,0.16745466,0.16474462,0.15980259,0.16390713,0.16534449,0.15978357,0.16266328,0.16255166,0.16182111,0.1679911,0.16544527,0.16372174,0.16503544,0.1647329,0.16462745,0.16570814,0.16628906,0.16470322,0.16122906,0.16628759,0.16148421,0.16627659,0.16405797,0.16474548,0.1671377,0.1654,0.1641511,0.1630047,0.16657269,0.16339177,0.16664986,0.16358241,0.16550197,0.16324507,0.16464254,0.16189009,0.1646743,0.16665955,0.16436763,0.16292703,0.16846155,0.16286834,0.1646437,0.16419058,0.16301234,0.16664211,0.16168189,0.1641349,0.16065015,0.16407889,0.17001042,0.16436253,0.16676559,0.16833529,0.16328467,0.16709638,0.16700259,0.16814752,0.16336073,0.16461647,0.16334178,0.16628228,0.16320501,0.16304041,0.1633581,0.16227333,0.16583505,0.16236351,0.1653612,0.16479489,0.16468392,0.16437729,0.16612037,0.16336937,0.16561449,0.16519941,0.1634951,0.16485333,0.17065112,0.16359833,0.1671737,0.16412249,0.16375098,0.16388705,0.1640541,0.16335186,0.1647392,0.16891704,0.16537976,0.16355145,0.16303661,0.16471574,0.16320856
4,0.005,0.23133348,0.1574499,0.15881631,0.1570647,0.15349638,0.15721785,0.15944697,0.15698177,0.15942685,0.15663339,0.15348767,0.15679656,0.1577818,0.15622687,0.15500602,0.15530387,0.15436998,0.16199848,0.15979905,0.15639779,0.15466633,0.15841353,0.15725727,0.15898588,0.1587218,0.15816604,0.15531206,0.15859024,0.15470529,0.15736134,0.15733807,0.1563094,0.16081147,0.15645832,0.15744881,0.15646309,0.15913764,0.15530849,0.15909237,0.15610775,0.15790534,0.15671782,0.15670562,0.1519833,0.15696785,0.1609862,0.15671985,0.15307848,0.16153836,0.15291259,0.16096139,0.1566487,0.15926751,0.15920724,0.15594019,0.15969345,0.15051247,0.1578799,0.16246894,0.15875922,0.16075382,0.16082898,0.15494704,0.1594158,0.15952067,0.1604501,0.15553573,0.15728875,0.15661998,0.15884379,0.15381801,0.1521359,0.1563644,0.1571818,0.15796418,0.15511812,0.1592225,0.15754116,0.15750882,0.15689556,0.1604227,0.15602043,0.15814008,0.15846485,0.15910056,0.15937765,0.16282299,0.1553566,0.15985085,0.15735596,0.15768196,0.1579003,0.15838544,0.15570939,0.158319,0.1614942,0.15940349,0.15883125,0.15509993,0.15785934,0.15307733
5,0.006,0.24205783,0.15006894,0.15201661,0.15143499,0.14467871,0.1515047,0.1570963,0.1476537,0.15551051,0.144061,0.1465334,0.14822607,0.1502118,0.15221566,0.14690226,0.14693964,0.14686748,0.1553343,0.15347788,0.15330581,0.14159958,0.14999172,0.14828837,0.15328366,0.14545009,0.15427412,0.1525566,0.15156211,0.15005188,0.15238026,0.15210225,0.15328072,0.153467,0.15124935,0.14380443,0.14636166,0.15283786,0.14380611,0.15556471,0.15282378,0.15138856,0.15390535,0.15022774,0.14640237,0.1465776,0.1516932,0.15015261,0.14660425,0.15541495,0.14003894,0.15200037,0.14464778,0.15218161,0.15280506,0.14353478,0.15221082,0.14438875,0.1518602,0.15608647,0.15217525,0.15512922,0.1533459,0.14647214,0.15375549,0.15337186,0.15138368,0.1471539,0.15111376,0.14231735,0.15031567,0.14955395,0.14494139,0.15321842,0.14885604,0.14899376,0.14815296,0.15352315,0.14833564,0.15342546,0.14426567,0.15310162,0.15065485,0.14814115,0.15067993,0.15296109,0.15011825,0.15570424,0.14606577,0.15334317,0.14602086,0.15455316,0.1513132,0.14850464,0.15034053,0.15086502,0.15347923,0.14846899,0.15429927,0.15054272,0.15024972,0.14412314
6,0.007,0.24542947,0.14254846,0.14393929,0.1418929,0.13682239,0.14631498,0.14925429,0.1478097,0.14606363,0.13857795,0.13839076,0.14187859,0.1423648,0.14428636,0.14273907,0.13698909,0.13797954,0.14954388,0.14776886,0.14908569,0.12787199,0.14166747,0.1418672,0.14552464,0.14256853,0.14961682,0.15048152,0.14596793,0.13463542,0.14859112,0.14860895,0.14714222,0.1516907,0.14537427,0.14188497,0.13701156,0.1520342,0.13421251,0.14842951,0.14916743,0.14092343,0.14843014,0.13702382,0.13483976,0.13460352,0.14304289,0.14560649,0.13763422,0.14634496,0.13030867,0.14027606,0.1406034,0.14485364,0.1458968,0.14180142,0.151328,0.14938729,0.15193848,0.15022676,0.14380878,0.14870186,0.14254081,0.14488769,0.1471688,0.14279091,0.14071238,0.13805439,0.14602768,0.13359566,0.14995906,0.14004907,0.136981,0.14714697,0.14791666,0.1392738,0.13862172,0.1458004,0.13893574,0.1558505,0.13587824,0.15132657,0.1486122,0.14805882,0.14768006,0.14710431,0.13712083,0.14833926,0.13366091,0.14446783,0.14153564,0.14891297,0.1424595,0.14148273,0.13960229,0.14664538,0.14840989,0.14074384,0.14542282,0.13989873,0.1456391,0.1408698
7,0.008,0.23613808,0.13330857,0.13754052,0.13807836,0.12760024,0.13460061,0.14134288,0.13203155,0.14026678,0.12480302,0.13720734,0.1258981,0.13920626,0.13361189,0.14270677,0.123971425,0.13087472,0.14409037,0.14308116,0.13657448,0.11929244,0.13925381,0.13443543,0.13376305,0.13293137,0.14152731,0.13499735,0.14201282,0.11914421,0.14463381,0.14167854,0.14073002,0.13861428,0.14386794,0.14106135,0.12838018,0.14861089,0.12626037,0.13850896,0.13877206,0.13306239,0.14038199,0.13086668,0.1325948,0.13124825,0.13664034,0.1296438,0.13779116,0.14116906,0.10842371,0.13574894,0.13356073,0.1385872,0.14303562,0.13247028,0.14291836,0.14455613,0.14422733,0.1445859,0.13334882,0.13985936,0.1263515,0.13538791,0.13743016,0.1306255,0.13977379,0.12861867,0.13634633,0.1333288,0.14173177,0.12839694,0.13435206,0.14362524,0.13931109,0.12802163,0.13045111,0.14408763,0.14012274,0.14448535,0.13505246,0.14420837,0.13367388,0.14123154,0.14141373,0.13765416,0.11868144,0.1403865,0.12582296,0.13578424,0.12960346,0.1465465,0.13784234,0.1387981,0.12998319,0.13671227,0.1411899,0.12446908,0.13840878,0.12788433,0.13371333,0.13452528
8,0.009,0.2235788,0.12568973,0.1295829,0.12451289,0.11450209,0.12111106,0.12476715,0.12135357,0.13086368,0.1038732,0.12183728,0.12283571,0.13200012,0.12239667,0.13255988,0.12014491,0.12444648,0.13663824,0.13808186,0.12942028,0.1234886,0.13446198,0.12337541,0.12650804,0.12528327,0.13904704,0.12905943,0.13302396,0.11155971,0.13622953,0.13761543,0.13389501,0.13468476,0.13542561,0.12834199,0.119363904,0.14067845,0.11979058,0.1331447,0.1421138,0.13313246,0.12999295,0.12044076,0.124333605,0.1181885,0.14209215,0.11641838,0.12833536,0.12524445,0.101055555,0.12745762,0.1309727,0.12577039,0.13686989,0.12076033,0.13893919,0.12951668,0.13687067,0.1358129,0.1300908,0.13130808,0.11775259,0.13622296,0.13512847,0.113978535,0.13405512,0.124588124,0.13840806,0.12979613,0.13955444,0.111518405,0.12749758,0.14038064,0.13352925,0.11813262,0.122575186,0.14391723,0.12702632,0.13785338,0.12702754,0.14306717,0.12644221,0.12899148,0.1296796,0.13174728,0.11878536,0.13797395,0.120876096,0.12280117,0.12409359,0.13827892,0.116722845,0.13223886,0.12509455,0.13426352,0.13011283,0.12837352,0.13351847,0.118737526,0.12815171,0.12977184
9,0.01,0.2118365,0.11979823,0.12148574,0.12873995,0.11229795,0.10658007,0.11685106,0.11222892,0.12550917,0.08642628,0.10431529,0.11502039,0.14100097,0.11735845,0.12382918,0.110513,0.12532334,0.14125851,0.12258699,0.11172677,0.12065283,0.12781547,0.11708771,0.11557478,0.113284305,0.13565357,0.12184232,0.11997902,0.1061559,0.12137501,0.13307635,0.13275947,0.115444005,0.13168697,0.11263454,0.12210483,0.13624938,0.10901622,0.12684476,0.13597567,0.12441518,0.1279541,0.118180774,0.12048357,0.11470265,0.14100371,0.11099774,0.12858088,0.11709656,0.09570844,0.111186795,0.12812446,0.13078198,0.13399719,0.11225754,0.13659659,0.11326851,0.13001022,0.12856978,0.12825729,0.12343935,0.109150864,0.12979953,0.12875275,0.1186588,0.11779164,0.11653102,0.13435708,0.12443595,0.12720318,0.09339011,0.1321842,0.12511413,0.12560402,0.12535968,0.114315026,0.14096399,0.112050526,0.13053775,0.11968762,0.13836546,0.10592183,0.121461704,0.13463898,0.11824717,0.107175745,0.13140397,0.108170204,0.11137794,0.11177459,0.12694742,0.124513246,0.12205599,0.11346136,0.131332,0.122323595,0.12034963,0.12985353,0.10693713,0.12107516,0.11782962
