,Date,videoVBR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.001,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362
1,0.002,0.20528768,0.23074621,0.16521053,0.16994809,0.12816648,0.24135113,0.13907264,0.20170397,0.19807196,0.22096959,0.13929255,0.19951613,0.1308549,0.21294437,0.22723706,0.24944346,0.24457856,0.23590374,0.17200655,0.11669006,0.21786396,0.19106407,0.18562451,0.19824441,0.17519961,0.18530895,0.25171462,0.22534251,0.2246747,0.20737055,0.17746127,0.2338005,0.10695064,0.23053548,0.21146692,0.19239102,0.1663177,0.23071009,0.20113192,0.21094824,0.1332368,0.20881298,0.14388707,0.17262477,0.20002632,0.1920086,0.23250638,0.21174675,0.20533319,0.19026066,0.23363325,0.19489722,0.17173906,0.19209227,0.23133521,0.15850551,0.22562942,0.18082555,0.19031212,0.19920254,0.14318088,0.24251334,0.19988644,0.21964467,0.22458309,0.15995869,0.1902337,0.2563101,0.14184527,0.13879031,0.27759475,0.14096284,0.20523235,0.17656934,0.21450189,0.15319856,0.18910949,0.22405596,0.25773317,0.21587236,0.19125086,0.23151077,0.13753584,0.16246268,0.17273954,0.14764977,0.14372194,0.22582579,0.20070402,0.21547645,0.22991678,0.21643564,0.11777008,0.1883589,0.2309508,0.13613798,0.15135095,0.15360354,0.17189859,0.14756086,0.15946808
2,0.003,0.21927992,0.25221997,0.07657917,0.16016531,0.16548,0.30801323,0.07718429,0.1879882,0.20386533,0.2666845,0.12308271,0.17567745,0.14005986,0.27580845,0.23440659,0.2573945,0.1980342,0.2517623,0.1431135,0.1015288,0.22326893,0.14333355,0.17046086,0.2691689,0.0988262,0.16093579,0.32554632,0.23855253,0.18719165,0.22844644,0.1643144,0.26879582,0.14549696,0.21568826,0.16681367,0.1726619,0.22002116,0.19857821,0.18037558,0.16398813,0.10765852,0.22412069,0.21591412,0.13534448,0.19688359,0.22587986,0.23821416,0.2944833,0.25708526,0.18141954,0.23320878,0.2185851,0.13819465,0.17559765,0.26079622,0.19908977,0.28780454,0.20738035,0.19464153,0.200061,0.12394987,0.27990568,0.23605293,0.20514685,0.15263079,0.15440919,0.20003852,0.19488227,0.10943362,0.10896528,0.33833775,0.14834079,0.18444654,0.22214045,0.24429855,0.13141519,0.24952194,0.24508874,0.18822235,0.15779915,0.19000588,0.2137306,0.19350624,0.2077757,0.21403949,0.156389,0.08724202,0.20343374,0.2411296,0.24585961,0.22207049,0.2295644,0.079475924,0.22954208,0.20788556,0.22625008,0.18517442,0.0409555,0.13411187,0.07202369,0.17526388
3,0.004,0.22591943,0.2197895,0.048803806,0.15489447,0.19191347,0.36215302,0.06594834,0.1512931,0.25356075,0.3071906,0.12008858,0.19938725,0.13719463,0.27032351,0.1995421,0.2765935,0.2491087,0.23924705,0.23233683,0.09611071,0.2612813,0.18044086,0.18419623,0.33151793,0.11606739,0.12902053,0.37189898,0.24627146,0.18703347,0.24222468,0.19728135,0.234241,0.108100995,0.19713877,0.22606587,0.17300667,0.20912912,0.15780523,0.18065871,0.14290023,0.1049474,0.22089943,0.1642772,0.12295474,0.24553743,0.23113416,0.3053401,0.33361405,0.27359882,0.20659843,0.22026548,0.2449801,0.13167682,0.095037185,0.2458923,0.30973732,0.33979893,0.22346398,0.23686442,0.24721925,0.18900093,0.267475,0.22334635,0.27357477,0.15685171,0.15386903,0.24486458,0.18641515,0.17939653,0.12686427,0.33748803,0.15919992,0.22788051,0.29075167,0.20763505,0.10266593,0.26479873,0.21873206,0.18883593,0.19539139,0.2893091,0.24452801,0.22979507,0.21370547,0.22627193,0.14139554,0.059619606,0.149602,0.24112314,0.32000393,0.16707885,0.21552551,0.13142669,0.25535065,0.20377833,0.24268639,0.17123601,0.074591056,0.17983228,0.048062235,0.14491339
4,0.005,0.23133348,0.32092404,0.1005316,0.1339227,0.24970743,0.36502686,0.08880051,0.11008359,0.23741104,0.30571198,0.14058304,0.21787336,0.1880642,0.31400716,0.15168788,0.35207564,0.2680211,0.18782151,0.2695945,0.1068212,0.31632015,0.15014865,0.20954925,0.31441033,0.054486692,0.14218132,0.41331914,0.23670031,0.22149214,0.21832491,0.16614817,0.23938136,0.17460501,0.21468191,0.23180413,0.17634064,0.20859861,0.10720651,0.16864695,0.12275122,0.06971979,0.23241746,0.13523337,0.12005563,0.2697845,0.23406851,0.35030323,0.3903102,0.3150136,0.20967458,0.19646864,0.21247785,0.13286933,0.114623584,0.19620803,0.3899001,0.33230382,0.24653824,0.19446318,0.23863132,0.21509574,0.30394012,0.24030787,0.33405986,0.19271243,0.16141638,0.1783169,0.17176108,0.15107335,0.11501756,0.28721127,0.15652984,0.27604368,0.26949763,0.24246816,0.1066631,0.22001636,0.19079675,0.13609342,0.1941017,0.32684165,0.24897435,0.21948406,0.21970814,0.22420841,0.14064606,0.096943475,0.13139288,0.25848222,0.3554102,0.22507776,0.16640005,0.101259254,0.2681583,0.2189149,0.25434184,0.1918196,0.09476295,0.16190529,0.1265791,0.10212142
5,0.006,0.24205783,0.29644734,0.14576285,0.14760457,0.242293,0.37378407,0.099696994,0.14661556,0.2230931,0.34715706,0.13119274,0.19820936,0.21959673,0.34340096,0.08423449,0.29607534,0.20388164,0.17823443,0.24266225,0.15901175,0.3427709,0.19700627,0.28401718,0.36099964,0.069667935,0.13023281,0.33587602,0.2165103,0.23372719,0.24992567,0.20827563,0.22214752,0.18104918,0.24394831,0.24081436,0.16405061,0.15404329,0.056926608,0.15167192,0.16138549,0.08706556,0.229712,0.1166274,0.1151904,0.28842822,0.24217293,0.2859808,0.41189831,0.3397297,0.14965829,0.21885249,0.18894008,0.10160926,0.06732617,0.163671,0.38045186,0.27554873,0.30016252,0.22173971,0.27316672,0.25733954,0.38023952,0.24448916,0.33369413,0.19831625,0.18352206,0.22109835,0.18255174,0.1607317,0.12018241,0.32068887,0.16455287,0.24859191,0.30767557,0.22885764,0.06415373,0.20863889,0.18415765,0.18493651,0.19890057,0.29628107,0.28137338,0.22713432,0.23085213,0.24725312,0.16107519,0.087333664,0.08500904,0.2525205,0.34907824,0.21711735,0.15549247,0.08951408,0.30443445,0.21972507,0.3083077,0.2194372,0.13209803,0.21772489,0.068367556,0.13970159
6,0.007,0.24542947,0.31049097,0.16105829,0.2128088,0.21827479,0.42408374,0.13563961,0.18659289,0.26226065,0.32414877,0.09383482,0.14891212,0.18124412,0.34258354,0.14425226,0.27094346,0.19380563,0.10283834,0.22888806,0.18495116,0.38799834,0.20895228,0.32504243,0.33305943,0.11243023,0.17188014,0.37264487,0.22013882,0.20855486,0.20013177,0.17971146,0.24329038,0.14747968,0.28117147,0.24650648,0.21218452,0.17894724,0.020431668,0.19565861,0.17301255,0.086239904,0.24441658,0.21310042,0.11652591,0.28365403,0.3250687,0.28118303,0.39234146,0.3909304,0.11530723,0.18169953,0.18773267,0.112804495,0.023055717,0.16567934,0.3570549,0.3428325,0.3179962,0.23414965,0.36792272,0.30171913,0.37615776,0.2670433,0.32305098,0.22693816,0.1672589,0.29707462,0.22294147,0.11174961,0.14617261,0.3291794,0.1878568,0.23892234,0.28842723,0.19260219,0.087018326,0.19402926,0.1597872,0.18775137,0.19009028,0.35248777,0.17716897,0.21550962,0.2526238,0.2280753,0.1682238,0.0793309,0.108104184,0.20595293,0.32373512,0.21971054,0.17502393,0.08069073,0.29705334,0.16902484,0.27382654,0.13318329,0.16539077,0.23598477,0.012191147,0.17568634
7,0.008,0.23613808,0.28917775,0.18331678,0.20756772,0.17771539,0.43226627,0.21603669,0.12292098,0.19819552,0.3710161,0.085326925,0.22819495,0.23522106,0.29024214,0.16287813,0.2549387,0.13615796,0.10557962,0.18292862,0.17217143,0.42357412,0.26005533,0.31125814,0.3623847,0.081449635,0.17510983,0.43847942,0.19288428,0.22888395,0.26323277,0.20996255,0.25494888,0.121922046,0.23978338,0.232878,0.2746794,0.102787465,0.008838326,0.22062209,0.20271666,0.0805157,0.18623953,0.23296374,0.18868606,0.29224834,0.36206168,0.2761959,0.42020124,0.356923,0.1258303,0.19302143,0.20269154,0.12855132,0.0023790598,0.21672341,0.34134477,0.35854608,0.33296624,0.19315854,0.35777968,0.3054893,0.3556258,0.24929108,0.3897485,0.28533316,0.20566991,0.21844926,0.23137063,0.10797396,0.18620212,0.34961578,0.2105273,0.22599143,0.26690403,0.21041617,0.022043273,0.24366176,0.1853264,0.17371066,0.18278012,0.40514737,0.17956977,0.29053137,0.26053914,0.22814889,0.19886328,0.08696422,0.08291906,0.18877321,0.3681177,0.15625586,0.12806167,0.027251452,0.29153413,0.1173346,0.31842384,0.20662715,0.15493274,0.25661117,0.09250869,0.16205452
8,0.009,0.2235788,0.3088525,0.20712458,0.14428212,0.1839833,0.40185988,0.2396724,0.11543842,0.15789427,0.41520274,0.09132016,0.25826812,0.23413697,0.32436913,0.19806333,0.29682884,0.1074269,0.12348567,0.20320754,0.20823999,0.44227713,0.2746661,0.30831146,0.36389625,0.09889676,0.21560813,0.46920025,0.233351,0.23932971,0.20469917,0.19421947,0.21192557,0.12265802,0.31351084,0.260122,0.27930397,0.015170351,0.06628549,0.22666578,0.22141574,0.13115636,0.1662952,0.23112844,0.18030457,0.3329804,0.3882856,0.30262107,0.36284184,0.32435963,0.14828694,0.23476508,0.16230975,0.19425336,0.021698773,0.25948507,0.35736462,0.38562644,0.3668614,0.21010953,0.34825653,0.3060125,0.36177745,0.25532174,0.420861,0.24586424,0.22860843,0.20727767,0.18579833,0.10666864,0.22449511,0.30822688,0.24516958,0.26449007,0.28536552,0.22146492,0.066013835,0.25879624,0.13490117,0.1785071,0.1507178,0.34390402,0.12700976,0.29207218,0.23602962,0.26534694,0.23176095,0.14251128,0.12053063,0.13293299,0.36696452,0.13671541,0.1303791,0.06689133,0.28762066,0.1563382,0.26048142,0.17534134,0.15865858,0.22299969,0.07574569,0.22726375
9,0.01,0.2118365,0.27928483,0.19133575,0.09329389,0.2157961,0.44132802,0.19361927,0.16048831,0.23733383,0.49109852,0.083619565,0.30446002,0.21276154,0.29248306,0.15912741,0.32419372,0.055897564,0.091493,0.20402847,0.20728937,0.5150453,0.21786636,0.35213813,0.4385269,0.05673626,0.22145735,0.47207144,0.1809184,0.27399784,0.18872842,0.13183188,0.20999342,0.1600651,0.29321885,0.26489955,0.29781586,-0.012304738,0.013951749,0.28039008,0.24280226,0.095600694,0.1871866,0.28707975,0.11203731,0.32290027,0.36928612,0.35086775,0.41108257,0.34207493,0.18421337,0.2962041,0.08156204,0.14331299,0.029976577,0.31708395,0.33780715,0.32512635,0.3536967,0.19399977,0.3986073,0.37392294,0.375422,0.23057544,0.40080288,0.17894475,0.1943017,0.15403503,0.16724288,0.17313193,0.27567768,0.30532694,0.27357906,0.2679245,0.26571772,0.20100284,0.12036445,0.33496344,0.13451917,0.13318804,0.17082676,0.36867493,0.12007857,0.30091652,0.17686976,0.23687316,0.24586013,0.12609182,0.09467453,0.08267087,0.4064913,0.07005097,0.14102018,0.036714792,0.27420518,0.19406413,0.26000714,0.25194895,0.21833664,0.2267681,0.049262717,0.27229923
