,Date,videoVBR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.001,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362,0.18639362
1,0.002,0.20528768,0.18681018,0.18993364,0.18758741,0.19375314,0.19403353,0.19363655,0.18373203,0.1998903,0.18408273,0.1845547,0.17757952,0.18722878,0.18009786,0.20948984,0.19537663,0.16807832,0.19441515,0.18500087,0.18589108,0.18978815,0.17803174,0.18058722,0.18557805,0.18600568,0.16973999,0.1904526,0.18566628,0.17327318,0.19150107,0.20285806,0.18726708,0.1981493,0.1992525,0.17375422,0.20480263,0.1895897,0.16625175,0.17253193,0.18613268,0.19814159,0.18249564,0.22324902,0.18620363,0.1944943,0.18702254,0.18448012,0.17772155,0.19269721,0.20300859,0.18435392,0.1919314,0.17815869,0.18732217,0.18831833,0.180603,0.1898524,0.21029526,0.19328085,0.17640778,0.20871955,0.20540348,0.18406372,0.1739194,0.1984552,0.17032176,0.20364948,0.18850161,0.19345307,0.17140853,0.21157926,0.19165398,0.19409461,0.20440769,0.21230751,0.20609936,0.17794785,0.1905472,0.18073925,0.19498509,0.18899871,0.18429142,0.20514825,0.17882583,0.18169157,0.18471426,0.16323553,0.19135965,0.18882397,0.19133046,0.1841956,0.18360415,0.20377517,0.18594462,0.19424227,0.21435724,0.19469869,0.19093263,0.19583447,0.20993139,0.19513799
2,0.003,0.21927992,0.18966192,0.18880981,0.19349164,0.17323847,0.18378203,0.2053984,0.18565218,0.21023631,0.17855862,0.18504894,0.16813521,0.1917158,0.18819192,0.25243098,0.20027913,0.17760703,0.16651908,0.18685138,0.18890506,0.18208902,0.19381717,0.19114302,0.19663765,0.19666009,0.17396645,0.19855587,0.17719331,0.17903328,0.20956874,0.19836678,0.18658428,0.2054697,0.20560236,0.18385567,0.23303303,0.17991933,0.1761275,0.16848375,0.19204465,0.20864886,0.1841335,0.22196952,0.17772427,0.18516012,0.18690601,0.18323925,0.16206756,0.19505657,0.20850843,0.18068491,0.18088265,0.15964574,0.18434095,0.19240512,0.17734097,0.16398278,0.21051902,0.20885715,0.1868137,0.20279299,0.21345577,0.18637918,0.19219846,0.21260278,0.16383006,0.19279711,0.17605163,0.20166957,0.184066,0.1879904,0.19138236,0.20065925,0.1963,0.22596951,0.22913067,0.17565122,0.17189848,0.20228212,0.17928247,0.20174474,0.18976879,0.20990022,0.19162808,0.18403533,0.17754732,0.16525997,0.20127062,0.20271415,0.19943237,0.18610962,0.18924984,0.2050843,0.18820526,0.19847202,0.21243113,0.20985273,0.20123819,0.19913872,0.21278664,0.20458698
3,0.004,0.22591943,0.17567344,0.18036215,0.2140868,0.1791427,0.1760988,0.21236488,0.18033524,0.20678087,0.16187869,0.19932368,0.16385207,0.19310492,0.18863812,0.24697864,0.21431825,0.20060903,0.17748713,0.19307162,0.19748388,0.18906952,0.19698511,0.18623137,0.20677385,0.18916592,0.15997225,0.20152208,0.17264622,0.18176757,0.21126635,0.19777417,0.1967145,0.19275631,0.20133412,0.17691246,0.2436091,0.20274593,0.17444645,0.16408588,0.19881497,0.21072744,0.19645172,0.24408635,0.17018594,0.19831644,0.20618337,0.20406224,0.16104026,0.20359111,0.21750952,0.181768,0.17936619,0.18302524,0.17184825,0.19793543,0.18981215,0.1606065,0.22017266,0.20222649,0.16703717,0.20953536,0.2207026,0.18732965,0.20006873,0.22307394,0.15472211,0.19256653,0.18591909,0.201591,0.19569126,0.18292224,0.16056211,0.17637637,0.19816364,0.2426685,0.23086172,0.173641,0.1620651,0.21566664,0.16749041,0.21432194,0.17824456,0.2176511,0.20551513,0.1877074,0.18201053,0.17610872,0.21709056,0.20142718,0.20160238,0.1598475,0.18501559,0.20340279,0.20472915,0.20422077,0.20923634,0.2263584,0.20583843,0.19323103,0.19274488,0.20422514
4,0.005,0.23133348,0.18056236,0.17125,0.23361106,0.17663902,0.17502494,0.20644137,0.18465133,0.20001891,0.17332731,0.19786312,0.16131866,0.19904582,0.18659745,0.25243938,0.22006872,0.20545115,0.17384072,0.18842766,0.19211526,0.19939135,0.21465586,0.17192486,0.1942532,0.1840855,0.15362704,0.1830401,0.18333083,0.17787935,0.21184078,0.19035487,0.20611028,0.20795305,0.20759192,0.19221471,0.2378185,0.19691703,0.16778618,0.15817972,0.20586096,0.21278141,0.19525397,0.24119525,0.17315221,0.20156495,0.21002066,0.20289254,0.17831427,0.21277972,0.22646137,0.1954944,0.1719172,0.20028841,0.17462449,0.21057239,0.18764095,0.1660427,0.17689334,0.21248956,0.1698353,0.20191428,0.20631224,0.19100232,0.19395366,0.21250385,0.16689694,0.18718906,0.19329934,0.21324684,0.20574263,0.185995,0.17538984,0.17071483,0.22051828,0.26965928,0.23510014,0.17096767,0.1676095,0.20335153,0.15370005,0.22367254,0.19566225,0.2286479,0.21963027,0.17369847,0.182006,0.1758425,0.21960424,0.20995945,0.1802066,0.1526979,0.19061852,0.2255733,0.20777075,0.21179491,0.19390048,0.21328804,0.21249889,0.19455768,0.18413521,0.20266758
5,0.006,0.24205783,0.17997077,0.16108736,0.23329167,0.18665223,0.20721893,0.19512409,0.17658997,0.20649411,0.15798226,0.21311787,0.1606352,0.17574558,0.19945732,0.26234847,0.23842488,0.22102463,0.18719916,0.19681221,0.19797212,0.21118005,0.2104239,0.17553091,0.18562177,0.1822504,0.15569048,0.17214434,0.17464608,0.17819788,0.23068209,0.19292054,0.2021425,0.2176836,0.2116344,0.17833878,0.22750486,0.21172823,0.14390251,0.16124521,0.1922454,0.22070092,0.20258817,0.24122089,0.18879163,0.20944501,0.22249146,0.18737389,0.18151285,0.22594476,0.2268969,0.18756211,0.16637315,0.20282426,0.17744212,0.22961809,0.18164688,0.1601247,0.17370965,0.2026826,0.16432276,0.18314119,0.22959417,0.20644279,0.19193451,0.19233243,0.16389865,0.19889075,0.18715318,0.21114607,0.21959628,0.17328545,0.19644886,0.18632123,0.23573792,0.28135058,0.2379645,0.18872182,0.1654084,0.22617699,0.16066387,0.25235856,0.20779647,0.22507823,0.2411306,0.18065873,0.15966202,0.1871748,0.2122745,0.20340055,0.17518097,0.15937626,0.20181853,0.26030213,0.21173768,0.1978844,0.20679498,0.23606601,0.22938631,0.21113674,0.19126275,0.2093711
6,0.007,0.24542947,0.18340558,0.1620804,0.24566379,0.18430132,0.19083522,0.1780065,0.17693193,0.21064612,0.1499881,0.2356489,0.16128252,0.17932025,0.20254436,0.25512427,0.22783117,0.20240621,0.2058074,0.19338508,0.22140718,0.18616721,0.22653604,0.1669254,0.19442295,0.1924517,0.14498697,0.15868014,0.16224101,0.16876896,0.21745129,0.21161866,0.19767542,0.21254528,0.21633926,0.18876772,0.22760183,0.21612565,0.13307635,0.17109373,0.18819086,0.2123739,0.21043007,0.2447187,0.19803636,0.22260745,0.22858348,0.18965171,0.20076537,0.24300931,0.22832504,0.17531112,0.16545786,0.20194171,0.19082358,0.24001946,0.19768289,0.15138848,0.1761097,0.20404352,0.17451893,0.18790479,0.22325085,0.21172006,0.210171,0.19378948,0.1622936,0.18363293,0.2063136,0.2152219,0.23263605,0.16410889,0.2071741,0.19853187,0.2416007,0.23483221,0.2518207,0.1894215,0.16430297,0.23602293,0.17991605,0.2632839,0.22232148,0.23086525,0.25745088,0.17801705,0.15946768,0.18877144,0.23111102,0.20535494,0.19622649,0.15486203,0.20994447,0.3020583,0.21930145,0.20153801,0.20803641,0.22367734,0.22222419,0.21953788,0.18504189,0.21973504
7,0.008,0.23613808,0.16418938,0.15660387,0.25967157,0.19938251,0.1872787,0.166575,0.1817512,0.22708884,0.1338861,0.23812214,0.16531539,0.1924589,0.19504288,0.28762645,0.20895764,0.19632515,0.217569,0.20705871,0.21042524,0.1872939,0.21637917,0.17976795,0.21272615,0.18288618,0.15509702,0.16289583,0.17496686,0.17542914,0.22078794,0.23442651,0.19914486,0.18537034,0.22256243,0.1959032,0.23910783,0.2045964,0.13061446,0.17272733,0.19735634,0.22398761,0.1878462,0.22719423,0.21388122,0.22755668,0.23674016,0.2081836,0.19435996,0.253606,0.21831359,0.17014296,0.16883968,0.18254754,0.19686134,0.2556665,0.19686468,0.15408508,0.17007989,0.2046326,0.16707039,0.18788755,0.19915311,0.23571521,0.21499252,0.19317473,0.16109616,0.166902,0.21302424,0.22006351,0.23467982,0.15890057,0.2227749,0.21130314,0.24082483,0.23683359,0.25800708,0.18365896,0.17361909,0.23836914,0.18469587,0.27658278,0.23167263,0.24061124,0.24066143,0.15760042,0.16979119,0.18848845,0.22953801,0.21593305,0.19125131,0.15891182,0.19861841,0.2979796,0.22442271,0.19762662,0.204706,0.23998345,0.2400296,0.22812736,0.19572984,0.21461277
8,0.009,0.2235788,0.17538594,0.1539365,0.28414214,0.2119872,0.1744779,0.17156333,0.17713566,0.24578947,0.14420746,0.22780003,0.17646873,0.20717184,0.18383296,0.3001549,0.20828633,0.20127286,0.22178732,0.20851843,0.19952697,0.17695749,0.19416563,0.18469408,0.18126011,0.18475387,0.16587771,0.17523006,0.18075585,0.18141963,0.23159717,0.23154911,0.18218988,0.18554662,0.21029118,0.19546063,0.24033926,0.22494386,0.14012124,0.16535884,0.20953692,0.21563835,0.18504198,0.22252943,0.2197814,0.251447,0.23329239,0.21305059,0.2117978,0.23801856,0.20206271,0.19313443,0.1806161,0.185524,0.21243984,0.28210142,0.19554506,0.17842217,0.1775526,0.23466161,0.17334475,0.20499079,0.21228313,0.21792676,0.2313272,0.20401882,0.1427383,0.16862069,0.18809585,0.23019083,0.21702288,0.1644201,0.202848,0.23456183,0.22343217,0.23204637,0.29378095,0.1823097,0.16064012,0.27410468,0.17771776,0.2715933,0.2325381,0.24655779,0.24948792,0.1579921,0.17015901,0.1982657,0.24029152,0.23280036,0.18465954,0.16051906,0.1968964,0.2951995,0.19578518,0.18899311,0.21666697,0.25982007,0.23564082,0.21868257,0.21501648,0.21037264
9,0.01,0.2118365,0.1765237,0.16273133,0.27061683,0.21295558,0.17757365,0.16601475,0.17177553,0.23062648,0.1461143,0.23535286,0.1787824,0.18585603,0.18661612,0.29514334,0.20946714,0.19505444,0.20410733,0.20211866,0.2004748,0.19397454,0.21210349,0.18890354,0.17396697,0.18903379,0.15723282,0.15799119,0.17565316,0.1667256,0.23007372,0.2247662,0.1941994,0.18824182,0.21880336,0.18777584,0.28303438,0.21043205,0.14678827,0.17498074,0.21394712,0.20044145,0.18799916,0.19988434,0.208693,0.24032764,0.22168271,0.22277778,0.21388274,0.22526832,0.21208039,0.1875822,0.18209316,0.19404691,0.1986064,0.2936878,0.1864758,0.19084121,0.19303936,0.2515426,0.1688206,0.20446675,0.19730943,0.21051511,0.21574421,0.2022635,0.14152835,0.17081523,0.20142296,0.2415538,0.21259412,0.15164319,0.21010329,0.23107438,0.24532166,0.23237747,0.29428047,0.19467895,0.15762816,0.28581482,0.17248352,0.29128888,0.23123284,0.2123984,0.24972002,0.16186275,0.16467239,0.19179094,0.28147104,0.20249106,0.17168292,0.17544225,0.19193189,0.27657306,0.2067606,0.19990483,0.20492074,0.25579664,0.24951252,0.24327,0.23062365,0.21915945
